gID	E1-Q	E1-R	E1-S	E1-T	E1-V	E1-X	E1-Z1	E1-Z4	E2-Q	E2-R	E2-S	E2-T	E2-V	E2-X	E2-Z5	E2-Z9	E3-Q	E3-R	E3-S	E3-T	E3-V	E3-X	E3-Z10	E3-Z11
Astgla	230055	196755	276723	259321	394822	246761	246784	226448	244885	214948	241157	263253	299008	281076	208122	263642	262025	259496	272314	251568	380675	286907	276742	290429
Chrfra	68538	58922	67108	64937	52593	59443	55561	58006	71852	50539	65911	80042	48629	52973	57736	50405	66806	64990	44507	69826	60988	39179	62923	59130
Skedoh	52993	45518	60919	57206	78228	53192	53677	51067	57504	44913	55705	60991	86988	58361	44415	50221	60274	56103	53839	58718	73767	54140	61590	55898
Vansp	110742	94515	112582	118621	75646	92492	101544	90342	107758	77062	113686	130551	75309	81143	92370	82733	110369	105068	62952	106915	75894	58566	110379	100629
Pseela	152330	136782	156336	154010	129563	135247	138779	138167	163545	114881	159581	183604	118014	122415	136429	122987	151173	151268	100908	159412	123318	90901	155845	143490
Hemtep	79167	64275	81136	88006	63975	61236	74139	69440	74300	54873	81396	92932	53018	58098	71929	84469	79400	89722	50659	77433	59117	47809	77292	112931
Sorsp	209800	197568	250758	275301	188669	196758	260678	221939	239747	176145	230219	258718	160347	185765	193768	241121	265439	224999	147496	254976	174715	173043	297370	259295
Cycten	71889	61535	80178	73639	105167	79349	64075	59059	67623	61063	68426	77661	83746	82759	56742	58322	76223	87144	77630	69965	137780	103303	76856	74493
Pyrsp	82251	73753	91902	88109	65847	75137	82377	78839	87757	61897	86140	98479	62235	67718	73826	72322	86049	82992	54229	89612	66243	56768	88900	79750
Flopar	194318	172262	205650	206824	169083	163501	175316	203387	229052	150313	237209	295993	141247	159747	214103	254600	219022	263716	145330	246731	162262	132588	190294	322258
Pinpyr	72341	71148	78246	75774	63272	71338	69162	69737	82341	58268	78134	89822	60854	64381	68493	62134	76820	74150	50793	82534	61028	48131	78490	69693
Dolten	89253	83164	93965	88823	73880	83288	84722	84819	98337	70054	95497	111495	68401	74599	84489	78042	89668	90109	59209	95570	74179	64571	92153	91231
Tetstr	209802	245892	224886	233497	235020	172016	211237	249233	202092	196661	259077	250392	163151	200307	280945	496045	261654	426925	209831	239567	175790	172658	222163	618070
GonPac	183644	143592	195438	189013	139569	145901	174778	159486	182165	123896	185837	219785	128238	136300	152614	145900	186211	183422	109776	186193	138202	107067	188033	694137
Alemon	590072	725145	568835	596375	457071	651105	649676	620050	656352	591843	735809	657871	526375	539555	653000	555699	617940	616896	420324	667588	553829	479039	692515	634299
Trisp	46159	38329	56895	56943	47640	42511	56461	48688	53324	35067	48944	53968	37654	42024	40203	52107	56909	46476	31352	53570	37683	35729	61964	54121
Cerfus	489196	470738	623719	612331	437280	440100	555220	706557	634620	455994	546969	571639	457070	492532	584792	778667	598935	677578	360717	588459	409494	324898	668142	907176
Tetsp	137588	120542	164192	175443	120624	130551	190526	130758	177100	93280	152695	148052	91992	103636	171979	133847	148200	153362	273054	162457	126725	231504	145726	496557
Chrbre	183812	130538	195440	192388	111458	126295	165796	215691	206098	113671	209645	287005	110727	115235	202557	161832	199282	201200	94326	220460	114883	84162	172744	171554
RCC9981	33359	10481	27309	26143	9704	10387	22727	14529	12644	8609	21601	25455	8661	9018	16241	14724	22425	17119	7622	11094	13083	9522	23632	28215
Ampsp	153677	126678	171896	154355	228759	155063	140863	137445	150010	126209	155133	171063	169897	165657	130341	133992	164144	158016	156924	150678	283425	201098	171558	158301
Karmic	780556	730861	941763	673882	593591	725361	583849	741145	752128	501237	781922	823369	607770	676747	671263	696538	807766	905607	499074	831886	736024	487974	809485	782472
RCC1871	37252	27046	71158	62514	25886	25865	34555	31178	33405	24290	37622	41045	22413	27586	30937	34211	49944	38821	22737	32364	32902	23001	36429	52371
Dinsp	113500	91087	130867	123003	108840	97253	117369	106471	120948	80918	117131	130388	90244	95776	96603	107734	126346	114869	77867	118575	111993	88973	132922	125972
Cafroe	86797	81633	82702	82993	64882	78455	74336	77350	92016	67126	91065	105933	65040	69482	79397	65965	86930	87505	55961	89604	73926	53291	87903	80480
Hetrot	262967	285805	234083	227467	182675	258429	216996	224270	250293	227064	281642	275493	203153	201741	271090	193019	240580	248865	161889	245532	225928	119658	273067	259220
Steram	99055	91343	125030	131540	133763	95935	135713	120593	118606	90854	119535	121263	91760	109357	115214	186197	140466	149645	94268	125302	94288	114625	140940	227158
Picsal	67677	43107	72621	61730	44658	43042	57925	57657	55166	36979	56611	67011	39731	41132	50440	52053	59707	59572	34711	56359	45050	34093	68093	64837
Ptesp	65645	53779	76015	72774	57159	55441	64911	61883	69258	45957	67942	79452	49040	51743	55256	61918	70717	68784	43077	71240	49799	43463	70357	70478
Vaulit	82884	50264	87256	102710	59699	51352	93351	73390	72586	46633	80606	101815	50339	51984	68327	76230	99640	79868	46207	82075	108039	77414	96887	94327
Eutgym	290841	280833	363709	320813	268128	282800	289938	296927	329859	234407	316868	346899	243483	258449	274226	266433	315528	304549	207927	350333	244313	215795	328683	292823
Cocpel	121324	97095	127754	136121	84559	93858	125011	125503	125832	81590	129567	156172	82101	86076	123620	109419	125365	122625	79632	133363	89923	74366	129511	152353
Ostluc	46809	44338	53451	46807	53587	56946	49428	44586	49302	39001	46778	58112	41402	49093	45276	48004	47202	50325	44892	49459	62350	83047	48286	50882
Aplsp	95860	52650	101799	84356	72017	57918	82360	72735	77560	49415	84002	101327	57159	58722	69152	81043	93711	91275	52207	75314	85953	61535	99891	106386
Chrneb	36280	26218	49164	49609	37682	35966	53581	37825	42428	27554	37300	45369	28003	34316	32137	48949	44070	34126	27372	43296	37179	53862	50779	47372
RCC9982	31126	7951	21988	46452	6047	6143	50746	15777	13975	7597	26361	26205	5987	7223	13908	19610	33569	14360	4696	10030	6151	4855	36880	47007
Crycoh	421175	511908	457746	459369	497118	494882	430991	460960	475306	411928	475020	491844	419883	430148	467481	430729	469932	470944	369456	495313	405063	295592	525688	515710
Ochsp	268842	240557	321224	307175	308702	267099	310001	273461	294477	223680	303775	326453	241269	257769	254800	314595	311631	299911	224529	289762	311238	296569	327719	343276
RCC2335	98671	105142	108280	119725	171780	61490	121871	148242	71791	115759	138477	106459	81932	118874	190170	466194	162289	357829	156075	117333	103039	120141	108340	590143
Scrhan	529870	657391	514337	522779	434315	588275	506510	558398	566073	518552	575249	579808	468939	479318	590040	467473	540969	558996	421768	575919	528570	299752	651424	605596
Cyaglo	61071	49355	68580	70405	57648	45218	63594	62031	55940	45902	66078	66518	42221	49171	62230	94824	70047	85825	45877	62012	47158	43805	69509	125688
Pseaus	129992	169888	154340	142828	449950	317322	139996	142419	147165	154601	148471	156978	270568	311746	132024	143224	149826	144599	289459	154201	486962	521621	158875	162683
