	S1	S2	S3	E1	E2	E3
Ampcof	83259	82915	103210	95551	107451	113138
Amppal	102178	87562	113643	97797	112399	97937
Ampsp	140863	130341	171558	155063	165657	201098
Astgla	246784	208122	276742	246761	281076	286907
Astrad	94447	77591	101032	99566	109040	128693
Attsep	68351	55870	80098	65844	72372	60203
Aulsub	69156	52503	74717	62173	64825	65128
Chabre	12129	9845	14485	10704	15516	17620
Chacf.	66846	57141	74068	65932	68301	68106
Chadeb	92773	79850	102303	86102	93550	80007
Chadic	56145	44421	63596	52301	59463	49323
Chaneo	156529	120837	182825	133927	163317	162484
Chasp	124627	100387	137884	110842	125873	109580
Corhys	91386	66937	92325	87115	102983	119495
Corpen	151571	122042	160554	145052	146390	162246
Coswai	81586	63485	91036	80585	79722	65683
Cycmen	93574	79045	101858	83657	91896	77836
Cycten	64075	56742	76856	79349	82759	103303
Cylclo	109710	87608	121378	979205	1073894	1211787
Dacfra	81659	59691	83116	71756	71370	95947
Detcon	100498	78503	107520	94908	96959	80603
Ditbri	219114	178995	242409	204408	217350	208772
Entsp	42415	33361	46787	42484	53133	51713
Eucant	54874	37628	57974	45606	49795	59987
Extspi	279327	257736	249016	309395	222734	384852
Fraker	317809	267179	402644	455967	467877	548994
Graoce	77977	69275	90960	88400	97196	74879
Heltam	45837	39987	52526	41323	49432	46082
Lepdan	261041	206807	261071	236251	227977	313724
Minpol	179718	164339	210643	190307	183354	158992
Nitpun	113799	95760	134055	153151	185073	230599
Nitsp	152257	128385	171577	179114	200161	189186
OdoSin	64875	55033	70906	65506	64254	57663
Odoaur	112721	100047	123155	124210	123383	99077
Proala	123100	93416	132292	112567	112843	127346
Proine	60299	44829	68255	45101	49898	45089
Pseare	91350	72002	97792	341061	322389	732955
Pseaus	139996	132024	158875	317322	311746	521621
Psedel	143490	221232	152727	704664	626824	1434502
Psefra	590049	892687	760067	835636	773597	852243
Psehei	68944	59052	78618	272103	258142	508197
Psepun	131452	115294	151252	252935	259585	363337
Rhiset	113758	74430	118306	79476	90829	93961
Skecos	53116	42189	57228	53681	56846	59238
Skedoh	53677	44415	61590	53192	58361	54140
Skemar	187085	160535	206488	178939	191056	179476
Skemen	95966	75878	109624	83814	86125	92577
Stacon	63958	59656	74364	78076	87053	77966
Stetur	97586	80036	107567	95953	94299	104984
Struni	82787	66499	91823	83658	89487	83379
Synrec	61741	50673	71720	66766	71544	65676
Thaant	104321	74577	109982	90749	102032	91842
Thafra	94424	72345	103758	87883	102373	89108
Thamin	185744	162372	210192	165033	172617	164722
Thanit	105252	80079	110495	104667	112096	132853
Thapun	91938	83392	104873	94598	95061	77657
Tharot	266385	225301	196432	199458	191816	370238
Thasp	168372	148381	191351	182657	180865	162334
Thawei	123547	98540	136242	119321	119340	110244
Tridub	73328	64061	81721	66555	66426	57475
