	S1	S2	S3	E1	E2	E3
CCMP2000	64105	73009	68784	78279	42451	31285
Callep	133287	145598	132989	116504	104551	91738
Chrbre	165796	202557	172744	126295	115235	84162
Chreri	263112	282073	194888	153539	150143	259598
Chrpol	349011	438459	347907	246466	223039	163258
Chrrho	61742	74415	66143	56907	57044	52316
Chrrot	155197	192884	163676	132576	118707	93210
Cocpel	125011	123620	129511	93858	86076	74366
Emihux	560773	692504	575729	1195816	1789259	1520717
Gepoce	151736	190751	179150	251116	316236	235064
Isogal	258391	211541	264800	149225	147742	109371
Isosp	162597	222722	188243	221219	333096	262348
Pavsp	180755	174903	140453	127606	107468	216975
Phaant	203243	255473	219501	174423	158397	110757
Phacor	63899	81028	63883	32651	39223	40749
Phasp	86612	113566	89605	64802	60385	43451
Plecar	298858	303882	226661	177815	168624	291358
Prypar	226841	244793	235939	164045	152564	134680
Scyaps	121553	128177	134344	112459	98082	75486
