	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Defense mechanisms	101.46700000000001	6.34	24.84	22.695	0.0	5.825	0.0	4.35	14.779999999999998	0.0	3.2	0.0	0.0	0.0	2.53	0.0	0.0	0.0	0.0	9.46	0.0	0.0	0.0	2.28	19.46	0.365	0.0	2.87	6.35	1.2	3.2399999999999998
Posttranslational modification, protein turnover, chaperones	7903.710106060608	130.5675	118.72666666666666	220.4966666666666	1410.795	1812.8600000000001	5.3100000000000005	30.305	20156.691666666673	5.265	7.6	49.163333333333334	7.199999999999999	5.22	132.515	8.870000000000001	437.82000000000005	0.0	43.53	16.25	33.16	10.15	81.325	0.525	107.79333333333334	88.80499999999999	335.96000000000004	775.9300000000001	13.029999999999998	357.48	704.5399999999997
Function unknown	749.8997727272725	66.49333333333333	85.73833333333333	75.83833333333332	78.75666666666667	41.98	35.489999999999995	19.73	120.72333333333334	8.68	19.91	3.0	2.73	4.85	6.665000000000001	6.035	35.62	0.0	0.0	19.865000000000002	0.0	22.71	22.16	3.2199999999999998	36.47	44.43	60.574999999999996	40.86	29.299999999999997	11.320000000000002	231.37666666666672
Transcription	3162.8797727272713	250.82183333333336	126.9058333333333	67.22333333333333	45.64333333333334	144.57	33.99	46.29833333333334	150.35716666666667	2.65	30.79	25.753333333333334	32.82333333333333	41.17	13.77	0.0	35.525	12.959999999999999	18.05	31.619999999999997	31.325	149.87999999999997	89.92999999999999	15.649999999999999	24.71	57.474999999999994	79.09	16.23	23.04	219.07999999999998	305.1350000000001
Carbohydrate transport and metabolism	1225.3685000000005	30.849999999999994	84.935	77.03500000000003	393.2	208.825	87.19999999999999	14.23	30.59	3.99	74.0	0.0	0.0	22.59	102.14999999999999	9.25	0.0	0.0	2.39	5.126666666666667	0.0	0.0	7.34	0.0	3.55	7.815	1.93	81.14	138.84	174.43	183.47499999999997
Nuclear structure	69.46627272727272	0.0	0.0	0.545	0.0	0.0	0.0	0.0	14.13	0.0	0.0	0.15333333333333335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Extracellular structures	14351.676439393937	8.621666666666666	232.435	16.064999999999998	0.0	0.0	0.505	18.465	8.933000000000002	0.0	0.435	6.949999999999999	0.0	0.625	0.75	0.0	0.0	0.0	0.0	7.36	0.0	0.0	11.33	0.0	0.0	3.62	0.0	1.46	0.0	10.780000000000001	9.865
multiple functions	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Secondary metabolites biosynthesis, transport and catabolism	430.3846666666668	6.8100000000000005	26.416666666666668	16.675	2.18	5.003333333333334	1.2349999999999999	7.84	25.096666666666664	0.0	0.0	0.0	0.0	0.96	0.0	17.555	2.38	0.0	0.0	2.06	29.580000000000002	0.0	12.01	0.0	0.0	8.553333333333333	10.860000000000001	55.13000000000001	23.11	0.0	73.50999999999999
Cell motility	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
