	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Defense mechanisms	0.0006700394020426725	0.0011447203293416684	0.010831338716892904	0.007087095345035672	0.0	9.915023934005599e-05	0.0	0.008258205627918062	0.00021594732101971745	0.0	0.0	0.0	0.0	0.0	0.0005654654809026887	0.0	0.0	0.0	0.0	0.008774070886271084	0.0	0.0	0.0025939854290005083	0.0	0.03180240754798829	0.0017762311275442697	0.0	0.00048094554583015054	0.0031080308659617033	0.0003230414913377538	2.5942166397262105e-05
Posttranslational modification, protein turnover, chaperones	0.0434457040561431	0.0495900822181302	0.03008033977597164	0.055124865687907074	0.29960680708967147	0.4859517043495054	0.02246920321860495	0.03209343409559329	0.4543858315126508	0.0504329510882284	0.0017088138252710997	0.0314976010914921	0.0	0.0	0.19363594304220433	0.025097412328903983	0.5164330021492547	0.0	0.3152038413592501	0.03668281027195766	0.06635550623408838	0.022269725764652488	0.12760794826922836	0.0	0.1629764185614961	0.15427836079241658	0.028140728364497325	0.06232950968232916	0.07115128131847194	0.048335547281485175	0.01152918954468593
Function unknown	0.00384916893190137	0.025455170984780066	0.03454305595919553	0.033184482433760584	0.009260076914930193	0.0008975252100260721	0.025793810128005402	0.019813617860531197	0.0019853748353218627	0.0449333021296513	0.007791164083145556	0.006566758475817831	0.0013932040422539817	0.0	0.012203773196936208	0.028657541545941984	0.052237340941133886	0.0	0.0	0.08470254229667408	0.0	0.08329550945109007	0.013503617927045708	0.012948336138806164	0.023632650110255577	0.04094393997063782	0.011513292174870954	0.009189618233690178	0.06832904639420787	0.0016226336978689472	0.0027525740338345934
Transcription	0.016446096173436408	0.06459381585171807	0.03658899363573134	0.0217485015608211	0.005375032356405081	0.03138406836710764	0.11761399225864479	0.0229729540260505	0.00397817321183058	0.01811373742101568	0.02066339233577296	0.0037933257301532206	0.038793864669522844	0.08279869155838288	0.029563563460648746	0.02108102707563193	0.0687302570692121	0.0	0.12969204487741814	0.0643089295119664	0.16867941771656114	0.38689439084027594	0.2739612681154923	0.13384263455479303	0.011808793936545808	0.10163485762963768	0.00688210273823747	0.0033430880721487194	0.05053824902353053	0.028952129521072425	0.005230101006175437
Carbohydrate transport and metabolism	0.005855463842081581	0.006355778140064039	0.02876329426823972	0.014765927759190514	0.038814940784364774	0.058970826263490185	0.29479787353645026	0.032703335529913204	0.0006633874666067378	0.0	0.027552383920670914	0.0003245626293179226	0.0	0.058021433864059425	0.2607515550300725	0.03551803376960735	0.0	0.022265165518400267	0.0	0.015231513002667764	0.0	0.0	0.029235084583783245	0.0	0.002837725481690345	0.005283381364073006	0.0013511229268887263	0.002373736011400361	0.11429456035057635	0.03825071175880312	0.0037028686426918323
Nuclear structure	0.0003103827743121127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00032493481871746224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016957208740670325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Extracellular structures	0.21442026634444186	0.0036085275409233606	0.09174310428714638	0.0018454863498174375	0.0	0.0	0.007179223615951688	0.011218914889540072	0.0007974843319911257	0.0	0.0	0.00736351465265037	0.0	0.0	0.0	0.0	0.005564351437553062	0.0	0.010665312341289994	0.021157971815063653	0.0	0.0063397707140660925	0.017202219160740214	0.0	0.0	0.020145723451688323	0.0	0.00011994942610799695	0.0	0.000994188037996363	0.000534468725466373
multiple functions	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Secondary metabolites biosynthesis, transport and catabolism	0.002108567655134996	0.0027796999800612236	0.0105483372028348	0.0038269398230899683	0.0003277366235662661	0.0014271886625006323	0.023159822045195382	0.007669335277540203	0.0013281267161306565	0.0	0.0	0.0	0.0	0.0025301357237091787	0.0	0.01951243880507543	0.0060117941304697	0.0	0.0	0.011985663450791979	0.011227886937789673	0.0	0.02965086693723548	0.0	0.0	0.013219026214513136	0.0018133794516625712	0.0023209353070848793	0.03470039058778699	0.0003573878567960782	0.0009175914531479466
Cell motility	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
