	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Defense mechanisms	186.598	4.88	33.17	46.38999999999999	0.0	0.575	0.0	11.780000000000001	12.78	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	6.83	0.0	0.0	2.09	0.0	35.190000000000005	1.96	0.0	8.38	2.61	3.48	2.59
Posttranslational modification, protein turnover, chaperones	12099.111575757586	211.40499999999997	92.11833333333331	360.8308333333333	3291.01	2818.17	13.99	45.78000000000001	26891.053333333333	10.774999999999999	4.7700000000000005	139.74666666666664	0.0	0.0	188.34	12.56	675.2	0.0	68.27	28.555	20.33	15.21	102.815	0.0	180.33666666666667	170.24	489.45000000000005	1086.03	59.74999999999999	520.7	1151.0449999999998
Function unknown	1071.947742424242	108.51666666666667	105.785	217.21566666666664	101.71666666666667	5.205	16.060000000000002	28.263333333333335	117.49666666666667	9.6	21.748333333333335	29.135	2.13	0.0	11.870000000000001	14.341666666666667	68.29666666666668	0.0	0.0	65.935	0.0	56.89	10.879999999999999	3.0	26.150000000000002	45.18000000000001	200.25	160.12	57.379999999999995	17.48	274.8099999999999
Transcription	4580.042075757577	275.36666666666673	112.05050000000004	142.35916666666668	59.041666666666664	182.005	73.23	32.77	235.4326666666667	3.87	57.68	16.83	59.31	45.815	28.755	10.55	89.85999999999997	0.0	28.09	50.06	51.68	264.245	220.73333333333335	31.009999999999998	13.066666666666666	112.15	119.7	58.25	42.44	311.89000000000004	522.16
Carbohydrate transport and metabolism	1630.6769999999997	27.095000000000002	88.08500000000001	96.65333333333335	426.35999999999996	341.9883333333334	183.55	46.65	39.260000000000005	0.0	76.91	1.44	0.0	32.105000000000004	253.62	17.775	0.0	2.65	0.0	11.856666666666667	0.0	0.0	23.555000000000003	0.0	3.14	5.83	23.5	41.36	95.97999999999999	412.06000000000006	369.6850000000001
Nuclear structure	86.43790909090907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Extracellular structures	59713.49257575757	15.383333333333333	280.955	12.08	0.0	0.0	4.47	16.003333333333334	47.196	0.0	0.0	32.67	0.0	0.0	0.0	0.0	7.275	0.0	2.31	16.47	0.0	4.33	13.86	0.0	0.0	22.229999999999997	0.0	2.09	0.0	10.71	53.36
multiple functions	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Secondary metabolites biosynthesis, transport and catabolism	587.2110000000004	11.85	32.30333333333333	25.050000000000004	3.6	8.276666666666667	14.42	10.94	78.59999999999998	0.0	0.0	0.0	0.0	1.4	0.0	9.765	7.86	0.0	0.0	9.33	3.44	0.0	23.890000000000004	0.0	0.0	14.586666666666666	31.54	40.440000000000005	29.14	3.85	91.61
Cell motility	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Signal transduction mechanisms	15704.26374242424	144.83666666666667	132.19966666666664	244.8391666666667	123.26666666666668	108.78833333333334	6.469999999999999	162.2883333333333	149.78166666666667	17.94	39.693333333333335	35.125	4.216666666666667	16.92	76.03	73.64000000000001	18.494999999999997	0.0	9.62	78.17	46.849999999999994	1.835	27.109999999999996	5.51	187.07166666666666	90.07999999999998	56.730000000000004	147.54	12.98	75.5	681.4550000000002
RNA processing and modification	8493.895242424247	61.685	129.63466666666667	139.8975	73.41333333333333	125.88500000000002	6.27	107.17500000000001	71.065	39.02	18.93	22.830000000000002	23.08	11.575000000000001	0.0	0.0	11.335	13.89	0.0	26.025	22.38	8.95	51.76	0.8	42.81333333333333	0.0	26.52	20.69	41.78000000000001	6.74	82.13499999999999
Unannotated	14330.5	3561.660000000003	2089.159999999999	1871.4799999999996	741.6799999999998	1035.09	1409.2199999999998	1839.37	1248.9000000000003	577.28	3050.71	751.5999999999999	607.66	1018.4699999999998	460.53999999999996	1207.95	37080.48000000001	697.71	778.0899999999999	741.9799999999998	727.09	11805.47	527.9500000000002	648.22	1416.6100000000004	1386.2700000000002	29603.38999999998	17620.719999999998	4083.550000000001	7055.330000000003	315730.3599999999
Inorganic ion transport and metabolism	637.3986666666667	17.78	42.471666666666664	163.53499999999997	5.79	69.715	0.0	25.09	35.99666666666667	0.0	0.0	0.0	0.0	17.22	0.0	3.71	0.0	4.36	0.0	7.77	2.71	79.87	5.41	0.0	7.63	12.205	15.829999999999998	4.7700000000000005	0.0	16.04	83.68
Coenzyme transport and metabolism	3439.703333333333	29.62	30.125	44.339999999999996	4.11	788.025	0.0	2.76	13.785	0.0	0.0	0.0	0.0	0.0	0.0	11.32	28.740000000000002	0.0	0.0	8.125	0.0	156.59	24.62	0.0	0.0	4.711666666666667	0.0	4.93	0.0	7193.57	52.900000000000006
Nucleotide transport and metabolism	338.1791666666666	13.240000000000002	25.855	17.06	14.95	33.754999999999995	0.0	4.484999999999999	23.915	0.0	0.0	2.185	0.0	6.73	0.0	0.0	0.0	0.0	0.0	7.79	0.0	0.0	3.7933333333333334	0.0	1.9	4.04	0.0	6.08	9.89	0.0	54.339999999999996
