	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Defense mechanisms	857.0939999999999	33.51	277.485	179.79000000000002	0.0	39.015	0.0	12.895	52.075	0.0	6.62	0.0	0.0	0.0	2.02	5.96	3.21	0.0	0.0	5.3500000000000005	0.0	0.0	8.545	5.87	61.39	11.379999999999999	10.43	5.06	12.68	34.06	52.629999999999995
Posttranslational modification, protein turnover, chaperones	15937.064469696972	856.0175000000002	436.1250000000001	1481.3241666666677	1090.82	1946.2516666666666	65.57499999999999	146.735	17563.08833333334	34.89	54.66666666666667	539.29	135.66166666666666	25.470000000000002	460.5833333333333	145.545	165.8	9.39	352.43	96.285	80.73	79.45499999999998	175.09	78.71	420.0083333333333	474.125	483.84	283.875	213.64000000000001	251.98000000000002	1073.835
Function unknown	4957.627803030302	537.3216666666666	475.2893333333333	561.615	476.4258333333333	181.695	71.435	120.30166666666668	404.6833333333334	48.285000000000004	138.81666666666666	24.17	13.65	30.05	48.355	77.26333333333334	196.58499999999998	0.0	28.55	156.505	14.630000000000003	77.995	84.055	15.35	115.67000000000002	124.04499999999999	674.7199999999998	474.9800000000001	166.62	161.19	816.2333333333333
Transcription	6594.4791363636305	1341.042333333333	843.6433333333335	457.2833333333333	312.94916666666666	1000.1233333333333	294.1	226.29333333333327	422.5706666666668	18.255	550.2650000000001	312.0733333333333	159.58166666666668	365.56500000000005	27.984166666666667	7.955	161.13000000000002	28.86	97.08000000000001	60.175	219.24	147.56	183.73166666666668	97.405	139.90333333333334	301.76166666666666	325.21999999999997	83.14	306.65999999999997	359.15000000000003	550.8349999999999
Carbohydrate transport and metabolism	4211.454333333333	155.57500000000002	243.29000000000002	347.16666666666674	467.395	508.18	814.35	60.760000000000005	120.59500000000001	5.13	528.47	6.32	0.0	33.2	73.57666666666665	151.78	22.51	3.37	1.6199999999999999	64.36666666666666	0.0	6.75	41.300000000000004	0.0	21.89	39.050000000000004	21.729999999999997	280.13	263.53	471.81999999999994	1058.5800000000002
Nuclear structure	246.38563636363634	0.0	0.0	2.08	0.0	0.0	0.0	0.0	18.245	0.0	0.0	0.26333333333333336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	4.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Extracellular structures	9573.33613636363	178.54500000000002	1376.0349999999999	129.54833333333335	9.69	0.0	42.425000000000004	77.00833333333333	125.85400000000001	2.08	3.165	20.12666666666667	24.25	6.92	7.4350000000000005	0.0	29.73	0.0	5.135	119.23	7.18	2.29	72.72999999999999	9.83	0.0	111.07499999999999	10.540000000000001	38.87	13.32	42.14	91.86500000000001
multiple functions	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Secondary metabolites biosynthesis, transport and catabolism	2208.7651666666666	30.779999999999998	228.73666666666665	73.155	44.4	83.32999999999998	53.285000000000004	34.21	176.36166666666668	0.0	0.0	0.0	0.0	4.87	3.465	98.63	9.08	0.0	29.87	37.809999999999995	26.78	0.0	22.2	16.26	13.56	43.75333333333333	129.32999999999998	193.25	55.44	29.65	214.68500000000006
Cell motility	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.24	0.0	0.0	0.0	0.0	6.47
Signal transduction mechanisms	15453.480636363638	620.0958333333333	420.1610000000001	598.215	607.2241666666665	741.805	31.795	151.86166666666665	461.41166666666663	18.60333333333333	242.65333333333336	274.44666666666666	100.43499999999999	96.1	337.8466666666667	491.4200000000001	90.36	46.12	67.175	709.0233333333332	45.25	70.90999999999998	37.35	91.305	890.2133333333333	193.5400000000001	277.32	224.60999999999999	155.93	382.67000000000013	1052.9950000000001
RNA processing and modification	6393.892803030306	245.279	422.3966666666667	483.82499999999993	73.79833333333333	857.8549999999999	65.32	99.56333333333332	191.7733333333333	5.4399999999999995	67.77000000000001	46.63333333333334	225.69500000000002	162.62	11.399999999999999	24.28	51.105000000000004	7.45	4.84	53.574999999999996	23.0	123.99000000000001	42.14	36.16	141.82666666666668	52.528333333333336	59.83	86.805	34.580000000000005	73.64	290.425
Unannotated	66823.17000000003	16219.41	8379.71	11296.829999999993	6418.28	6457.3499999999985	4739.649999999999	8176.619999999998	4647.849999999997	3883.7200000000007	6035.099999999999	4560.789999999999	2223.9399999999987	5567.84	1707.6900000000005	5562.98	29168.319999999996	2993.0600000000004	3243.9499999999994	2793.940000000001	3098.6400000000003	6132.57	2319.36	3178.540000000001	7045.600000000001	7023.589999999999	26632.259999999973	27583.89999999999	33799.09	25185.970000000012	245923.3100000002
Inorganic ion transport and metabolism	2660.8338333333327	424.2	140.00333333333333	631.9324999999999	27.48	360.135	5.87	67.86	122.22833333333332	3.14	22.84	23.37	0.0	24.105	8.75	2.79	26.97	41.55500000000001	0.0	10.229999999999999	4.59	58.35	29.419999999999998	0.0	36.480000000000004	92.91	41.32	34.410000000000004	41.76	74.74	256.205
Coenzyme transport and metabolism	4285.5755	60.080000000000005	62.800000000000004	78.435	27.779999999999998	868.965	5.05	0.0	55.94499999999999	0.0	0.0	0.0	0.0	0.0	8.59	68.52	22.759999999999998	3.43	0.0	7.24	0.0	27.27	25.689999999999998	0.0	0.0	6.308333333333334	2.34	24.529999999999998	10.72	7498.97	58.95
Nucleotide transport and metabolism	981.5724999999999	44.36	119.24500000000002	50.17000000000001	71.92999999999999	27.235	0.37000000000000005	17.69	20.3	12.96	1.84	16.515	0.0	4.3100000000000005	15.94	0.0	5.28	0.0	2.02	83.75999999999999	10.8	0.0	10.149999999999999	0.0	11.57	5.609999999999999	0.0	10.969999999999999	2.91	0.0	70.69
