	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Defense mechanisms	0.0047618740316308925	0.002547622162821393	0.022571734973930592	0.013066933727852635	0.0	0.005219713522699684	0.0	0.005549209113992773	0.00133593972101247	0.0	0.002073842186917841	0.0	0.0	0.0	0.002141781328976591	0.0	0.0	0.0	0.0	0.003334552615730221	0.0	0.0	0.002150814960829376	0.0031732770991800678	0.014947992680722081	0.0028485762466531907	0.00029552698794672075	0.0026145016650423714	0.008064266084137834	0.00437796464344877	0.0022073005458511557
Posttranslational modification, protein turnover, chaperones	0.09188622733109923	0.07603360719028732	0.03460046894365385	0.10559323954231414	0.10363068247191984	0.24150225953327106	0.018376563102948388	0.054789426954028504	0.4132027519823251	0.06314685411833348	0.01545360698062114	0.14616312851940172	0.039554783436292276	0.012865925901235989	0.16114287902381746	0.04664272602174592	0.1004130287797278	0.007086394123283296	0.48590960041679165	0.029890892699454275	0.08324129460932873	0.08019547028868067	0.11754180732935103	0.027899236661793333	0.09400423465546519	0.11182355227083941	0.05654957627600274	0.049508636674693254	0.07418504686068636	0.02082769092548541	0.05057230735618923
Function unknown	0.02735654440662197	0.04124915288286473	0.04723250339243339	0.03846605532794416	0.03778221349682188	0.028276642687077004	0.025009647174160175	0.033260380673388865	0.009847009397053316	0.04665684953391773	0.03506804055425995	0.01427768880932234	0.02023838890667562	0.01621118784070008	0.013317846475889001	0.03945637938815685	0.07916262457006787	0.0	0.021581598017082145	0.029633180738293963	0.0	0.06252827984500588	0.060846877633827214	0.021333719606271093	0.03580696013624967	0.03660545258136625	0.08256812952525702	0.04555506808086423	0.0478331336762737	0.00925844348944992	0.04005098934810784
Transcription	0.0359261047365204	0.12457162820263382	0.05731684975224067	0.0314289483331208	0.029318865814217467	0.09767973689179653	0.18095027852231946	0.08688906860000642	0.011024114682041793	0.03624466888015226	0.12349414809835375	0.08924429650039278	0.08025724867780407	0.1033864716879937	0.013928173316655178	0.012592373141808172	0.08983375959079284	0.14989220696263175	0.04714166179883488	0.017366460866577255	0.12258232679784761	0.11634019728019879	0.10370812166765687	0.12380159943945507	0.04362978358100463	0.06013948159952845	0.0406329311243503	0.021964269965716758	0.1060615883306321	0.02770789349744446	0.020723739234033263
Carbohydrate transport and metabolism	0.02340618429079301	0.01231136037464553	0.014538193978989252	0.02245985852404909	0.03670740056159308	0.06358797272374915	0.2761299361374453	0.019372041599981904	0.0027743602146580153	0.0062931525499076175	0.12484648245218039	0.003342727469807059	0.0	0.012446253094518802	0.03477735515108194	0.04789282638971567	0.005206955345856483	0.013713669754072183	0.0072070223078258945	0.01241297217942418	0.0	0.005660082433177297	0.02666642103469398	0.0	0.0024097090075361274	0.01947566945106973	0.0019071233370517775	0.029379094926951357	0.026712705235712775	0.03646708586357936	0.03473596711920993
Nuclear structure	0.0012296419923311106	0.0	0.0	0.0001196118344284568	0.0	0.0	0.0	0.0	0.00031841910632707623	0.0	0.0	0.00031857700200392704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017731558028250749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Extracellular structures	0.038453034172766486	0.014051467210267862	0.09370418451074879	0.007048309118528696	0.0028302964218698463	0.0	0.0060107978821410816	0.021417355192740167	0.002242437961313371	0.007418418237639442	9.462397811031973e-05	0.0062852911444140624	0.0039154144513433645	0.0030286135040709775	0.003304572026651009	0.0	0.007444807008260575	0.007984669434685404	0.007814843466317235	0.03679092262729492	0.015568534242823184	0.0	0.05420790597208086	0.006589097670908931	0.0005750165073594802	0.03700653496903644	0.0010221661478706633	0.004449788060144703	0.004137833838348249	0.004162057567243905	0.0027405209993957747
multiple functions	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Secondary metabolites biosynthesis, transport and catabolism	0.011478613461817945	0.0027756291490096834	0.018127470832128054	0.006191530427428936	0.002712261066133615	0.009588996364018406	0.01842755117058174	0.013620657478778693	0.007897783900181454	0.0	0.0	0.0005594522962020182	0.0	0.0020756380693232814	0.0022834605468051972	0.03681081814431391	0.003075668048328777	0.01836473969977643	0.002447072196523579	0.007457943994295236	0.005442801982735007	0.0	0.015884712633619957	0.08594460576579731	0.002380470880043272	0.006338587215513749	0.0213290920339239	0.03416602197208445	0.03238108660418575	0.0014330356317375787	0.007260946893017954
Cell motility	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01128913227162369	0.0	0.0	0.0	0.0	0.0
Signal transduction mechanisms	0.07528017975959311	0.05732743046069387	0.03601967023430721	0.04425246358830389	0.04874126458613934	0.08005903323494461	0.023493910981786832	0.0642398125474805	0.009886181465560532	0.021699567953544587	0.07073175219294354	0.08076432061900288	0.06265275452380827	0.03545704944260785	0.1127596388669066	0.159304041575874	0.03758966105182702	0.03952411370169275	0.05430132141898613	0.1908586457590525	0.0298382180124937	0.07023685141460927	0.02365205616989135	0.10832260976776462	0.24637061438239732	0.049958525110134266	0.03203382647369729	0.03664209570951568	0.052094989782256365	0.02072780444438643	0.047144266514643075
RNA processing and modification	0.032779073081875894	0.018509851189850726	0.03825942884826592	0.032052975338388814	0.008512050559115405	0.08382580936439181	0.0270190405668019	0.06978478022775557	0.0049631072293251565	0.051977550254921304	0.0176808845764887	0.009091099813282797	0.17567316961372453	0.07289428790463579	0.0022081535751665685	0.003748916718119671	0.027938236763970954	0.0	0.0	0.006658944544819712	0.029149032047147385	0.0599985191644797	0.023442501393193843	0.04782822532288599	0.048914575125338165	0.003181920275516862	0.004091100253471225	0.007627490446798464	0.021424846733845395	0.002837428679058391	0.008793528984047767
Inorganic ion transport and metabolism	0.014979449919982554	0.0552053723778914	0.010422119841678602	0.040165326406873286	0.003037017801645733	0.04703864845410442	0.0064801198683117275	0.015984549870777652	0.0031395152268963666	0.0193101148882375	0.0036351378257381164	0.014670470942280842	0.0	0.0006484475136280032	0.0033466928751946486	0.002381143558037605	0.006632713055237088	0.07205166081124241	0.0	0.0067208323634496085	0.0029864725165007016	0.03550714503138548	0.018542143538113637	0.0	0.008159874081130931	0.01979475277281624	0.002653247792884295	0.0010761655017510017	0.018515960820238177	0.004147373710675816	0.01594250640922792
Coenzyme transport and metabolism	0.021468253560506006	0.0042824186276058385	0.004922144535301298	0.005177346717074626	0.0009114243549686826	0.043962935987699285	0.0011924254907891216	0.007086021931039943	0.0014481981371190897	0.0	0.0	0.0	0.0	0.0009135837633590793	0.0030020677507466872	0.04101381340140819	0.0020871916982685124	0.0075455126157777065	0.0	0.0020155107500064657	0.0	0.08440762465755679	0.003951604360581594	0.0	0.0	0.0014516211453011565	0.0	0.007206066715562983	0.0	0.4336273367726188	0.0038434885316638054
Nucleotide transport and metabolism	0.005098037569484282	0.007005621987918114	0.011382701764535727	0.00407471257204276	0.006569146068433711	0.0027072871545214096	0.0008575265920155005	0.005617072053475997	0.0003574374383016861	0.0	0.0006485685166311498	0.0044826115233186714	0.0	0.0027210554543829297	0.011043320654532457	0.0	0.0013522650439486137	0.0	0.004980975987117349	0.018059234955717877	0.0	0.0	0.006384896089999555	0.0	0.0053457043099436425	0.004047366938689655	0.0	0.0023052715364271976	0.0007356775421041505	0.0006732820159738606	0.0014796696900698787
Intracellular trafficking, secretion, and vesicular transport	0.05989692648270067	0.07050974814605918	0.10095806552511577	0.034499129238629515	0.06609644956030238	0.021345242202374104	0.05187746176764042	0.043580260178969654	0.005606131800051251	0.03420252003945375	0.16336369843075332	0.04232178919060462	0.10491316282560659	0.035663603206684054	0.04919076915222218	0.013479764432914048	0.07898073022312371	0.1672389013094858	0.12163132883914053	0.02673153495337784	0.06790248902162098	0.21403420730051909	0.061537717557005815	0.03478814501404731	0.12438874039710249	0.03564820261612672	0.012917127412726173	0.023418879559888504	0.05853569163554366	0.009745729988894652	0.01525908301102285
Multiple classes	0.11534978036902377	0.10023222138687453	0.13342230092824503	0.20236304884413575	0.07466773047360253	0.06779078979312812	0.06808007907785762	0.09564385906375536	0.02727840154838516	0.08354055818734979	0.057694999319890174	0.10419216253954044	0.4187647724668335	0.07213524069826283	0.07146248691700915	0.30940745519435386	0.14942896198959343	0.294594378792718	0.057774585181793785	0.11995829807882968	0.5293169106797316	0.08046695680073714	0.17366487508846595	0.3396855019639283	0.15860384692540783	0.15107793119921853	0.0646875289234861	0.09132056893878247	0.22641956169403138	0.07695700458027553	0.12038737567008151
Lipid transport and metabolism	0.0398396905239845	0.02445075512343448	0.020776626192643182	0.062090926727244436	0.12938939991463175	0.032322399833037314	0.030059783509300116	0.007552579639987106	0.004368485068523756	0.00338968923217982	0.01163677797469203	0.055136354841943076	0.002141406295104682	0.2066971901617786	0.009475914532969136	0.05536850965332211	0.008809933268659786	0.0	0.008959441751787941	0.024507576177438838	0.014455233837263751	0.02923827466208156	0.015368885490979933	0.0034191892310698187	0.013028022308691276	0.07389185392757701	0.0076788303626375955	0.010848730649394435	0.01781974490874498	0.006088362010361364	0.02912571645097752
Translation, ribosomal structure and biogenesis	0.08914498864455903	0.17969362775837047	0.1193547438800972	0.053046729954670566	0.13542494110461106	0.017060789466585458	0.06558919609199639	0.2671254955408393	0.4401942903850651	0.07761554811552727	0.057003061479958435	0.016301041280586306	0.021723727096662447	0.08236949993788235	0.029739871850509275	0.014738171115621132	0.12218523091395478	0.0037128712871287127	0.021992074643595778	0.012756280228042755	0.03139330429327513	0.0	0.026224283483859676	0.0038065850552796996	0.050940127624426505	0.03348829968400649	0.09779426450314935	0.0989659210536598	0.07034035656401945	0.012331720284497001	0.22829840545919433
Chromatin structure and dynamics	0.004873001265693459	0.020838234127697017	0.0022619358389129166	0.005061010824671264	0.005799364140348505	0.0	0.0	0.017009563019222178	0.002659672761336271	0.005348485058972257	0.1478184244713378	0.25282737089278484	0.0	0.007926816334817087	0.0011564087509253823	0.0	0.014294323426522032	0.028625039923347174	0.0	0.0	0.0	0.002097850320436353	0.0	0.0	0.0	0.00010339012659942743	0.003107904697417712	0.004488860459067197	0.0	0.001472736429125375	0.017610271150452144
Cell cycle control, cell division, chromosome partitioning	0.00500617781933545	0.007675790787659058	0.0029309683898111763	0.007506621397941942	0.004042126074095154	0.0013384699914389033	0.013043674756387126	0.014997709625792442	0.002589691891695442	0.30914243640859645	0.007834076854383554	0.00295888103324623	0.0	0.00039593679959840696	0.0029612232915528546	0.0	0.0029985007496251873	0.0	0.005553275129852702	0.003244030134749178	0.0	0.0	0.013425322507104136	0.0	0.0	0.004397645557254957	0.007070726752824151	0.008395542174189221	0.009558170671552391	0.0033506385302220954	0.003982084885145953
Amino acid transport and metabolism	0.019225337293397537	0.010890101762523379	0.007458179586134883	0.030011144594967322	0.0019880982079680887	0.026963728208601136	0.0	0.013701244719415022	0.012050638108076415	0.0	0.003944637087473954	0.04117802005170272	0.0037422124715922505	0.14783088246434295	0.17473514920991495	0.003826442322334849	0.023082208895552223	0.0	0.002881230166874536	0.009560282430140659	0.0	0.00859707288178819	0.03798007617661552	0.013124296792362574	0.04744373487840594	0.09474189902706324	0.0029690719640691155	0.008532295570417953	0.00869283348601226	0.01044457279222778	0.013269747420093743
Cell wall/membrane/envelope biogenesis	0.005640892332684491	0.009238011498873636	0.018866045328084176	0.004844103512097495	0.00581021063249724	0.0020376972211219157	0.014248847264084584	0.002908209719103983	0.0013531889599705123	0.0	0.043381151297827	0.018207841190141516	0.0	0.033478375487471936	0.029154009138947744	0.027959055405888063	0.010428609224799365	0.0	0.03155144377259595	0.08792042150222981	0.0	0.016313871315393285	0.0024018201329176012	0.0012935651869269067	0.05336851654674973	0.0019278693434013928	0.0035353633764120757	0.0061611591329499785	0.016652808117821157	0.0021084930338696748	0.0029740183042770295
Replication, recombination and repair	0.010675130770641715	0.011567456510887503	0.018573202480650784	0.012777012858631758	0.0010610421437262296	0.0006910636630420432	0.008454748669385259	0.00986981626109135	0.004293907476558099	0.0014378394898795547	0.00019516195485253445	0.0037724179139733316	0.01323683008885786	0.009111596605043952	0.010195798126260432	0.0	0.022531013904812297	0.014651868412647717	0.00798850665445762	0.000910767002523545	0.0	0.0223523894926493	0.01746903885744288	0.0	0.007494706680668479	0.000527646163335009	0.001280346318659282	0.004661895368581103	0.011739835106757806	0.0026365680237813213	0.002588269832762676
Energy production and conversion	0.04954853160150001	0.03962485732615371	0.03741801129321678	0.01762165170759677	0.05953703343335501	0.012774384573556575	0.04142780495210019	0.015788030108524153	0.0037213772554917307	0.00575135795951822	0.017674970577856806	0.019957295141389917	0.009053739850626411	0.104907596229308	0.031417685650830925	0.0013926921042940878	0.015619028720933653	0.04722931970616417	0.004388942391184225	0.029496473318036877	0.02140010779575355	0.0	0.04957927848678423	0.039554797981499315	0.0025169154750099283	0.0585054422423536	0.004924096653562806	0.019115333907139424	0.03569304488760482	0.012399429178672079	0.017256440804678138
Cytoskeleton	0.1373348159765584	0.04808613105136528	0.054901742899407587	0.14020450986953445	0.17363192237484584	0.04829991950013417	0.05107903498129086	0.057089697840261945	0.004691891387968469	0.04196824250170179	0.00841660571962521	0.014209311306453204	0.03222868959580955	0.01123319162432062	0.18741288642687562	0.06457605953966403	0.07450135226504394	0.05054295752155861	0.0011051293790751648	0.030467588641214453	0.027271442077453897	0.029172459750067874	0.04010325754051776	0.00923012659421803	0.000674913442960068	0.09115176601031763	0.519589217486754	0.32623220391773367	0.0725643013177366	0.2726745937738273	0.2458136049730829
General function prediction only	0.07936150860489811	0.0613219027036115	0.09398070604946723	0.07987679901152843	0.061799058737157804	0.06592647962870679	0.07219157144065627	0.0571231580395905	0.022755066894762473	0.18485614659016708	0.08730934746910429	0.05973784997820468	0.011903699699258377	0.025601556274032704	0.03984185535955888	0.11940881189242766	0.11640319546109297	0.07724169594378794	0.10478994648016293	0.2932466534393001	0.019451832086024544	0.08285274736123337	0.1034924260916422	0.13020542084661144	0.03899554037338713	0.09057688125465699	0.031362801595845737	0.15536413801264387	0.07983651610175464	0.02354275413314305	0.06793975041277361
