	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Defense mechanisms	0.005211757475033731	0.004081363673869692	0.021596506020523664	0.012779700581216776	0.0	0.004650080380572744	0.0	0.006973965862635502	0.0036183571413023587	0.0	0.0012527091981459906	0.0	0.0	0.0	0.002549259121567794	0.002588343511255334	0.00220653250453388	0.0	0.00113347606735663	0.0031220887312865264	0.0	0.0	0.0016490843712047248	0.0040996806507083	0.010946333370915008	0.0027264326806151354	0.0	0.002469418518041982	0.012466858610547249	0.005513874976434006	0.006287029119088439
Posttranslational modification, protein turnover, chaperones	0.1031982728500527	0.0681086562013192	0.038883352925236155	0.10338855187235618	0.1070524913354264	0.19084032677629648	0.021675100174301878	0.06283647267252067	0.2787789692287476	0.05891424403459414	0.016024953509616406	0.1635134779244758	0.04695486771076118	0.022409671726968953	0.1707799639932543	0.06534736949689553	0.06368939669524626	0.03214144495283286	0.3449138039604987	0.03607230452544809	0.08302559368107915	0.04954245793564894	0.14420062073837703	0.034811802276387256	0.1070624687937894	0.13894780072576532	0.07656120828085301	0.049114515152337834	0.0665132151290443	0.02979139267648375	0.0680891979405301
Function unknown	0.034059497225636996	0.04511272851990849	0.047114898816820655	0.0406157585172058	0.04050764941463451	0.02679780740453082	0.017922963638769916	0.03336039413684975	0.0285270366031904	0.05763780348025424	0.04079341681295908	0.012788564815111387	0.02156132550119117	0.01681288562381888	0.027931012984134095	0.021639369394690446	0.08011270752070891	0.0	0.04309061141032573	0.04003953282098102	0.014511847976611788	0.09878316769982617	0.057575072035815494	0.011308240303518301	0.03399866316620227	0.032961039044376916	0.12404561567527564	0.07620965504867418	0.05750807821367913	0.020292877050241572	0.053242548651155214
Transcription	0.03947920226357517	0.09998011927328465	0.047826221966840554	0.034602082069346014	0.02785076615111107	0.12224985651425295	0.17937793846965389	0.09580704109953372	0.030212936142402273	0.05903928310930499	0.13616519973847552	0.10357335292153966	0.10713077555981756	0.09971590553546175	0.023302014084040888	0.004813859008099752	0.07284035520482339	0.24308026888098067	0.12792598574141437	0.04361967665896215	0.13484446325075655	0.08452228672636034	0.10419395296041403	0.0893249993176297	0.03715921475778612	0.06835680359524414	0.06673873242179891	0.016928265280707486	0.09253438419155724	0.04210079204457436	0.02815963133421271
Carbohydrate transport and metabolism	0.027889346071092874	0.011881087780330707	0.017790212403828557	0.023988761066638394	0.03643203471991081	0.07214945615015288	0.3041145380155491	0.02595906776425572	0.011102973127455337	0.01120141710951339	0.11897133698392244	0.003508367338658876	0.0	0.008448994405716934	0.023554476943906295	0.04623374300534021	0.006141648234641231	0.0024148449415353334	0.005882222205759242	0.01136739056728792	0.0	0.0024664633146380664	0.03833178545630621	0.0	0.0033461111021630945	0.013378690991462152	0.003912759317690953	0.02858245697699261	0.058297775384233	0.03530356408701361	0.053819732788680144
Nuclear structure	0.0013146186280566631	0.0	0.0	0.00023372370029847632	0.0	0.0	0.0019992622440733136	0.0	0.001133696815007284	0.0	0.0	0.0004825873515136373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006024757289677396	0.0	0.0	0.0027782408179140967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Extracellular structures	0.027006417281304873	0.02150256575822636	0.09135440381401475	0.006137333325479432	0.0007564077775049769	0.0	0.007937915867665735	0.018600102094656335	0.006038321169354351	0.004715015108888194	0.000835711478763147	0.0046457929842618146	0.009611001694288445	0.003477967035029974	0.004137927849501347	0.0	0.01329761105018733	0.0005507541094729708	0.0023521480482727453	0.02652752700448695	0.005084115504949479	0.004414706943487816	0.01877297009819097	0.0136201108169337	0.0	0.027525820496613417	0.002144659559641446	0.004144420849352484	0.0064107875222668715	0.006787006562135862	0.00458704682580752
multiple functions	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Secondary metabolites biosynthesis, transport and catabolism	0.01399878592957478	0.0034260565258716186	0.016195258069467425	0.006617052447514199	0.004549787111469217	0.009924232545581514	0.015055477180721104	0.013332361003273037	0.0119641124326265	0.0	0.0	0.001054859078087331	0.0	0.002563107768168905	0.00019858359099169412	0.031696348723714136	0.0019091418420696265	0.010506693780715136	0.002815169317617774	0.005981988950892648	0.011008103810842695	0.0	0.017995062669175024	0.007929142669978437	0.004266190990062333	0.00899800323631864	0.01768099758049507	0.03349296416392122	0.028988359086954726	0.006561000152185221	0.011733561004222614
Cell motility	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010567232755052605	0.0	0.0	0.0	0.0	0.0
