	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Defense mechanisms	1277.7080000000003	73.7	385.99500000000006	303.73999999999995	0.0	48.855000000000004	0.0	32.515	89.765	0.0	7.3	0.0	0.0	0.0	11.04	10.13	8.31	0.0	1.53	16.79	0.0	0.0	4.155	7.51	54.37	16.994999999999997	0.0	20.92	48.15	48.550000000000004	137.41000000000003
Posttranslational modification, protein turnover, chaperones	25299.960606060584	1229.885	694.9633333333335	2457.2750000000005	1887.9766666666667	2005.0200000000002	76.97500000000001	292.965	6916.010000000001	56.54	93.38333333333334	765.7483333333334	109.19166666666666	89.53	739.5916666666666	255.75	239.85999999999999	22.76	465.575	193.99	129.5	75.52500000000002	363.325	63.769999999999996	531.7750000000001	866.12	707.545	416.0799999999999	256.89000000000004	262.315	1488.1649999999995
Function unknown	8349.984106060605	814.6316666666664	842.086	965.3301666666666	714.3925	281.54499999999996	63.64999999999999	155.53750000000002	707.7050000000002	55.315	237.71833333333333	59.89	50.14	67.17	120.96000000000001	84.69	301.71166666666664	0.0	58.16499999999999	215.32500000000002	22.635	150.59	145.065	20.715	168.87	205.45999999999998	1146.3750000000002	645.6199999999998	222.11000000000004	178.68000000000004	1163.675
Transcription	9678.67227272728	1805.4099999999999	854.7995000000002	822.400833333333	491.17583333333334	1284.39	637.0266666666666	446.685	749.5291666666669	56.66	793.4849999999999	485.0433333333333	249.12833333333327	398.38	100.91333333333336	18.84	274.3233333333333	172.13	172.67833333333337	234.57833333333332	210.32500000000002	128.85	262.525	163.62999999999997	184.56833333333333	426.0966666666667	616.7699999999999	143.41	357.39	370.69999999999993	615.4599999999998
Carbohydrate transport and metabolism	6837.3175	214.54500000000002	317.9649999999999	570.15	642.5149999999999	758.0216666666665	1080.0049999999999	121.03	275.44500000000005	10.75	693.29	16.43	0.0	33.755	102.00666666666667	180.94499999999996	23.129999999999995	1.71	7.9399999999999995	61.13166666666666	0.0	3.76	96.58	0.0	16.62	83.39500000000001	36.16	242.14	225.16000000000003	310.85	1176.29
Nuclear structure	322.29027272727274	0.0	0.0	5.555	0.0	0.0	7.1	0.0	28.125	0.0	0.0	2.2600000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.24	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Extracellular structures	6620.859772727274	388.28666666666663	1632.7799999999997	145.8683333333333	13.34	0.0	28.19	86.72	149.8	4.525	4.869999999999999	21.756666666666664	22.35	13.895	17.92	0.0	50.080000000000005	0.39	3.175	142.66	7.93	6.73	47.3	24.95	0.0	171.58	19.82	35.11	24.759999999999998	59.75999999999999	100.25499999999998
multiple functions	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Secondary metabolites biosynthesis, transport and catabolism	3431.925	61.866666666666674	289.45833333333337	157.27	80.24000000000001	104.26666666666668	53.46666666666667	62.160000000000004	296.8083333333334	0.0	0.0	4.94	0.0	10.24	0.86	124.05	7.19	7.44	3.8	32.17	17.17	0.0	45.34	14.525	21.19	56.08833333333333	163.4	283.74	111.96000000000001	57.769999999999996	256.44999999999993
Cell motility	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.87	0.0	0.0	0.0	0.0	0.0
