	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Defense mechanisms	0.0008622255147450865	0.002418079703972048	0.013457442496333473	0.004254145277538926	0.0	0.00039915939582942214	0.0	0.006930830485244875	0.0004392066304197713	0.0	0.0013476658214902095	0.0	0.0	0.0	0.0	0.004587306806971392	0.0	0.0	0.0	0.004893541615550285	0.0	0.0	0.0061975352741561	0.004780965087836336	0.01964506124819781	0.0032090072248505516	0.0	0.0	0.007243375285433595	0.0001245840708883363	6.707267570186878e-05
Posttranslational modification, protein turnover, chaperones	0.06138448791235834	0.04298218870586407	0.03962428235571572	0.06524083758040529	0.24164151450316804	0.31855836020216777	0.05880922376246379	0.02573688867299317	0.4568869199997865	0.042444509775099226	0.0024858131094681077	0.025156303015787477	0.007708447363619778	0.0011728657508539928	0.30919027790350323	0.03631206839855311	0.4461831611783055	0.09508478214209058	0.35995868479944915	0.050659742100815135	0.05391615209619761	0.021912290265915565	0.08959635649223077	0.0016677785190126755	0.12074175491731577	0.09497438906614832	0.024745914086686197	0.0991928056774473	0.05823376347512082	0.03861327547095374	0.02068137593172351
Function unknown	0.005071979590624087	0.02199237014652946	0.027048034569757358	0.02226240692423421	0.02271288064080132	0.005927243631220459	0.016050938515619815	0.028107886168988495	0.001886039808361285	0.024400999559018078	0.007302076009062565	0.005295341596311598	0.0016192300675059294	0.008781832309519271	0.035456458767086085	0.03710676312616464	0.01746319021413927	0.0	0.0	0.03944140017992966	0.0	0.008071355018474773	0.02441507412037864	0.010191979838410794	0.011979960792855585	0.07832422586520946	0.014128407671025828	0.015332380311136314	0.026573203759757847	0.0016749636197209662	0.0031832565036710794
Transcription	0.024974360393573432	0.07379427292717165	0.044233849472192124	0.03164499153045898	0.005316504718190054	0.03319311112852749	0.12119637711598974	0.06609155520086973	0.0037405830548694814	0.1641555196236954	0.02529403617923423	0.014381623854858994	0.01556513409961686	0.09887258279699161	0.01977629673214447	0.004011838211114766	0.05480268385274122	0.12094870143807684	0.14322602857634706	0.04633870396117882	0.25144621384465393	0.42015718698891524	0.33116627969280227	0.46690386183381527	0.027374123976171456	0.0551073132765288	0.010690143284274225	0.008382615194623274	0.12204343901014286	0.02091801156901525	0.005694200607871892
Carbohydrate transport and metabolism	0.00810595862565716	0.009576671658252708	0.03727144088969467	0.011626705440803629	0.06601804767643514	0.03694411586193822	0.1308836859675886	0.009845422529102546	0.0005129016700718517	0.0	0.02231372381906122	0.0	0.0	0.07183069682886423	0.13940436317552274	0.022459717198290038	0.0043112327477119565	0.02811762180725478	0.017972112239628166	0.02371345746662668	0.0	0.0	0.011609215931416325	0.0	0.001192809949072201	0.009406975464847617	0.0015622294008281316	0.018152751105317798	0.07941160851786948	0.020534742517601828	0.005623560236653964
Nuclear structure	0.00043767642943065387	0.0	0.0	0.00013746858519915418	0.0	0.0	0.011850279675443831	0.0	0.0005173470813109182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005947490623325594	0.0	0.0	0.0	0.0	0.0012073088621113973	0.0	0.0	0.0
Extracellular structures	0.12547372896824144	0.006500021420978014	0.09247999685550813	0.0017778655280454372	0.0	0.0	0.02071588070128894	0.030367562441086484	0.00030989455682114763	0.0	0.0	0.004822565515039019	0.0	0.002902842733363632	0.0010183760296913187	0.0	0.0036049557105441274	0.0	0.005439834739197797	0.017202366347700445	0.0	0.0	0.016110019646365423	0.0	0.0	0.011784697008594027	0.0003012819870584716	0.002329486971125196	0.0	0.00038499938573131713	0.0004567443081778558
multiple functions	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Secondary metabolites biosynthesis, transport and catabolism	0.0029077317391578918	0.004892949907790162	0.009569818774090369	0.003983821146912401	0.0	0.0033220754587447187	0.0224182529680971	0.008622334796412272	0.001058600596396372	0.0	0.0	0.0	0.0	0.0033866498555909044	0.0	0.020700427490956925	0.005863570818987081	0.0	0.0	0.006147596848504675	0.004614884627884304	0.0	0.009358814073941775	0.0	0.008173341216251255	0.02748947649376739	0.0033491679321464305	0.008318490731251056	0.015718761616483463	0.0010295489191466682	0.0022451111471932864
Cell motility	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Signal transduction mechanisms	0.06715450030233303	0.04770725792551279	0.041432242342056835	0.06207798374487799	0.016916151376059264	0.021120817711741294	0.03457805487386969	0.1564540286717209	0.0025518306960848835	0.012420990739379684	0.016491594400528414	0.013002589665289506	0.03801136248454256	0.039574445210065146	0.0952068434869195	0.10083031897402171	0.013051411082663838	0.19660871431637691	0.030160096402134618	0.10899830066428579	0.009977250568735782	0.0353140711127264	0.03058581889623147	0.0269068267734045	0.15818388634768504	0.047900799908721564	0.006530877467685539	0.012542966154444874	0.040890021772609	0.0034874888177144703	0.004793397131128824
RNA processing and modification	0.04334551277071041	0.015009629476859866	0.027920876723636013	0.02325986913728776	0.0048612905238611635	0.017635919242216844	0.028763458689836607	0.03246676266315064	0.0009568171435078194	0.07669410554167279	0.008347005305435409	0.007823882801429056	0.008780332056194126	0.020363881599202452	0.011700009052231373	0.0	0.008868926753185602	0.0	0.0	0.016888852539461846	0.049675008124796895	0.011221152098855172	0.007519199857117342	0.02420131939811727	0.030743379904782642	0.003031747778144521	0.00019178995850753058	0.0039005363237445143	0.09527906112261698	0.0008305604725889088	0.00146592644648647
Inorganic ion transport and metabolism	0.004327900084053183	0.01436799646105517	0.01621624277442447	0.028013606622110852	0.00148360378032763	0.010610531611054706	0.015409785324224533	0.015058725559931293	0.00040084437787523444	0.0	0.004490443824174888	0.0016091850787378	0.0	0.027840900760896653	0.0	0.005047681683656692	0.00404637885877402	0.017922300922944837	0.0	0.0	0.0194995125121872	0.12487128233084985	0.014699053402393285	0.0	0.0031635394301480113	0.014443588709184484	0.0008194011286982184	0.00036705727309613913	0.0	0.001747637661072496	0.0029163135969474474
Coenzyme transport and metabolism	0.01728614487217914	0.005401075432728665	0.00676004333502841	0.005071575925098997	0.0	0.225974340794637	0.0	0.0	0.0005620975544508544	0.0	0.0	0.0	0.0	0.0	0.004899520231737123	0.017132522196645843	0.01548659545039875	0.0	0.0	0.007497069327444726	0.0	0.21380762008601373	0.05865333095195571	0.0	0.0	0.0016462716429709496	0.0004680247494922575	0.0	0.03777813180394032	0.5939701309690045	0.0005968358187750214
Nucleotide transport and metabolism	0.0015094868259004236	0.005383141590672012	0.010187048132835125	0.001749264681460378	0.0036401665225348425	0.005857071773962776	0.0	0.003959854964348292	0.0003141423942273668	0.0	0.012709607312551937	0.00023950661637027725	0.0	0.007931504640150126	0.010319543767538696	0.0	0.00045613725317088954	0.0	0.0	0.023172759739374608	0.0	0.0	0.0017443591117461453	0.0	0.0008194085737104685	0.0026038801481644475	0.0007492689796917334	0.0015566766280703732	0.01144920609633052	0.0	0.000765706739868379
