	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Defense mechanisms	146.9985	8.09	36.52	23.055	0.0	2.19	0.0	7.99	22.23	0.0	2.53	0.0	0.0	0.0	0.0	2.79	0.0	0.0	0.0	3.59	0.0	0.0	3.47	1.29	18.939999999999998	2.625	0.0	0.0	6.82	1.44	4.23
Posttranslational modification, protein turnover, chaperones	10465.275606060612	143.80249999999998	107.52999999999997	353.5675	1561.9683333333335	1747.78	26.599999999999998	29.669999999999998	23124.86999999999	5.775	4.666666666666667	67.22166666666666	10.14	0.8	273.25000000000006	22.085	606.47	8.86	104.55	37.165	16.59	14.47	50.165000000000006	0.45	116.40833333333333	77.69	345.79	897.19	54.83	446.31	1304.2900000000004
Function unknown	864.708106060606	73.57833333333333	73.40133333333334	120.64933333333333	146.81583333333336	32.519999999999996	7.26	32.40333333333333	95.46	3.32	13.708333333333332	14.149999999999999	2.13	5.99	31.335	22.56833333333333	23.736666666666665	0.0	0.0	28.935	0.0	5.33	13.67	2.75	11.55	64.07	197.42499999999993	138.67999999999998	25.019999999999996	19.36	200.75500000000002
Transcription	4257.811272727272	246.88833333333324	120.03916666666666	171.49749999999997	34.365833333333335	182.115	54.81833333333333	76.19166666666668	189.32583333333338	22.334999999999997	47.485	38.43000000000001	20.475	67.44000000000001	17.4775	2.44	74.49	11.27	41.6	33.995000000000005	77.37	277.45500000000004	185.42	125.98	26.39166666666667	45.078333333333326	149.38	75.82000000000001	114.91	241.78	359.1100000000001
Carbohydrate transport and metabolism	1381.963	32.04	101.14500000000001	63.01	426.74000000000007	202.69499999999996	59.2	11.350000000000001	25.96	0.0	41.89	0.0	0.0	48.995000000000005	123.19999999999999	13.66	5.86	2.62	5.220000000000001	17.396666666666665	0.0	0.0	6.5	0.0	1.15	7.695	21.83	164.19000000000003	74.77	237.35000000000002	354.65500000000003
Nuclear structure	74.61827272727272	0.0	0.0	0.745	0.0	0.0	5.36	0.0	26.185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33	0.0	0.0	0.0	0.0	10.92	0.0	0.0	0.0
Extracellular structures	21391.677272727273	21.746666666666666	250.96666666666664	9.635000000000002	0.0	0.0	9.370000000000001	35.00833333333333	15.684999999999999	0.0	0.0	12.886666666666665	0.0	1.98	0.9	0.0	4.9	0.0	1.58	12.620000000000001	0.0	0.0	9.02	0.0	0.0	9.64	4.21	21.07	0.0	4.45	28.805000000000003
multiple functions	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Secondary metabolites biosynthesis, transport and catabolism	495.7313333333333	16.369999999999997	25.97	21.59	0.0	18.226666666666667	10.14	9.94	53.580000000000005	0.0	0.0	0.0	0.0	2.31	0.0	12.59	7.970000000000001	0.0	0.0	4.51	1.42	0.0	5.239999999999999	0.0	7.88	22.486666666666665	46.800000000000004	75.24	14.8	11.9	141.59000000000003
Cell motility	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
