	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Defense mechanisms	0.0008721632019997991	0.0	0.014195831871700077	0.004460622104566513	0.0	0.00016533961500020438	0.0	0.003570028708539467	0.00017024250848684185	0.0	0.003392488434698519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01335458579244389	0.0	0.0	0.0	0.005488920512299249	0.012427482652713005	0.0	0.0	0.00036283701137013993	0.006126085987970595	0.0003036503560646914	0.0009530802395902661
Posttranslational modification, protein turnover, chaperones	0.05961013281150265	0.04787827065894358	0.028999553264913908	0.062256599749981635	0.2457990418302697	0.2893536149927734	0.029512311220736515	0.04394207443033146	0.4473644437002967	0.0386786600496278	0.001989841701297231	0.034757613990469484	0.003969176140324784	0.01492614756650178	0.41870966682539945	0.01790701282581713	0.44558486496202765	0.04173875432525951	0.20930418768516293	0.03410804290699177	0.1135898485468686	0.003804845770131324	0.12141824010007428	0.04563935759300671	0.20767451560307895	0.09706896280321753	0.02595985806401299	0.060964099085675676	0.05400856414445187	0.028192864594620476	0.024329381843886024
Function unknown	0.006161788729702252	0.025920142356508632	0.03863733805853129	0.025353849547760873	0.014702204158199159	0.005526801737366381	0.036782206066900344	0.01880886045107366	0.00242567481770567	0.019323821339950375	0.015657370865023567	0.00040979942181027033	0.0015895295550246795	0.00115016084956242	0.0405425376442963	0.03389618673286443	0.034314474452882764	0.0	0.0	0.024889070779304703	0.07060990585345886	0.004250229054260409	0.034439623157812446	0.011511486074405369	0.0025594357865999324	0.07174902010168904	0.00386876592969135	0.010723018205440561	0.06889680948491374	0.0033955921559931253	0.004663479226002736
Transcription	0.024211106681021485	0.06626659161476584	0.03816999019581387	0.02437017427752041	0.010868299172099666	0.026761176524499372	0.08928700217808358	0.056876807525662904	0.0039526929967588385	0.1746588089330025	0.030176942578604853	0.014126903704586776	0.02786789243253795	0.07536580303711647	0.030230381451255364	0.005895738518824989	0.06959511077158138	0.0	0.2696773160381135	0.09080041356136648	0.11938190749079	0.5188588007736944	0.26669533377637056	0.03084976621264485	0.015366094111401819	0.05072646276386419	0.011485329618325482	0.0036657759911622387	0.10639588129006708	0.023743945892278462	0.007132471177654779
Carbohydrate transport and metabolism	0.007721348558633109	0.005792312022225047	0.030712287613445223	0.021007794690786095	0.06042078547848716	0.03284313543357992	0.3054654030897054	0.011960125851457145	0.0005735149852737419	0.012468982630272952	0.02319333002273856	0.0011548892796471256	0.0	0.05711889031097582	0.13947683870014288	0.01706661150186181	0.011593942389790142	0.0	0.07070221795179757	0.011293958844900129	0.0	0.0	0.0325436847660373	0.0	0.0	0.01883451131015159	0.0	0.022010865160539794	0.07379767827529023	0.042766821725741984	0.004506010425235518
Nuclear structure	0.00047094030283505113	0.0	0.0	0.0	0.0	0.0	0.025617724696005886	0.0	0.0005486528367570993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Extracellular structures	0.09523762083025938	0.010793552799617476	0.10597965406513936	0.0017891021398632255	0.0	0.0	0.0	0.005840581091913232	0.00029432850848459444	0.0	0.0	0.0014487858346827738	0.003950585151377127	0.0	0.0	0.0	0.0018424482092302163	0.0	0.010609336215869965	0.015400852970318357	0.0	0.0	0.0048278018842109385	0.00228705021345802	0.0	0.026587120436979552	0.0	0.0	0.0	0.0015686501796702936	0.0003337976875984341
multiple functions	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Secondary metabolites biosynthesis, transport and catabolism	0.0030782766783674993	0.0007916765020972165	0.011118906488452346	0.0027255680564747414	0.00021149619766618543	0.0009363052355067752	0.02700967876873368	0.008135851774950475	0.001202372832217299	0.0	0.0	0.0	0.0	0.0033553564633851053	0.0	0.035348572610674395	0.0014290208061834362	0.0	0.0	0.020807306250807737	0.049570200573065895	0.0	0.004866893397443416	0.0	0.0	0.010244987695520541	0.0018052173173247691	0.002443850660774826	0.017821341055914458	0.0008000745896310332	0.0017927416054532
Cell motility	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Signal transduction mechanisms	0.07039482911569192	0.06660674619747124	0.04183344276843831	0.040592139127877055	0.016115703745934826	0.018445584689180103	0.014085421264442425	0.1438746287841068	0.0021801903644613047	0.004073614557485525	0.03083819032435117	0.02543240048083132	0.01575741238221834	0.01499533017399426	0.06643787254306312	0.14333367811336367	0.007724801150406688	0.04390138408304499	0.055969252942589476	0.14403925961027586	0.02505116659844453	0.017115443347246257	0.007788984011571089	0.019922748526123198	0.1501701550828499	0.060305067136807965	0.000871148072130706	0.013444919222007625	0.040382663795450614	0.0032582565177729952	0.01070736173748414
RNA processing and modification	0.050032377230056525	0.016906045914816092	0.02105051704339327	0.026426207809397747	0.0023016303598194007	0.016508881895497936	0.023670431433640574	0.05701982054514445	0.0014043602309005323	0.029063275434243183	0.006863385693003321	0.002839620235978237	0.007600615981433799	0.01801342142585354	0.0036782213172630103	0.0	0.013045432076573946	0.0	0.04548002241972936	0.03811441864472494	0.015309046254604995	0.009340323730021378	0.053789922207888675	0.033645049806871316	0.02516304553899822	0.015841033471332398	0.0015207427179819851	0.0024787628130716085	0.08161926684983045	0.0025287396872275335	0.0014336248982072066
Inorganic ion transport and metabolism	0.003359412119163047	0.013596499191981554	0.01300553771613433	0.022136737995440844	0.0006105803271754224	0.009334257253578953	0.026526461551776365	0.010582963441634799	0.0007108420692649154	0.03635235732009926	0.0	0.0009835186123446488	0.0	0.017364834480611574	0.0	0.006645635084815887	0.005644182806812566	0.08304498269896193	0.0	0.004695644681859303	0.0	0.05530387865214293	0.009245142879480866	0.0	0.012000910021613015	0.001763029892801486	0.000677067270709928	0.0041894582756139866	0.01537090666072622	0.0008403933091085027	0.0024527154390214666
Coenzyme transport and metabolism	0.02070829516642595	0.004386904653823107	0.010845318725995484	0.0076075446724023854	0.0006013848403203707	0.2696438324608108	0.01830455666623394	0.0020233693867389856	0.00016757369028449036	0.0	0.0	0.0	0.0	0.0	0.0	0.011015721969383534	0.0436884914393565	0.0	0.0	0.008723560074096411	0.0	0.24203400183243406	0.04649935499003167	0.008767025818255744	0.0	0.004349856491465571	0.0	0.0	0.0	0.6896239775424733	0.000787473182507761
Nucleotide transport and metabolism	0.0015002574921915673	0.005149528807219509	0.008897973501713482	0.0034215751158173406	0.0048405042804991315	0.0034229015802008595	0.0016876541607166039	0.0024524084451836396	0.0004522944532406194	0.0	0.0	0.006728161416266803	0.0	0.004860078176346467	0.0	0.0	0.0009347054329753293	0.0	0.0	0.023208977727997245	0.0	0.0	0.0008925895521415636	0.0	0.0009384597884199752	0.06417743636563981	0.0	0.003089725478265315	0.008489888864137027	0.0	0.0007032486885781251
Intracellular trafficking, secretion, and vesicular transport	0.03766460765490801	0.032337685133065806	0.09114520089586875	0.019507463784101772	0.021382725358394104	0.0012140386337374557	0.031012448252484604	0.01108086062057057	0.0027754398306040207	0.1007754342431762	0.051003197337584835	0.00590276742930753	0.37146190241589905	0.003926112975198036	0.012348314422240103	0.03856795614398014	0.043243607603469195	0.09299307958477508	0.017055008407398507	0.022885882910438117	0.10386819484240688	0.03976636465438257	0.0753684375122161	0.02464931896726977	0.053975656921851904	0.011845357092259985	0.0022297136820761503	0.013691798013249164	0.0040964332566025595	0.0043953704030359995	0.005477950750889783
Multiple classes	0.07263087094023037	0.07721448501685642	0.15730546785756042	0.12961743510552248	0.03417701925228431	0.010166528574029419	0.056514777792202174	0.031591752562758	0.007213801554544463	0.014857320099255585	0.030129897284441078	0.015634468850276678	0.5428522295243495	0.05801826420837802	0.07551848142005617	0.45743259550406845	0.06713252145778095	0.41327854671280273	0.12378893426215068	0.1104481684113787	0.4065083913221449	0.03437086429807594	0.1312725590607612	0.6137934539540557	0.13242473362909038	0.12138670696449279	0.007509331830314892	0.015823933028516996	0.1442538551025965	0.015307253841617989	0.024789903808393927
Lipid transport and metabolism	0.008572257626740324	0.021373449784831047	0.013386311917033196	0.02536620339730863	0.0548970565246577	0.005711647711439644	0.024211346228742055	0.014237740606163332	0.0010270736155575807	0.05682382133995038	0.006880809876026939	0.006353132854488918	0.002026417795294621	0.16777647099519183	0.0005747220808223453	0.09396979726934218	0.0002876016716847167	0.0	0.010609336215869965	0.07041313057338562	0.0	0.00483558994197292	0.010056291779054767	0.0	0.020020475486292804	0.1095439734286209	0.00031283343790655053	0.0019949801312447554	0.006534491720501968	0.0025728382866560154	0.004671359124974682
Translation, ribosomal structure and biogenesis	0.11978972550355134	0.39632669366114076	0.15533263774581668	0.125854658430767	0.40692879934528137	0.005744158309894741	0.09861958544290104	0.4418201849635052	0.5134311553529376	0.14199751861042184	0.003653851180052796	0.006427641840272604	0.006965423859055517	0.09630218962952715	0.012767040509696386	0.0	0.13594571518446955	0.17279411764705882	0.06189446713107534	0.00893895661913583	0.004297994269340974	0.0	0.002697314413040929	0.021599918682659078	0.1942896143783415	0.05945241131067631	0.10292929078089608	0.04373993937754127	0.031434865473626894	0.002897907962443113	0.4673847106191068
Chromatin structure and dynamics	0.005400922111024259	0.01889915808714494	0.0011872959335114276	0.003903963526729908	0.008050648741597624	0.0	0.0	0.005212030043327648	0.002394093802311177	0.014392059553349877	0.7283081989493219	0.8420558519357435	0.0	0.008803486803417622	0.004105157720159609	0.0	0.009347054329753293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002683455099096417	9.600841881615387e-05	0.0	0.0	0.009598492019858379
Cell cycle control, cell division, chromosome partitioning	0.0013654681255193084	0.0032030214442648848	0.0030544387178403198	0.004337083609088905	0.0012800117702231745	0.0	0.006750616642866416	0.0025318601226733905	0.00033945494679032	0.17698511166253103	0.0017955620605838846	0.0	0.0	0.026825556055207724	0.004844086109788339	0.0	0.002849054060126725	0.0	0.010489230522860117	0.006591134278206178	0.0	0.0	0.0	0.0	0.0	0.0010467989988508825	0.0009349554588991809	0.0	0.046830523996930766	0.0007395965104148292	0.0006856803892308391
Amino acid transport and metabolism	0.00712813583843864	0.00633159624498393	0.006464916304631352	0.03045701889844843	0.0006455231772246182	0.002914807370059783	0.0	0.013829888661715946	0.003094284009452673	0.0	0.0011186325501163067	0.002140891524851231	0.0	0.14194541492268845	0.008883561306425395	0.002831505999172528	0.0048353031051993	0.0	0.0	0.006548054969198294	0.0	0.0	0.04988077088464095	0.05443179508030088	0.060843476282561725	0.026917688541879835	0.0028296803604408384	0.003319148193358462	0.00913343729115616	0.0018660007358166305	0.0028848180957616993
