	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Defense mechanisms	119.61699999999998	0.0	31.564999999999998	20.22	0.0	0.89	0.0	3.37	6.06	0.0	6.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2	0.0	0.0	0.0	1.08	8.74	0.0	0.0	2.91	4.95	2.41	36.89000000000001
Posttranslational modification, protein turnover, chaperones	8175.517196969696	131.84	64.48166666666668	282.2091666666667	1336.52	1557.5500000000002	6.82	41.47999999999999	15924.51	6.235000000000001	3.8066666666666666	69.97333333333334	4.27	8.629999999999999	254.98999999999998	6.925	495.78000000000003	1.93	26.14	15.835	27.75	1.4949999999999999	62.12	8.98	146.05333333333334	61.665	292.93	488.94	43.64	223.76000000000002	941.695
Function unknown	845.0880303030303	71.375	85.91166666666668	114.92900000000002	79.94250000000001	29.749999999999996	8.5	17.755000000000003	86.34500000000001	3.115	29.953333333333333	0.825	1.71	0.665	24.69	13.108333333333333	38.18	0.0	0.0	11.555000000000001	17.25	1.67	17.62	2.265	1.8	45.58	43.655	86.0	55.67	26.95	180.505
Transcription	3320.5481969696925	182.47499999999997	84.8725	110.47	59.095833333333324	144.05166666666668	20.633333333333333	53.690000000000005	140.70116666666672	28.155	57.730000000000004	28.44	29.98	43.574999999999996	18.41	2.28	77.43500000000002	0.0	33.68	42.155	29.165	203.87	136.4466666666667	6.07	10.806666666666668	32.225	129.6	29.400000000000002	85.97	188.45000000000002	276.0700000000001
Carbohydrate transport and metabolism	1058.9813333333332	15.950000000000001	68.29	95.22833333333335	328.53499999999997	176.79	70.59	11.29	20.415	2.01	44.37	2.325	0.0	33.025	84.94	6.6	12.9	0.0	8.83	5.243333333333334	0.0	0.0	16.650000000000002	0.0	0.0	11.965	0.0	176.53	59.63	339.42999999999995	174.41
Nuclear structure	64.58936363636364	0.0	0.0	0.0	0.0	0.0	5.92	0.0	19.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Extracellular structures	13061.819696969695	29.721666666666664	235.65	8.11	0.0	0.0	0.0	5.513333333333334	10.477	0.0	0.0	2.9166666666666665	4.25	0.0	0.0	0.0	2.05	0.0	1.325	7.15	0.0	0.0	2.47	0.45	0.0	16.89	0.0	0.0	0.0	12.45	12.92
multiple functions	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Secondary metabolites biosynthesis, transport and catabolism	422.18499999999995	2.18	24.723333333333333	12.355	1.15	5.04	6.241666666666665	7.68	42.8	0.0	0.0	0.0	0.0	1.94	0.0	13.67	1.59	0.0	0.0	9.66	12.11	0.0	2.49	0.0	0.0	6.508333333333334	20.37	19.6	14.4	6.35	69.39
Cell motility	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
