	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Defense mechanisms	0.004687226463006369	0.0025757292092561694	0.020708838501666087	0.0089533473169907	0.0	0.0034262951415769106	0.0	0.005010938285851813	0.0007570817412471916	0.0	0.0004919374293431216	0.0	0.0	0.0	0.0004358307757483031	0.003060416536925171	0.0025450204465215513	0.0	0.0	0.012556429691896876	0.0	0.0	0.001459385674116663	0.006454771409203887	0.009653693752374747	0.001925662106821062	0.0	0.0021934069649191205	0.00762653997441791	0.004315048138926317	0.001629965753946835
Posttranslational modification, protein turnover, chaperones	0.08308932202131578	0.07278764758181172	0.04739355394955242	0.09332878407303596	0.10394219694138113	0.18938967618230756	0.029202103127017792	0.08037865908032006	0.41398400340773694	0.05273864907360879	0.017981337912135558	0.14735933239360827	0.03927626668165791	0.012638485532967625	0.16284121028885723	0.037856344284998324	0.03947321632673795	0.04008966739651756	0.3262990654205608	0.0341727437104094	0.0677802371661761	0.07182989729030724	0.13043259462417678	0.056311666792197033	0.10821482205214496	0.0877615920273921	0.04416676695451169	0.049800834830593714	0.0811349727669369	0.011871575673468915	0.04969108413306866
Function unknown	0.02728419352499462	0.040208828840779115	0.04071988081503072	0.040913375030532106	0.0390010978442225	0.021770338059107237	0.03197675491190849	0.04428025873391527	0.010038286402881458	0.0779368141219951	0.04045554667335197	0.005945568232473525	0.018514180775609252	0.011162677397515962	0.02357600675385314	0.018250303718663104	0.07760111080067393	0.0	0.012757009345794393	0.029030906108177365	0.0	0.12105920299656645	0.0456655616433186	0.028903366724410635	0.029878412853498338	0.035102069261481066	0.12495543813678052	0.0686186034718265	0.06646213818815978	0.014125752666610893	0.03562748344875748
Transcription	0.032128389419868515	0.10496127311097099	0.05598191571134152	0.027434484027487376	0.022256216522379576	0.12133927016440375	0.12466562125265195	0.10070834014726315	0.009453080431602347	0.032314275988393766	0.13800263943351512	0.10487532579143728	0.08612154772055079	0.10012401217343987	0.021015119975374034	0.007651041342312926	0.1307815397119707	0.1925503075800229	0.13121806853582554	0.028094502520626025	0.12968076124409558	0.14209165093568382	0.12343236607096054	0.1917262935904195	0.039034540158135664	0.0812928956517327	0.04114791359653403	0.01829565871732723	0.1033990837893549	0.023465021739694926	0.01845433046373974
Carbohydrate transport and metabolism	0.02339614067522866	0.010107302460963176	0.017399895278060747	0.028940236938463502	0.041644640565707707	0.0623162567226424	0.4295821418688311	0.020762687023089196	0.004034594939728221	0.01296785592712065	0.1443481592552824	0.0028842331000084333	0.0	0.010427146011679923	0.02693617060184268	0.05063476953462096	0.016423255695816718	0.0037795850276300686	0.009700934579439251	0.013852067392319575	0.0	0.0005053733073710183	0.0382019362022004	0.0	0.0015578353145524616	0.014128857972332818	0.0024455096401217987	0.03978804790869756	0.007184142951942219	0.0467148104015857	0.0380996871197636
Nuclear structure	0.0012046807069618765	0.0	0.0	0.00010216242874520465	0.0	0.0	0.003501521999815514	0.0	0.000493497577066341	0.0	0.0	0.0010794790549739166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017482726826406102	0.0	0.0	0.002918771348233325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Extracellular structures	0.03500182450956499	0.01889413792128802	0.10624950927219248	0.006461983540932986	0.0016619001128346414	0.0	0.006851766442210126	0.018366240757482725	0.003802686223062264	0.004741372323353488	0.0004824770941634462	0.006317040749531142	0.008427887453269497	0.004471714468297807	0.005630750756608322	0.0	0.00854943994310533	0.0	0.004420560747663552	0.023595693980433714	0.009766560938320063	0.0	0.05058784306571639	0.0075092264818859686	0.0	0.02940944528093576	0.0033026868816686686	0.0033930328997412618	0.0025133280117459614	0.003330630898352862	0.0034850238319595267
multiple functions	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Secondary metabolites biosynthesis, transport and catabolism	0.012762345686438407	0.0026619226682360587	0.014459779323768324	0.006953482787170191	0.004966695127556642	0.009732080867343769	0.012610152814930966	0.01341289946342231	0.004919104036046068	0.0	0.0	0.0003036034842114141	0.0	0.002613113654626097	0.00035963658418391444	0.02862616359587081	0.003220644636915496	0.0	0.0026168224299065418	0.009313743099711417	0.010877088895481068	0.0	0.01706600574947632	0.02685847706560217	0.007794604570373988	0.026878269422747632	0.021215988228856102	0.01784307256918979	0.014425989863337789	0.0014841272818024187	0.007241073307290475
Cell motility	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012890932332233564	0.0	0.0	0.0	0.0	0.00046047676117113575
