	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Defense mechanisms	130.3135	4.98	35.894999999999996	17.62	0.0	0.72	0.0	6.1899999999999995	1.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	1.5	0.0	0.0	0.51	0.0	10.54	1.97	0.0	3.13	5.04	6.19	10.52
Posttranslational modification, protein turnover, chaperones	14584.067651515157	140.31500000000003	108.37666666666664	229.08916666666664	2354.833333333333	3082.8899999999994	6.02	22.990000000000002	31714.10666666667	25.025000000000002	3.1	88.27666666666667	10.43	1.49	329.21000000000004	24.759999999999998	1123.1549999999997	0.0	145.76	44.01	43.19	25.759999999999998	103.89	32.86	156.79166666666666	141.27	592.24	1668.42	48.72	397.8	1523.045
Function unknown	856.4174848484847	74.05833333333334	89.12866666666667	94.107	136.055	25.794999999999998	8.58	12.395	80.78333333333335	5.66	28.296666666666663	8.06	13.89	0.525	22.185000000000002	9.606666666666666	25.885	0.0	0.0	9.39	14.235	4.57	4.77	3.25	2.0300000000000002	96.27000000000001	90.49	92.69	35.989999999999995	25.819999999999997	205.96999999999997
Transcription	5628.215318181824	193.5216666666667	85.03916666666669	98.6275	28.911666666666665	130.34	43.63	44.14833333333334	184.29500000000002	12.620000000000001	41.91	15.69	22.21	38.92	14.05	3.305	98.80999999999999	0.0	31.72	59.21499999999999	26.22	330.44	273.69	61.23	15.875	39.404999999999994	70.34500000000001	73.21	42.370000000000005	376.78999999999996	502.3499999999999
Carbohydrate transport and metabolism	1281.4428333333326	8.82	79.94500000000001	91.49999999999999	394.91	332.45833333333337	113.44	36.35	45.515	3.29	71.79	0.78	0.0	56.355000000000004	145.49	42.205	11.09	0.0	2.83	6.026666666666666	0.0	0.0	20.99	0.0	0.0	13.900000000000002	32.489999999999995	18.17	128.13	595.38	185.59
Nuclear structure	52.80381818181817	0.0	0.0	0.915	0.0	0.0	0.0	0.0	39.975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.28	0.0
Extracellular structures	38434.303484848475	7.733333333333333	148.82666666666668	12.316666666666666	0.0	0.0	0.0	9.64	20.59	0.0	0.0	2.1366666666666667	0.0	1.84	0.0	0.0	3.75	0.0	1.75	10.09	0.0	0.0	70.3	2.39	0.0	22.689999999999998	0.0	3.9699999999999998	2.23	11.120000000000001	35.86
multiple functions	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Secondary metabolites biosynthesis, transport and catabolism	447.513	6.16	34.300000000000004	8.889999999999999	1.68	2.013333333333333	7.83	4.48	29.546666666666667	0.0	0.0	0.0	0.0	2.84	0.0	8.045	0.0	0.0	0.0	2.01	0.0	0.0	0.89	40.0	0.0	14.116666666666667	19.240000000000002	41.45	5.869999999999999	0.0	144.23
Cell motility	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.66	0.0	0.0	0.0	0.0	0.0
Signal transduction mechanisms	17352.82265151517	109.33833333333332	74.59866666666667	101.49416666666669	68.70666666666666	94.47833333333334	5.165	94.37	89.73000000000002	0.0	35.59666666666667	37.86333333333333	23.234999999999996	6.8	46.98666666666667	44.835	31.815	8.35	0.0	119.89166666666665	12.11	4.67	8.52	5.75	96.965	28.72	13.589999999999998	143.4	19.84	52.95	448.4450000000001
RNA processing and modification	9501.298484848488	31.64	131.88	129.47833333333335	10.558333333333334	65.55	6.5600000000000005	65.85	22.9325	17.59	38.9	56.685	5.963333333333333	34.945	0.0	2.43	7.95	0.0	0.0	23.155	2.01	0.0	0.0	12.52	20.91333333333333	1.11	1.57	31.900000000000002	8.63	53.35	78.185
Unannotated	10408.37000000001	2476.61	1133.46	1257.3299999999995	585.23	716.74	791.8199999999999	1370.5900000000006	628.26	407.4899999999999	2813.0000000000014	560.3599999999999	392.0999999999999	756.71	1336.0000000000002	1313.2400000000005	47156.69999999999	535.12	523.6400000000001	767.8	433.56000000000006	11081.979999999998	328.06	505.0	852.0300000000002	1087.2599999999998	12878.079999999993	10163.68	2539.54	7598.039999999996	384380.9100000002
Inorganic ion transport and metabolism	543.5223333333334	50.019999999999996	24.825	109.74333333333334	2.94	22.375	0.0	6.21	18.941666666666666	0.0	0.0	1.46	0.0	0.625	0.0	0.0	0.0	2.03	0.0	6.68	0.0	25.82	1.05	0.0	2.81	9.94	0.0	0.0	0.0	19.7	96.14
Coenzyme transport and metabolism	4265.266666666666	8.48	23.544999999999998	8.96	0.0	917.285	3.79	0.0	20.135	0.0	0.0	0.0	0.0	0.0	0.0	7.61	13.15	11.3	0.0	6.6	0.0	130.67	35.21	0.0	0.0	4.596666666666667	0.0	17.74	0.0	10715.359999999999	15.290000000000001
Nucleotide transport and metabolism	247.3183333333333	13.280000000000001	28.925	19.54	53.05	23.674999999999997	0.0	1.82	9.02	2.96	0.0	1.915	0.0	22.56	0.0	0.0	0.0	0.0	0.0	8.055	0.0	0.0	3.2899999999999996	0.0	0.0	8.969999999999999	3.74	0.94	8.68	0.0	30.91
Intracellular trafficking, secretion, and vesicular transport	7066.73615151515	129.29166666666666	235.25950000000003	104.60349999999998	148.025	14.295	28.355000000000004	6.303333333333333	91.745	5.12	48.89	19.69666666666667	426.85333333333335	16.67	23.956666666666667	1.795	9.39	6.16	34.35	20.178333333333335	16.425	10.120000000000001	24.47	4.53	48.669999999999995	22.235	75.88499999999999	158.925	44.19	58.315000000000005	203.32000000000002
Multiple classes	13076.086318181808	197.96499999999997	307.14416666666676	710.9806666666665	212.06166666666667	98.22000000000001	17.915000000000003	34.58500000000001	225.20083333333338	8.55	57.62499999999999	73.53333333333335	506.40000000000003	26.884999999999998	21.384999999999998	166.05666666666664	35.260000000000005	36.06	42.65	105.16666666666664	69.61	12.600000000000001	49.53	82.54	62.14333333333333	91.22666666666669	124.96500000000002	158.40499999999997	88.47000000000001	142.50500000000002	1629.23
Lipid transport and metabolism	1155.8935	31.849999999999998	33.225	153.37833333333333	185.56500000000003	35.53	3.83	3.45	38.905	0.0	4.236666666666667	18.589999999999996	3.85	116.43	5.53	31.215000000000003	7.18	0.0	0.0	16.509999999999998	0.0	12.235	8.559999999999999	0.0	15.440000000000001	91.90999999999998	6.77	10.02	0.0	19.32	148.49999999999997
Translation, ribosomal structure and biogenesis	25130.959484848478	1818.935	361.50916666666666	913.4481666666666	3618.528333333333	43.20333333333333	53.34	690.375	34681.44249999999	11.5	11.0	17.23	7.43	40.72	37.12	1.84	90.81	0.0	14.879999999999999	3.6550000000000002	0.0	0.0	3.57	11.29	225.58	29.259999999999998	2215.17	345.98999999999995	40.910000000000004	19.5	52852.384999999995
Chromatin structure and dynamics	1290.8035	21.351666666666667	3.8933333333333335	17.988333333333333	110.41	0.0	0.0	2.14	119.81833333333334	0.0	1970.72	2897.8399999999997	0.0	4.09	3.69	0.0	0.0	0.0	0.0	0.0	0.0	1.405	0.0	0.0	0.0	0.0	56.879999999999995	0.0	0.0	0.0	711.5
Cell cycle control, cell division, chromosome partitioning	186.12383333333338	14.001666666666667	0.702	23.64666666666667	4.47	0.0	9.79	0.0	3.1783333333333332	42.43	1.13	0.42333333333333334	0.0	0.0	0.0	0.0	0.0	3.11	0.0	2.99	0.0	0.0	4.6	0.0	0.0	5.265000000000001	164.51999999999998	40.83	22.33	2.19	72.49000000000001
Amino acid transport and metabolism	927.0875	18.09	22.42	129.965	9.33	29.05	0.0	12.85	59.72999999999999	0.0	0.0	14.55	0.0	58.0	11.25	0.0	1.41	0.0	0.0	16.540000000000003	0.0	0.0	36.82	0.0	37.19	29.0	0.0	18.380000000000003	6.66	13.549999999999999	114.89
Cell wall/membrane/envelope biogenesis	144.0031666666667	24.303333333333335	26.913333333333334	1.612	17.625	1.46	8.969999999999999	0.0	21.389999999999997	0.0	11.45	3.07	0.0	3.55	4.27	10.545	10.1	0.0	10.85	26.045	0.0	12.0	1.035	0.0	36.193333333333335	0.0	0.0	0.0	1.66	0.79	10.49
Replication, recombination and repair	4901.045666666667	269.87	91.657	30.954000000000004	4.405	0.0	1.49	6.75	12.999999999999998	0.0	0.0	0.0	0.0	2.455	5.29	0.0	20.655	0.0	0.0	2.25	0.0	0.0	0.0	0.0	19.759999999999998	2.6	91.05	8.64	203.64	0.0	18.85
Energy production and conversion	2273.4925000000003	116.44166666666666	208.30499999999998	70.295	270.125	13.603333333333333	39.69	9.280000000000001	25.994999999999997	0.0	77.58	26.08	0.0	53.175	28.055	0.0	17.07	3.16	0.0	21.545	13.37	0.0	10.0	6.62	0.0	34.875	9.56	36.379999999999995	22.29	54.31	632.21
Cytoskeleton	82438.66999999998	75.66833333333332	92.56166666666667	2958.568666666667	241.825	921.625	1.195	20.245000000000005	35.03416666666666	0.0	7.76	7.045	4.598333333333333	47.07	56.431666666666665	5.88	12.1	11.31	0.0	21.896666666666665	11.620000000000001	0.99	6.18	1.15	0.0	88.35000000000002	10300.854999999998	10114.779999999997	25.259999999999998	885.22	32266.215
General function prediction only	15515.482818181825	139.84500000000003	137.16500000000002	284.0685000000001	284.985	156.85333333333335	30.99	23.85833333333333	117.19	9.184999999999999	35.755	53.215	1.6	75.18499999999999	28.32	19.591666666666665	93.49	0.0	15.020000000000001	89.86	0.0	12.0	41.825	35.38	19.268333333333334	147.24	136.98	126.29	39.59	271.5200000000001	749.8249999999999
