	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Defense mechanisms	0.0007524963095871213	0.0010438236807832541	0.01025623632756194	0.003564342219622135	0.0	0.0004689098340347982	0.0	0.007714538484222943	0.000262995864060957	0.0	0.0014462104199824129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005313731567993624	0.0	0.0	0.015173199924007343	0.007165345782216913	0.015727268042122627	0.0	0.0	0.0004405246517101972	0.00720457783701797	0.0005053637668864928	0.000350514577156215
Posttranslational modification, protein turnover, chaperones	0.06694834238876265	0.03592493168029033	0.029136212812381643	0.0538515822257931	0.24101367746767885	0.46727130955800883	0.024281424281424283	0.044918902978472425	0.45850572382395693	0.05935414545865854	0.0032303544305637318	0.02295466066856664	0.013937061497283859	0.0	0.3536590924630217	0.04096366632661069	0.5421555119902401	0.08240834174234782	0.5449410201030072	0.11666592864839333	0.19957415984371232	0.02255824763232815	0.15258691659806214	0.04491911844533709	0.1331134436217668	0.09544586345080709	0.04176419265588475	0.1106308625324743	0.11683596084018937	0.02613464964037106	0.019007731306732514
Function unknown	0.0037746730383569544	0.012664819034318119	0.02524603322649754	0.02157948144561431	0.013865590293219869	0.005735595652286259	0.025511225511225512	0.04104983780595694	0.002064029508547858	0.009557742336839726	0.012750028463940426	0.0026786969468478032	0.0008235536339304098	0.02321426059062707	0.0034243453289878522	0.004257239268618065	0.02727620342439562	0.0	0.022539735282715842	0.04119618001741723	0.09838224641657704	0.0	0.005332151225381545	0.01514493540332211	0.009551459346171687	0.09738399310887233	0.008274610375572908	0.005538611246035483	0.023084524520843863	0.0033362647311378384	0.003074750301055465
Transcription	0.024709436582520686	0.043985972813869956	0.0601889693454753	0.014589210895721422	0.0038619318718720276	0.027424005447561902	0.06417846417846418	0.03080507225007372	0.0027262740479585537	0.009812238434566228	0.013996991300935312	0.017627512875893012	0.0423100679431748	0.06280512683427833	0.04205126451975599	0.0020893824060268383	0.030195619055711668	0.0	0.14958187960347785	0.0630120001771244	0.0612639111442808	0.429478240660043	0.329117851940979	0.07344479426772335	0.017559682305177148	0.08517471255758213	0.01305733672788577	0.005236983359510032	0.11981201452406122	0.027053806987323584	0.006138622127323693
Carbohydrate transport and metabolism	0.006071921780559254	0.006476780963748873	0.033492173854058914	0.022945087083389975	0.053596739670377966	0.04029457974684443	0.2806520806520807	0.009625479209672664	0.0006151792938708802	0.0	0.020167004600257266	0.00013674645673316554	0.0	0.0847812935267386	0.1747574659464716	0.045348426587145885	0.0035324322191807415	0.0	0.0	0.020438186049486586	0.0	0.0	0.045418276233297444	0.0	0.0021817182319492884	0.0074154526047713575	0.001775297010378061	0.010124670120182686	0.20411821482741183	0.03833248962060572	0.0030738648438053415
Nuclear structure	0.0003046939214754657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00041952183286536723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026850737762016334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Extracellular structures	0.11786235444252309	0.0027154718670993373	0.0653009773496809	0.0006405174647931785	0.0	0.0	0.0	0.019687407844293715	0.00022060490660557496	0.0	0.0	0.0023251157658866588	0.0	0.0	0.0	0.0	0.0012351373824798643	0.0	0.0	0.011793532007852514	0.0	0.0	0.007738585270090557	0.013245033112582778	0.0	0.017911314182989403	0.00024183853273218435	0.0	0.0	0.001186956949918019	0.0004038317530029651
multiple functions	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Secondary metabolites biosynthesis, transport and catabolism	0.0020641970041716242	0.0007828677605874406	0.011883079810295807	0.002142271250490698	0.0	0.0016278847074595426	0.0018876018876018879	0.029383662636390445	0.000541304051157128	0.0	0.0	0.0	0.0	0.0033062734780590066	0.0	0.020952679902691673	0.004634041235987107	0.0	0.0	0.007380182733324477	0.0031828259103979634	0.0	0.007700588943068835	0.0068396482466615985	0.009474154369449074	0.019140980986979268	0.0012768452435570634	0.003714872062929275	0.01736222824837983	0.000379238792586616	0.0016177303959764827
Cell motility	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
