category	term	pvalue	FDR	Phenotype
GO:0009765	photosynthesis, light harvesting	3.3983214573983997e-23	NaN	+1
GO:0016020	membrane	2.5306272516060396e-06	NaN	+1
GO:0051015	actin filament binding	3.6651713542571598e-05	NaN	+1
GO:0005489		0.00021721886067996001	NaN	+1
GO:0003779	actin binding	0.00023259211593714801	NaN	+1
GO:0005783	endoplasmic reticulum	0.000234401672776065	NaN	+1
GO:0005261	cation channel activity	0.00032555766772617402	NaN	+1
GO:0007010	cytoskeleton organization	0.000704837759803773	NaN	+1
GO:0007034	vacuolar transport	0.00087962723646529809	NaN	+1
GO:0016459	myosin complex	0.0011246945873509199	NaN	+1
GO:0003936		0.0012023776104189401	NaN	+1
GO:0005509	calcium ion binding	0.0012844470700757199	NaN	+1
GO:0019773	proteasome core complex, alpha-subunit complex	0.0013118497715246	NaN	+1
GO:0051603	proteolysis involved in cellular protein catabolic process	0.0013654304532576599	NaN	+1
GO:0004467	long-chain fatty acid-CoA ligase activity	0.0016053703040794999	NaN	+1
GO:0004175	endopeptidase activity	0.0017675550921454398	NaN	+1
GO:0005839	proteasome core complex	0.0017675550921454398	NaN	+1
GO:0003774	motor activity	0.0021938784415823803	NaN	+1
GO:0008137	NADH dehydrogenase (ubiquinone) activity	0.0028866087815514201	NaN	+1
GO:0005478		0.00304223251256543	NaN	+1
GO:0009405	pathogenesis	0.0052950609967912501	NaN	+1
GO:0004721	phosphoprotein phosphatase activity	0.00563782043270102	NaN	+1
GO:0043531	ADP binding	0.0060119736667176701	NaN	+1
GO:0016878	acid-thiol ligase activity	0.0062185849432614604	NaN	+1
GO:0050662	coenzyme binding	0.0062337328200662403	NaN	+1
GO:0008756	o-succinylbenzoate-CoA ligase activity	0.0065681584044501801	NaN	+1
GO:0051017	actin filament bundle assembly	0.007909500984827459	NaN	+1
GO:0051764	actin crosslink formation	0.007909500984827459	NaN	+1
GO:0045893	positive regulation of transcription, DNA-templated	0.0090124201938061501	NaN	+1
GO:0005742	mitochondrial outer membrane translocase complex	0.0091129882633300789	NaN	+1
GO:0004299		0.0093077808290591701	NaN	+1
GO:0007188	adenylate cyclase-modulating G-protein coupled receptor signaling pathway	0.010015633676981101	NaN	+1
GO:0005554		0.012281702208378599	NaN	+1
GO:0004298	threonine-type endopeptidase activity	0.012705497757070101	NaN	+1
GO:0007021	tubulin complex assembly	0.0139810837772033	NaN	+1
GO:0015631	tubulin binding	0.0139810837772033	NaN	+1
GO:0005094	Rho GDP-dissociation inhibitor activity	0.0146055284612873	NaN	+1
GO:0009055	electron carrier activity	0.014675846746623998	NaN	+1
GO:0009703	nitrate reductase (NADH) activity	0.0154327666203176	NaN	+1
GO:0004869	cysteine-type endopeptidase inhibitor activity	0.015775007134616499	NaN	+1
