category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
1865	GO:0009765	3.3983214573984e-23	1	27	76	photosynthesis, light harvesting	BP
2027	GO:0016020	2.53062725160604e-06	0.99999878835852	106	1541	membrane	CC
3175	GO:0051015	3.66517135425716e-05	0.999998260156583	6	10	actin filament binding	MF
908	GO:0005489	0.00021721886067996	0.99993381160783	16	191	NA	NA
165	GO:0003779	0.000232592115937148	0.99995910982893	9	48	actin binding	MF
966	GO:0005783	0.000234401672776065	0.999939527563137	13	107	endoplasmic reticulum	CC
880	GO:0005261	0.000325557667726174	0.999951529794141	8	26	cation channel activity	MF
1320	GO:0007010	0.000704837759803773	0.999984724769708	3	5	cytoskeleton organization	BP
1329	GO:0007034	0.000879627236465298	0.999971238549827	3	8	vacuolar transport	BP
2130	GO:0016459	0.00112469458735092	0.999749940334911	9	54	myosin complex	CC
245	GO:0003936	0.00120237761041894	0.999832742808267	6	26	NA	NA
913	GO:0005509	0.00128444707007572	0.999323553161209	37	478	calcium ion binding	MF
2567	GO:0019773	0.0013118497715246	0.999953724449647	3	7	proteasome core complex, alpha-subunit complex	CC
3212	GO:0051603	0.00136543045325766	0.999898063207139	4	14	proteolysis involved in cellular protein catabolic process	BP
563	GO:0004467	0.0016053703040795	0.999900912049369	4	8	long-chain fatty acid-CoA ligase activity	MF
403	GO:0004175	0.00176755509214544	0.999853918619632	4	16	endopeptidase activity	MF
979	GO:0005839	0.00176755509214544	0.999853918619632	4	16	proteasome core complex	CC
163	GO:0003774	0.00219387844158238	0.99945688328049	9	60	motor activity	MF
1387	GO:0008137	0.00288660878155142	0.999844556875612	3	10	NADH dehydrogenase (ubiquinone) activity	MF
905	GO:0005478	0.00304223251256543	0.999966720567065	2	3	NA	NA
1828	GO:0009405	0.00529506099679125	0.999445692968124	4	12	pathogenesis	BP
737	GO:0004721	0.00563782043270102	0.998222161053114	10	96	phosphoprotein phosphatase activity	MF
2904	GO:0043531	0.00601197366671767	0.999365721026638	4	11	ADP binding	MF
2265	GO:0016878	0.00621858494326146	0.9990424725938	5	18	acid-thiol ligase activity	MF
3160	GO:0050662	0.00623373282006624	0.998329779977779	8	61	coenzyme binding	MF
1598	GO:0008756	0.00656815840445018	0.99870609273025	6	26	o-succinylbenzoate-CoA ligase activity	MF
3177	GO:0051017	0.00790950098482746	1	2	2	actin filament bundle assembly	BP
3218	GO:0051764	0.00790950098482746	1	2	2	actin crosslink formation	BP
2967	GO:0045893	0.00901242019380615	1	1	1	positive regulation of transcription, DNA-templated	BP
953	GO:0005742	0.00911298826333008	1	1	1	mitochondrial outer membrane translocase complex	CC
449	GO:0004299	0.00930778082905917	0.998303144563839	5	28	NA	NA
1346	GO:0007188	0.0100156336769811	0.99979562871821	2	3	adenylate cyclase-modulating G-protein coupled receptor signaling pathway	BP
924	GO:0005554	0.0122817022083786	0.995894718039851	9	108	NA	NA
448	GO:0004298	0.0127054977570701	0.997462469650842	5	32	threonine-type endopeptidase activity	MF
1325	GO:0007021	0.0139810837772033	1	1	1	tubulin complex assembly	BP
1962	GO:0015631	0.0139810837772033	1	1	1	tubulin binding	MF
859	GO:0005094	0.0146055284612873	1	1	1	Rho GDP-dissociation inhibitor activity	MF
1733	GO:0009055	0.014675846746624	0.995779056859565	7	75	electron carrier activity	MF
1863	GO:0009703	0.0154327666203176	1	1	1	nitrate reductase (NADH) activity	MF
839	GO:0004869	0.0157750071346165	0.999334625560049	2	5	cysteine-type endopeptidase inhibitor activity	MF
2739	GO:0032784	0.0159285105440954	0.999583259395805	2	3	regulation of DNA-templated transcription, elongation	BP
1236	GO:0006629	0.016717483527785	0.992837647248717	13	136	lipid metabolic process	BP
1574	GO:0008704	0.0193725485193503	0.99901045076779	2	6	5-carboxymethyl-2-hydroxymuconate delta-isomerase activity	MF
2462	GO:0018800	0.0193725485193503	0.99901045076779	2	6	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase activity	MF
980	GO:0005840	0.0201653835055147	0.990419313575017	15	296	ribosome	CC
1276	GO:0006812	0.0202248865356696	0.991483441446627	12	112	cation transport	BP
1300	GO:0006886	0.0204544686658599	0.990087197649105	16	205	intracellular protein transport	BP
881	GO:0005262	0.0205016804646248	0.99938474707697	2	3	calcium channel activity	MF
2133	GO:0016471	0.0209063542057888	1	1	1	vacuolar proton-transporting V-type ATPase complex	CC
3289	GO:1901023	0.0222594755244395	0.995898272725635	4	26	4-hydroxyphenylacetate catabolic process	BP
911	GO:0005506	0.024466846603473	0.988517825348538	14	188	iron ion binding	MF
1961	GO:0015629	0.0259728578292981	0.996369124514739	3	24	actin cytoskeleton	CC
156	GO:0003735	0.0259940137438438	0.987249209913358	15	307	structural constituent of ribosome	MF
1979	GO:0015734	0.0263275677140523	0.999093375695368	2	3	taurine transport	BP
3041	GO:0046933	0.0273264674045487	0.992085411720181	6	55	proton-transporting ATP synthase activity, rotational mechanism	MF
2689	GO:0031012	0.0274523740345323	0.998648214966246	2	4	extracellular matrix	CC
2663	GO:0030532	0.0280515892048374	0.999800799790886	1	2	small nuclear ribonucleoprotein complex	CC
27	GO:0000124	0.0286628798422324	0.999791958320486	1	2	SAGA complex	CC
2926	GO:0044238	0.0289207114452718	1	1	1	primary metabolic process	BP
1624	GO:0008810	0.0299488086594393	1	1	1	cellulase activity	MF
2603	GO:0030042	0.030057758609721	1	1	1	actin filament depolymerization	BP
1279	GO:0006816	0.0311001367873039	0.992278205463002	5	28	calcium ion transport	BP
