category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
1	GO:0000009	1	1	0	13	alpha-1,6-mannosyltransferase activity	MF
2	GO:0000014	1	1	0	1	single-stranded DNA endodeoxyribonuclease activity	MF
3	GO:0000015	1	1	0	84	phosphopyruvate hydratase complex	CC
4	GO:0000026	1	1	0	13	alpha-1,2-mannosyltransferase activity	MF
5	GO:0000030	1	1	0	21	mannosyltransferase activity	MF
6	GO:0000033	1	1	0	13	alpha-1,3-mannosyltransferase activity	MF
7	GO:0000034	1	1	0	1	adenine deaminase activity	MF
8	GO:0000036	1	1	0	4	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	MF
9	GO:0000042	1	1	0	7	protein targeting to Golgi	BP
10	GO:0000045	1	1	0	3	autophagic vacuole assembly	BP
11	GO:0000049	1	1	0	18	tRNA binding	MF
12	GO:0000055	1	1	0	1	ribosomal large subunit export from nucleus	BP
13	GO:0000059	1	1	0	8	protein import into nucleus, docking	BP
14	GO:0000062	1	1	0	17	fatty-acyl-CoA binding	MF
15	GO:0000074	1	1	0	23	NA	NA
16	GO:0000075	1	1	0	1	cell cycle checkpoint	BP
17	GO:0000077	1	1	0	10	DNA damage checkpoint	BP
18	GO:0000079	1	1	0	11	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
19	GO:0000096	1	1	0	1	sulfur amino acid metabolic process	BP
20	GO:0000103	1	1	0	21	sulfate assimilation	BP
21	GO:0000104	1	1	0	11	succinate dehydrogenase activity	MF
22	GO:0000105	1	1	0	34	histidine biosynthetic process	BP
23	GO:0000107	1	1	0	3	imidazoleglycerol-phosphate synthase activity	MF
24	GO:0000118	1	1	0	6	histone deacetylase complex	CC
25	GO:0000122	1	1	0	1	negative regulation of transcription from RNA polymerase II promoter	BP
26	GO:0000123	1	1	0	5	histone acetyltransferase complex	CC
27	GO:0000124	1	1	0	2	SAGA complex	CC
28	GO:0000139	1	1	0	48	Golgi membrane	CC
29	GO:0000140	1	1	0	3	acylglycerone-phosphate reductase activity	MF
30	GO:0000145	1	1	0	1	exocyst	CC
31	GO:0000148	1	1	0	3	1,3-beta-D-glucan synthase complex	CC
32	GO:0000150	1	1	0	6	recombinase activity	MF
33	GO:0000151	1	1	0	323	ubiquitin ligase complex	CC
34	GO:0000154	1	1	0	3	rRNA modification	BP
