category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
980	GO:0005840	0.0181318202050226	1	1	296	ribosome	CC
156	GO:0003735	0.0188057175055197	1	1	307	structural constituent of ribosome	MF
1136	GO:0006412	0.0210472839925142	1	1	344	translation	BP
928	GO:0005622	0.0356172401916775	1	1	583	intracellular	CC
1900	GO:0015031	1	0.995045123538086	0	81	protein transport	BP
2693	GO:0031072	1	0.991202015570134	0	144	heat shock protein binding	MF
1	GO:0000009	1	0.99920811797958	0	13	alpha-1,6-mannosyltransferase activity	MF
2	GO:0000014	1	0.999938401555863	0	1	single-stranded DNA endodeoxyribonuclease activity	MF
3	GO:0000015	1	0.994832920614355	0	84	phosphopyruvate hydratase complex	CC
4	GO:0000026	1	0.99920811797958	0	13	alpha-1,2-mannosyltransferase activity	MF
5	GO:0000030	1	0.998719180079895	0	21	mannosyltransferase activity	MF
6	GO:0000033	1	0.99920811797958	0	13	alpha-1,3-mannosyltransferase activity	MF
7	GO:0000034	1	0.999939709141419	0	1	adenine deaminase activity	MF
8	GO:0000036	1	0.999753852703648	0	4	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	MF
9	GO:0000042	1	0.99957342749903	0	7	protein targeting to Golgi	BP
10	GO:0000045	1	0.999815356178137	0	3	autophagic vacuole assembly	BP
11	GO:0000049	1	0.998903787141162	0	18	tRNA binding	MF
12	GO:0000055	1	0.999939362716873	0	1	ribosomal large subunit export from nucleus	BP
13	GO:0000059	1	0.999517578023662	0	8	protein import into nucleus, docking	BP
14	GO:0000062	1	0.99896262821586	0	17	fatty-acyl-CoA binding	MF
15	GO:0000074	1	0.998597614985768	0	23	NA	NA
16	GO:0000075	1	0.999938767276644	0	1	cell cycle checkpoint	BP
17	GO:0000077	1	0.999391953016125	0	10	DNA damage checkpoint	BP
18	GO:0000079	1	0.999328897109396	0	11	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
19	GO:0000096	1	0.999939609272463	0	1	sulfur amino acid metabolic process	BP
20	GO:0000103	1	0.998720414680056	0	21	sulfate assimilation	BP
21	GO:0000104	1	0.999329634792174	0	11	succinate dehydrogenase activity	MF
22	GO:0000105	1	0.997927822001376	0	34	histidine biosynthetic process	BP
23	GO:0000107	1	0.999815973978193	0	3	imidazoleglycerol-phosphate synthase activity	MF
24	GO:0000118	1	0.999635033941133	0	6	histone deacetylase complex	CC
25	GO:0000122	1	0.999938402601098	0	1	negative regulation of transcription from RNA polymerase II promoter	BP
26	GO:0000123	1	0.9996985122123	0	5	histone acetyltransferase complex	CC
