category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
1865	GO:0009765	9.5740361159273e-12	1	15	76	photosynthesis, light harvesting	BP
3175	GO:0051015	7.87031672335659e-06	0.999999719120645	6	10	actin filament binding	MF
2803	GO:0038032	0.000167282449367617	0.999991118891264	5	10	termination of G-protein coupled receptor signaling pathway	BP
2027	GO:0016020	0.000384840056877601	0.999768405791007	73	1541	membrane	CC
165	GO:0003779	0.000796180455954118	0.999869549684387	7	48	actin binding	MF
913	GO:0005509	0.00128810091649125	0.999379749298366	29	478	calcium ion binding	MF
1237	GO:0006631	0.00152681255526491	0.99987899008589	4	16	fatty acid metabolic process	BP
737	GO:0004721	0.00186116302903371	0.9995386356802	9	96	phosphoprotein phosphatase activity	MF
880	GO:0005261	0.00209726290722258	0.999674561295256	6	26	cation channel activity	MF
908	GO:0005489	0.00245521082969746	0.999248590509265	11	191	NA	NA
2130	GO:0016459	0.00315852901547564	0.999333871198902	7	54	myosin complex	CC
1236	GO:0006629	0.00336976263043724	0.998875866314144	12	136	lipid metabolic process	BP
911	GO:0005506	0.00384164521224093	0.998621214176292	13	188	iron ion binding	MF
131	GO:0001932	0.0044088493215309	0.99974466759464	3	8	regulation of protein phosphorylation	BP
3177	GO:0051017	0.0045539758591537	1	2	2	actin filament bundle assembly	BP
3218	GO:0051764	0.0045539758591537	1	2	2	actin crosslink formation	BP
1660	GO:0008889	0.00502146902902971	0.999928817728463	2	3	glycerophosphodiester phosphodiesterase activity	MF
163	GO:0003774	0.00520733141764081	0.998787860082824	7	60	motor activity	MF
1346	GO:0007188	0.00534502421068811	0.9999217203315	2	3	adenylate cyclase-modulating G-protein coupled receptor signaling pathway	BP
2967	GO:0045893	0.00547799137812348	1	1	1	positive regulation of transcription, DNA-templated	BP
37	GO:0000158	0.00592603075583002	0.998783833624645	6	48	NA	NA
739	GO:0004723	0.00592603075583002	0.998783833624645	6	48	calcium-dependent protein serine/threonine phosphatase activity	MF
740	GO:0004724	0.00592603075583002	0.998783833624645	6	48	magnesium-dependent protein serine/threonine phosphatase activity	MF
1004	GO:0005963	0.00592603075583002	0.998783833624645	6	48	magnesium-dependent protein serine/threonine phosphatase complex	CC
1473	GO:0008420	0.00592603075583002	0.998783833624645	6	48	CTD phosphatase activity	MF
