category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
1865	GO:0009765	5.10829461713391e-20	1	23	76	photosynthesis, light harvesting	BP
908	GO:0005489	1.6053294675809e-06	0.99999964032937	18	191	NA	NA
3175	GO:0051015	1.61937845764651e-05	0.999999339894817	6	10	actin filament binding	MF
165	GO:0003779	0.000372443613524842	0.999937808669974	8	48	actin binding	MF
2027	GO:0016020	0.000374016734593207	0.999767534961182	83	1541	membrane	CC
245	GO:0003936	0.000500323877758847	0.999941400866781	6	26	NA	NA
880	GO:0005261	0.000722850733403906	0.999892462348416	7	26	cation channel activity	MF
913	GO:0005509	0.000902235954678885	0.999553634727591	33	478	calcium ion binding	MF
966	GO:0005783	0.00227967009358749	0.999365324942505	10	107	endoplasmic reticulum	CC
2803	GO:0038032	0.00360843635819542	0.999683789371869	4	10	termination of G-protein coupled receptor signaling pathway	BP
1236	GO:0006629	0.00416456525132141	0.998504059720545	13	136	lipid metabolic process	BP
3177	GO:0051017	0.00592177541446024	1	2	2	actin filament bundle assembly	BP
3218	GO:0051764	0.00592177541446024	1	2	2	actin crosslink formation	BP
1660	GO:0008889	0.00672502298349274	0.999888863132571	2	3	glycerophosphodiester phosphodiesterase activity	MF
2130	GO:0016459	0.00691690438123506	0.998311763657248	7	54	myosin complex	CC
1346	GO:0007188	0.00710955262201001	0.999879023134884	2	3	adenylate cyclase-modulating G-protein coupled receptor signaling pathway	BP
2967	GO:0045893	0.00758844971699403	1	1	1	positive regulation of transcription, DNA-templated	BP
953	GO:0005742	0.00767079184042867	1	1	1	mitochondrial outer membrane translocase complex	CC
555	GO:0004452	0.010159013124675	0.999791224647599	2	3	isopentenyl-diphosphate delta-isomerase activity	MF
163	GO:0003774	0.0111792524005089	0.996988726930394	7	60	motor activity	MF
839	GO:0004869	0.0113426475184817	0.999598509376141	2	5	cysteine-type endopeptidase inhibitor activity	MF
1325	GO:0007021	0.0116260300599734	1	1	1	tubulin complex assembly	BP
1962	GO:0015631	0.0116260300599734	1	1	1	tubulin binding	MF
1329	GO:0007034	0.0117578077409467	0.999495875751551	2	8	vacuolar transport	BP
1320	GO:0007010	0.011781109304814	0.999574557947311	2	5	cytoskeleton organization	BP
2739	GO:0032784	0.0118517131601677	0.999735586432584	2	3	regulation of DNA-templated transcription, elongation	BP
1538	GO:0008610	0.0118803911663063	0.998203173679262	4	24	lipid biosynthetic process	BP
889	GO:0005328	0.0118999813075824	0.999733932214811	2	3	neurotransmitter:sodium symporter activity	MF
890	GO:0005332	0.0118999813075824	0.999733932214811	2	3	gamma-aminobutyric acid:sodium symporter activity	MF
