term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006512,"ubiquitin cycle",0.159%, 3.777, 2.362,4.849,-1.3612,0.930,0.000,6512,0
GO:0007034,"vacuolar transport",0.006%,-1.917, 5.088,3.498,-3.0557,0.800,0.000,7034,0
GO:0009405,"pathogenesis",0.620%, 4.721, 4.479,5.489,-2.2761,0.930,0.000,9405,0
GO:0009765,"photosynthesis, light harvesting",0.007%, 6.777, 4.189,3.523,-22.4687,0.901,0.000,9765,0
GO:0044238,"primary metabolic process",51.925%, 4.279, 6.457,7.412,-1.5388,0.956,0.007,44238,0
GO:0007010,"cytoskeleton organization",0.151%, 5.856,-2.935,4.876,-3.1519,0.750,0.018,7010,0
GO:0051603,"proteolysis involved in cellular protein catabolic process",0.218%, 1.874,-5.495,5.036,-2.8647,0.851,0.036,51603,0
GO:0006629,"lipid metabolic process",3.094%,-1.780, 0.917,6.187,-1.7768,0.830,0.066,6629,0
GO:0030148,"sphingolipid biosynthetic process",0.004%,-6.188,-0.484,3.329,-1.4015,0.807,0.083,30148,0
GO:0045893,"positive regulation of transcription, DNA-templated",0.193%,-3.313,-4.828,4.983,-2.0452,0.786,0.145,45893,0
GO:0001678,"cellular glucose homeostasis",0.004%,-0.292,-6.802,3.319,-1.3104,0.819,0.198,1678,0
GO:0006163,"purine nucleotide metabolic process",7.644%,-5.171,-1.309,6.580,-1.5048,0.754,0.208,6163,0
GO:0007188,"adenylate cyclase-modulating G-protein coupled receptor signaling pathway",0.011%,-2.203,-6.397,3.743,-1.9993,0.783,0.224,7188,0
GO:0055114,"oxidation-reduction process",15.044%,-6.018, 1.930,6.874,-1.3370,0.838,0.252,55114,0
GO:0006812,"cation transport",3.981%,-1.825, 6.088,6.297,-1.6941,0.762,0.281,6812,0
GO:0015734,"taurine transport",0.015%,-0.268, 6.366,3.861,-1.5796,0.813,0.300,15734,0
GO:1901023,"4-hydroxyphenylacetate catabolic process",0.011%,-0.317,-1.918,3.747,-1.6525,0.787,0.306,1901023,0
GO:0007021,"tubulin complex assembly",0.002%, 6.516,-1.438,2.959,-1.8545,0.776,0.346,7021,0
GO:0032784,"regulation of DNA-templated transcription, elongation",0.118%,-4.019,-4.884,4.767,-1.7978,0.790,0.349,32784,0
GO:0006357,"regulation of transcription from RNA polymerase II promoter",0.211%,-3.123,-5.221,5.022,-1.4708,0.785,0.365,6357,0
GO:0006816,"calcium ion transport",0.049%,-2.871, 5.980,4.384,-1.5072,0.771,0.488,6816,0
GO:0006631,"fatty acid metabolic process",0.867%,-5.123, 0.055,5.635,-1.4586,0.757,0.532,6631,0
GO:0051017,"actin filament bundle assembly",0.007%, 6.210,-2.229,3.515,-2.1019,0.677,0.575,51017,0
GO:0038032,"termination of G-protein coupled receptor signaling pathway",0.015%,-1.942,-6.468,3.880,-1.3745,0.780,0.624,38032,0
GO:0017004,"cytochrome complex assembly",0.188%, 6.420,-1.843,4.971,-1.4523,0.745,0.648,17004,0
GO:0006886,"intracellular protein transport",0.521%,-0.868, 5.787,5.413,-1.6892,0.809,0.653,6886,0
GO:0051764,"actin crosslink formation",0.001%, 6.253,-2.712,2.611,-2.1019,0.697,0.736,51764,0
GO:0070588,"calcium ion transmembrane transport",0.036%,-2.603, 6.168,4.252,-1.3029,0.749,0.802,70588,0
GO:0030042,"actin filament depolymerization",0.007%, 6.216,-2.444,3.531,-1.5220,0.676,0.817,30042,0
