term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0003674,"molecular_function",100.000%,-2.004, 6.094,7.675,-1.9107,1.000,0.000,3674,0
GO:0003735,"structural constituent of ribosome",2.608%,-4.593, 5.109,6.091,-1.5851,0.956,0.000,3735,0
GO:0003936,"hydrogen-transporting two-sector ATPase activity",0.159%,-3.875,-5.198,4.849,-2.9200,0.955,0.000,3936,0
GO:0004299,"proteasome endopeptidase activity",0.159%,-1.328, 2.805,4.849,-2.0312,0.955,0.000,4299,0
GO:0004467,"long-chain fatty acid-CoA ligase activity",0.016%, 2.755, 6.864,3.887,-2.7944,0.845,0.000,4467,0
GO:0005094,"Rho GDP-dissociation inhibitor activity",0.002%, 2.551,-0.257,3.006,-1.8355,0.930,0.000,5094,0
GO:0005215,"transporter activity",12.041%,-2.825,-2.751,6.756,-2.5168,0.960,0.000,5215,0
GO:0005261,"cation channel activity",0.105%,-5.556,-2.115,4.696,-3.4874,0.861,0.000,5261,0
GO:0009055,"electron carrier activity",2.493%,-1.081, 4.464,6.072,-1.8334,0.956,0.000,9055,0
GO:0051015,"actin filament binding",0.011%, 7.564,-1.666,3.703,-4.4359,0.879,0.000,51015,0
GO:0018800,"5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase activity",0.008%,-3.513, 5.114,3.596,-1.7128,0.940,0.012,18800,0
GO:0004175,"endopeptidase activity",1.827%,-7.327, 1.162,5.937,-2.7526,0.857,0.018,4175,0
GO:0008704,"5-carboxymethyl-2-hydroxymuconate delta-isomerase activity",0.019%, 1.275, 1.318,3.946,-1.7128,0.914,0.018,8704,0
GO:0008817,"cob(I)yrinic acid a,c-diamide adenosyltransferase activity",0.032%, 6.021,-1.020,4.179,-1.4859,0.923,0.019,8817,0
GO:0005536,"glucose binding",0.001%,-1.808,-0.093,2.491,-1.3104,0.946,0.025,5536,0
GO:0008137,"NADH dehydrogenase (ubiquinone) activity",0.693%, 2.390,-7.158,5.516,-2.5396,0.885,0.025,8137,0
GO:0005509,"calcium ion binding",0.365%, 5.289,-0.216,5.237,-2.8913,0.926,0.035,5509,0
GO:0050662,"coenzyme binding",4.565%,-2.900,-0.460,6.334,-2.2053,0.941,0.060,50662,0
GO:0043531,"ADP binding",0.067%,-0.414, 0.382,4.504,-2.2210,0.936,0.114,43531,0
GO:0004692,"cGMP-dependent protein kinase activity",0.001%, 6.203,-0.230,2.627,-1.4187,0.928,0.119,4692,0
GO:0008825,"cyclopropane-fatty-acyl-phospholipid synthase activity",0.010%, 1.988,-0.459,3.678,-1.3907,0.925,0.136,8825,0
GO:0004842,"ubiquitin-protein transferase activity",0.087%, 2.930,-2.476,4.615,-1.3841,0.921,0.156,4842,0
GO:0042284,"sphingolipid delta-4 desaturase activity",0.000%, 0.699,-6.672,1.778,-1.4015,0.911,0.177,42284,0
GO:0009703,"nitrate reductase (NADH) activity",0.001%, 1.789,-6.503,2.435,-1.8116,0.908,0.192,9703,0
GO:0008810,"cellulase activity",0.023%,-8.294, 1.578,4.033,-1.5236,0.878,0.193,8810,0
GO:0003774,"motor activity",0.216%,-7.909, 0.558,5.009,-2.6588,0.867,0.235,3774,0
GO:0004721,"phosphoprotein phosphatase activity",0.228%,-6.792, 2.011,5.032,-2.2489,0.884,0.237,4721,0
GO:0016671,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor",0.138%, 2.732,-7.534,4.814,-1.3846,0.892,0.284,16671,0
