	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Sterol biosynthesis	548.78	0.0	0.0	358.81	96.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.47	57.45	0.0	0.0	0.0	0.0	95.85	0.0	0.0	0.0	3.32	4.39
Glycosaminoglycan metabolism	64.24	2.005	0.0	21.13	14.88	7.7	0.0	0.0	2.18	3.14	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	7.84	0.0	0.0	0.0	0.0	2.81	0.0	0.0	4.31	0.0	0.0	0.0	36.769999999999996
Purine metabolism	332.45000000000005	0.0	5.65	19.56	115.39	0.0	0.0	0.0	3.96	0.0	0.0	18.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33	0.0	29.02	4.25	0.0	3.51
Branched-chain amino acid metabolism	1047.03	0.59	25.62	16.09	0.0	0.0	0.0	0.0	5.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	3.1	0.0	0.0	0.0	0.0	0.0	0.0	41.09	5.05	0.0	10.05	28.91
Spliceosome	2296.9416666666666	174.41	208.85999999999999	173.805	32.97	0.0	16.78	7.36	12.54	38.370000000000005	0.0	0.0	0.0	17.68	15.3	127.25999999999999	2.21	1099.46	0.0	0.0	0.0	0.0	32.44	0.0	44.17	24.12	0.0	47.650000000000006	43.53	2.63	141.99999999999997
Phosphate and amino acid transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ribosome	15494.465	3942.21	1775.91	1314.66	2503.195	0.0	311.96	351.72999999999996	185.49	7.39	0.0	0.0	37.08	11.56	58.33	29.64	583.0	0.0	0.0	54.46	0.0	1.9	0.0	804.58	432.84	51.24	558.51	796.75	0.0	0.0	3155.0550000000003
Mineral and organic ion transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Repair system	130.185	28.710000000000004	72.33	96.36500000000001	0.0	0.0	15.75	11.879999999999999	85.39	0.0	0.0	0.0	0.0	0.0	11.29	0.0	51.93000000000001	0.0	0.0	5.29	61.5	3.8	27.34	0.0	11.49	0.0	42.47	26.19	19.17	0.0	7.8100000000000005
Sulfur metabolism	740.9900000000001	10.59	37.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	2.7	0.0	0.0	22.36
