	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Sterol biosynthesis	434.225	0.0	0.0	302.57	65.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.6	11.81	0.0	0.0	0.0	0.0	162.77	0.0	0.0	0.0	55.99	0.0
Glycosaminoglycan metabolism	62.89	1.89	0.0	48.46	49.33	6.72	0.0	0.0	4.14	0.0	0.0	0.0	0.0	0.0	2.67	0.0	0.0	0.0	37.64	0.0	0.0	0.0	0.0	4.79	0.0	0.0	0.0	0.0	0.0	0.0	27.21
Purine metabolism	439.96000000000004	0.0	9.98	18.68	102.22	0.0	0.0	0.0	2.26	0.0	0.0	39.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.53	0.0	34.58	0.0	0.0	0.0
Branched-chain amino acid metabolism	942.0699999999999	5.29	19.88	6.76	0.0	0.0	0.0	0.0	11.600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.07	0.0	0.0	3.15	0.0	0.0	0.0	0.0	0.0	0.0	20.990000000000002	5.880000000000001	0.0	20.35	18.2
Spliceosome	2546.975	132.56	178.16000000000003	177.61	9.77	0.0	10.190000000000001	12.39	30.32	58.72	0.0	0.0	0.0	70.92	18.74	71.19999999999999	14.0	855.39	0.0	0.0	0.0	0.0	112.33000000000001	0.0	97.27	62.69	0.0	90.86	14.34	16.68	87.35999999999999
Phosphate and amino acid transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ribosome	14784.315000000004	3436.9199999999996	1625.49	1186.6	2259.565	0.0	238.96	328.65	195.95999999999998	18.12	0.0	0.0	30.43	13.97	138.89	22.34	406.38	0.0	0.0	61.74	0.0	2.42	0.0	800.0	438.46000000000004	41.379999999999995	421.86	963.23	0.0	2.62	2248.275
Mineral and organic ion transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Repair system	239.79	23.89	69.09	97.13	0.0	0.0	1.95	10.86	88.98	0.0	0.0	0.0	0.0	0.0	3.59	0.0	45.17	0.0	0.0	5.63	48.06	10.09	17.03	0.0	19.19	0.0	27.310000000000002	36.449999999999996	9.84	4.12	4.8
Sulfur metabolism	586.04	10.02	34.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.68
