	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Sterol biosynthesis	52.005	0.0	0.0	41.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.19	1.42	0.0	0.0	0.0	0.0	15.5	0.0	0.0	0.0	0.0	0.0
Glycosaminoglycan metabolism	12.64	0.0	0.0	4.12	2.17	3.22	0.0	0.0	0.0	1.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.49
Purine metabolism	67.83000000000001	0.0	1.67	0.0	5.3	0.0	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0	17.34
Branched-chain amino acid metabolism	194.84000000000003	0.0	6.34	8.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53	0.0	0.0	0.0
Spliceosome	2258.4016666666666	13.760000000000002	23.58	11.75	13.57	0.0	15.35	3.11	0.0	3.98	0.0	0.0	0.0	6.16	8.27	24.6	0.0	184.35	0.0	0.0	0.0	0.0	3.17	0.0	0.0	2.09	0.0	75.28	9.3	0.0	703.7900000000001
Phosphate and amino acid transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ribosome	6261.33	1238.07	167.66	546.72	2159.42	0.0	7.78	33.26	0.0	0.0	0.0	0.0	29.4	0.0	44.08	14.02	161.96	0.0	0.0	4.81	0.0	0.0	0.0	62.22	183.03	2.51	759.4	405.7	0.0	0.0	24137.579999999998
Mineral and organic ion transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Repair system	19.634999999999998	12.18	18.6	33.62	0.0	0.0	3.21	0.0	23.25	0.0	0.0	0.0	0.0	0.0	5.68	0.0	3.77	0.0	0.0	0.0	5.34	0.74	0.0	0.0	46.5	0.0	0.0	0.0	0.0	0.0	0.0
Sulfur metabolism	141.68	2.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18	0.0	0.0	272.97
Aromatics degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Polyamine biosynthesis	33.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.05	0.0	13.68	6.76
Phenylpropanoid and flavonoid biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phosphotransferase system (PTS)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Other terpenoid biosynthesis	61.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methane metabolism	21.21	17.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
