	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Sterol biosynthesis	0.002737044142564213	0.0	0.0	0.01797645125958379	0.004748578550499685	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08534095549203756	0.0	0.0	0.0	0.0	0.28934129853796575	0.0	0.0	0.0	0.0002918146406629235	0.0
Glycosaminoglycan metabolism	0.00039825433083112867	0.00020296790534262988	0.0	0.005777656078860897	0.0004275036091170076	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.011204226635088358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.182274683436658e-05
Purine metabolism	0.004129579693905711	0.0	0.005059004511806067	0.0009926067907995617	0.0006346784350737113	0.0	0.0	0.0	0.017168391345249296	0.0	0.0	0.05841349505088528		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016729684311607253	0.0	0.0	0.0	0.0
Branched-chain amino acid metabolism	0.014012050333731953	0.0	0.00887906914316983	0.012520536692223437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007232024966990759	0.0	0.0	0.0	0.0
Spliceosome	0.10914028170151883	0.005119936879840143	0.03772571935946809	0.05863225629791895	0.004746934305849234	0.0	0.0	0.1317762399077278	0.0	0.19474637681159418	0.0	0.0		0.4955719827270732	0.017899435234104574	0.7550899093476	0.0	1.0	0.0	0.0	0.0	0.0	0.20283533260632503	0.0	0.01548662851120512	0.22983807577424933	0.0	0.1059287955157997	0.016440213553289458	0.0	0.0439004079576605
Phosphate and amino acid transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ribosome	0.3258141585695058	0.8141928881189451	0.5246394168722964	0.674103231106243	0.7462618097872017	0.0	0.25772484032452964	0.6030853517877739	0.34164314832235815	0.0	0.0	0.0		0.0	0.2967298232829295	0.09392183088126023	0.7295722555067196	0.0	0.0	0.584539743239552	0.0	0.38142620232172475	0.0	0.927484333034915	0.5628906421534904	0.0	0.7187837594526467	0.4537367312733681	0.0	0.0	0.910619678345901
Mineral and organic ion transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Repair system	0.0009520421248161582	0.0027014742330814818	0.016033946952724126	0.01870892661555312	0.0	0.0	0.0	0.0	0.02328316086547507	0.0	0.0	0.0		0.0	0.0	0.0	0.016276330289174024	0.0	0.0	0.0	0.0	0.20619126589275844	0.0	0.0	0.10524466823777394	0.0	0.0	0.005801710430186085	0.0	0.0	0.0
Sulfur metabolism	0.008175420072732519	0.0	0.017272886833166426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038371100728743952	0.0	0.0	0.023872423893056445
