	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Sterol biosynthesis	0.00660369886994976	0.0	0.0	0.09976720333112207	0.009228425082533555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19064353173731605	0.27900552486187846	0.0	0.0	0.0	0.0	0.21111321828181304	0.0	0.0	0.0	0.0034728050425129223	0.0
Glycosaminoglycan metabolism	0.0008979482066359876	0.0004764790787805328	0.0	0.007226243601763479	0.004772331974145078	0.0008283724587217793	0.0	0.0	0.005795038633590892	0.007817327895192188	0.0	0.0	0.0	0.0	0.01672807663964628	0.0	0.0	0.0	0.22407593844383716	0.0	0.0	0.0	0.0	0.008913177840668814	0.0	0.0	0.00916916655797574	0.0	0.0	0.0	0.003900980460329601
Purine metabolism	0.006296610336960703	0.0	0.0012858650801266672	0.002712289265160547	0.019121271216353708	0.0	0.0	0.0	0.00335502236681578	0.0	0.0	0.15405678909458895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01646121752323156	0.010629972609886526	0.005166656903520591	0.0	0.0	0.0
Branched-chain amino acid metabolism	0.018169887472499827	0.00041268271676807647	0.007446502255061893	0.002536039421215096	0.0	0.0	0.0	0.0	0.00602379015860106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009602250718639783	0.0	0.0	0.01229958269273007	0.0	0.0	0.0	0.0	0.0	0.0	0.008777879222642494	0.004182531779040478	0.0	0.001195223735464864	0.0007196996036436964
Spliceosome	0.04477757214332606	0.01498616416398856	0.050369446310334895	0.03398684490748108	0.007733477717138711	0.0	0.006860580556255279	0.021998627178517024	0.04638572590483938	0.10437523173896923	0.0	0.0	0.0	0.18773215540608373	0.04001473839351511	0.3998126543472707	0.006748078530509062	0.9865987460815047	0.0	0.0	0.0	0.0	0.11831947743467933	0.0	0.06590632332412605	0.06667930969087806	0.0	0.051069064495342986	0.018992122585518502	0.0027811380382124318	0.03532090953341213
Phosphate and amino acid transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ribosome	0.3187807574311996	0.5073585116308744	0.5657950292678245	0.40122787391282005	0.524108422015975	0.0	0.23849037592425207	0.797140513301301	0.28850650671004485	0.027808676307007788	0.0	0.0	0.4502819067145054	0.018923802831041062	0.31061164333087693	0.14604445201396574	0.8657315854926505	0.0	0.0719114051488566	0.35482099714473975	0.0	0.2655468191565404	0.0	0.8963436452945578	0.7026047699664378	0.08253366205196283	0.5298160949523933	0.5930408294768906	0.0	0.0	0.7583339128016133
Mineral and organic ion transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Repair system	0.0034901411880805754	0.0015450681424891751	0.011145763362441222	0.02036175280469804	0.0	0.0	0.0	0.03897473673636806	0.09569438796258645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05125277772114738	0.0	0.0	0.018449374039095103	0.5408445146014207	0.16654753395282346	0.11609263657957246	0.0	0.012593186610828951	0.0	0.029581322551193424	0.014879034620115986	0.0508794647674544	0.0	0.001011751616716501
Sulfur metabolism	0.012797438358390556	0.001967719040821698	0.00902984358506861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009540365760378275
