KeggID	K1_Kegg Definition	K1_Pathway	K1_Subgroup	K1_Group
K00844	HK; hexokinase [EC:2.7.1.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K12407	GCK; glucokinase [EC:2.7.1.2]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00845	glk; glucokinase [EC:2.7.1.2]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00886	ppgK; polyphosphate glucokinase [EC:2.7.1.63]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K08074	ADPGK; ADP-dependent glucokinase [EC:2.7.1.147]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00918	pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01810	GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K06859	pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15916	pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K16370	pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01623	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K11645	fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K16305	K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K16306	K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01803	TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K11389	gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15633	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15634	gpmB; probable phosphoglycerate mutase [EC:5.4.2.12]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15635	apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01689	ENO, eno; enolase [EC:4.2.1.11]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00873	PK, pyk; pyruvate kinase [EC:2.7.1.40]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K12406	PKLR; pyruvate kinase isozymes R/L [EC:2.7.1.40]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01622	K01622; fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00627	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00169	porA; pyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00170	porB; pyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00171	porD; pyruvate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00172	porG; pyruvate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00027	E1.1.1.38, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00028	E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K13937	H6PD; hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01057	PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K07404	pgl; 6-phosphogluconolactonase [EC:3.1.1.31]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00033	PGD, gnd; 6-phosphogluconate dehydrogenase [EC:1.1.1.44]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01783	rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01808	rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00615	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
