OG_name	Emi219	Emi370	Emi374	Emi379	Emihu1	
OG1_5_1000	41	31	12	27	116	
OG1_5_1001	39	51	13	10	27	
OG1_5_1002	0	1	0	0	79	
OG1_5_1003	12	16	10	7	20	
OG1_5_1004	1	1	1	1	53	
OG1_5_1005	4	2	1	4	44	
OG1_5_1006	3	4	0	2	40	
OG1_5_1007	0	0	0	0	47	
OG1_5_1008	10	12	7	8	9	
OG1_5_1009	1	1	2	1	41	
OG1_5_1010	0	0	0	0	43	
OG1_5_1011	3	2	0	0	38	
OG1_5_1012	3	3	1	1	32	
OG1_5_1013	2	3	1	2	31	
OG1_5_1014	4	3	2	2	27	
OG1_5_1015	1	1	1	1	33	
OG1_5_1016	0	2	1	0	34	
OG1_5_1017	4	4	4	2	23	
OG1_5_1018	6	19	2	1	8	
OG1_5_1019	0	0	1	1	32	
OG1_5_1020	2	1	1	0	28	
OG1_5_1021	2	2	0	0	28	
OG1_5_1022	8	12	2	6	3	
OG1_5_1023	1	1	0	0	29	
OG1_5_1024	2	2	1	2	23	
OG1_5_1025	1	0	1	1	27	
OG1_5_1026	10	9	4	2	4	
OG1_5_1027	3	8	1	1	16	
OG1_5_1028	1	1	0	1	26	
OG1_5_1029	0	1	0	15	13	
OG1_5_1030	5	5	6	5	7	
OG1_5_1031	5	9	5	3	6	
OG1_5_1032	0	0	0	0	28	
OG1_5_1033	1	0	0	1	26	
OG1_5_1034	0	0	0	0	28	
OG1_5_1035	0	28	0	0	0	
OG1_5_1036	0	0	1	0	26	
OG1_5_1037	3	4	0	3	17	
OG1_5_1038	0	0	1	0	26	
OG1_5_1039	12	10	1	1	2	
OG1_5_1040	10	7	2	3	4	
OG1_5_1041	6	16	1	1	2	
OG1_5_1042	1	1	1	0	23	
OG1_5_1043	1	0	1	0	24	
OG1_5_1044	0	1	0	2	23	
OG1_5_1045	5	6	1	1	12	
OG1_5_1046	10	10	2	2	1	
OG1_5_1047	12	0	1	1	11	
OG1_5_1048	1	0	0	1	23	
OG1_5_1049	0	0	0	1	24	
OG1_5_1050	2	2	0	0	21	
OG1_5_1051	6	10	1	3	4	
OG1_5_1052	4	4	4	5	7	
OG1_5_1053	10	7	1	1	5	
OG1_5_1054	8	5	2	4	5	
OG1_5_1055	1	1	3	2	17	
OG1_5_1056	1	2	1	0	20	
OG1_5_1057	5	10	1	1	6	
OG1_5_1058	4	4	3	3	9	
OG1_5_1059	0	0	0	0	23	
OG1_5_1060	2	2	1	1	17	
OG1_5_1061	0	0	0	0	23	
OG1_5_1062	1	0	0	2	20	
OG1_5_1063	4	4	5	5	4	
OG1_5_1064	0	0	0	0	22	
OG1_5_1065	1	0	0	0	21	
OG1_5_1066	4	1	1	2	13	
OG1_5_1067	6	7	2	0	6	
OG1_5_1068	4	6	6	3	2	
OG1_5_1069	1	0	1	1	18	
OG1_5_1070	0	0	0	0	21	
OG1_5_1071	1	0	0	2	18	
OG1_5_1072	3	4	6	4	3	
OG1_5_1073	11	3	3	1	2	
OG1_5_1074	8	9	2	0	1	
OG1_5_1075	5	4	4	4	3	
OG1_5_1076	5	8	1	1	5	
OG1_5_1077	5	6	4	2	3	
OG1_5_1078	4	7	3	2	4	
OG1_5_1079	1	1	0	0	18	
OG1_5_1080	0	0	0	0	20	
OG1_5_1081	1	3	2	2	12	
OG1_5_1082	8	6	1	1	3	
OG1_5_1083	3	5	3	4	4	
OG1_5_1084	7	7	1	3	1	
OG1_5_1085	0	0	0	0	19	
OG1_5_1086	2	1	0	3	13	
OG1_5_1087	3	3	2	3	8	
OG1_5_1088	0	19	0	0	0	
OG1_5_1089	5	5	3	3	2	
OG1_5_1090	6	6	1	2	3	
OG1_5_1091	8	4	2	2	2	
OG1_5_1092	4	8	2	3	1	
OG1_5_1093	3	4	2	5	4	
OG1_5_1094	0	2	0	0	16	
OG1_5_1095	1	12	2	0	3	
OG1_5_1096	4	5	4	3	2	
OG1_5_1097	6	10	0	0	1	
