OG_name	Emi219	Emi370	Emi374	Emi379	Emihu1	
OG1_5_4873	1	1	1	1	1
OG1_5_4889	1	1	1	1	1
OG1_5_4957	1	1	1	1	1
OG1_5_5327	1	1	1	1	1
OG1_5_5700	1	1	1	1	1
OG1_5_5701	1	1	1	1	1
OG1_5_5703	1	1	1	1	1
OG1_5_5704	1	1	1	1	1
OG1_5_5705	1	1	1	1	1
OG1_5_5707	1	1	1	1	1
OG1_5_5708	1	1	1	1	1
OG1_5_5709	1	1	1	1	1
OG1_5_5710	1	1	1	1	1
OG1_5_5711	1	1	1	1	1
OG1_5_5712	1	1	1	1	1
OG1_5_5713	1	1	1	1	1
OG1_5_5714	1	1	1	1	1
OG1_5_5715	1	1	1	1	1
OG1_5_5716	1	1	1	1	1
OG1_5_5717	1	1	1	1	1
OG1_5_5718	1	1	1	1	1
OG1_5_5719	1	1	1	1	1
OG1_5_5721	1	1	1	1	1
OG1_5_5722	1	1	1	1	1
OG1_5_5723	1	1	1	1	1
OG1_5_5724	1	1	1	1	1
OG1_5_5725	1	1	1	1	1
OG1_5_5726	1	1	1	1	1
OG1_5_5727	1	1	1	1	1
OG1_5_5728	1	1	1	1	1
OG1_5_5729	1	1	1	1	1
OG1_5_5730	1	1	1	1	1
OG1_5_5731	1	1	1	1	1
OG1_5_5732	1	1	1	1	1
OG1_5_5733	1	1	1	1	1
OG1_5_5734	1	1	1	1	1
OG1_5_5735	1	1	1	1	1
OG1_5_5736	1	1	1	1	1
OG1_5_5737	1	1	1	1	1
OG1_5_5738	1	1	1	1	1
OG1_5_5739	1	1	1	1	1
OG1_5_5740	1	1	1	1	1
OG1_5_5741	1	1	1	1	1
OG1_5_5742	1	1	1	1	1
OG1_5_5743	1	1	1	1	1
OG1_5_5744	1	1	1	1	1
OG1_5_5746	1	1	1	1	1
OG1_5_5747	1	1	1	1	1
OG1_5_5748	1	1	1	1	1
OG1_5_5749	1	1	1	1	1
OG1_5_5750	1	1	1	1	1
OG1_5_5751	1	1	1	1	1
OG1_5_5752	1	1	1	1	1
OG1_5_5753	1	1	1	1	1
OG1_5_5754	1	1	1	1	1
OG1_5_5755	1	1	1	1	1
OG1_5_5756	1	1	1	1	1
OG1_5_5757	1	1	1	1	1
OG1_5_5758	1	1	1	1	1
OG1_5_5759	1	1	1	1	1
OG1_5_5760	1	1	1	1	1
OG1_5_5762	1	1	1	1	1
OG1_5_5763	1	1	1	1	1
OG1_5_5764	1	1	1	1	1
OG1_5_5765	1	1	1	1	1
OG1_5_5767	1	1	1	1	1
OG1_5_5768	1	1	1	1	1
OG1_5_5769	1	1	1	1	1
OG1_5_5771	1	1	1	1	1
OG1_5_5773	1	1	1	1	1
OG1_5_5774	1	1	1	1	1
OG1_5_5775	1	1	1	1	1
OG1_5_5776	1	1	1	1	1
OG1_5_5778	1	1	1	1	1
OG1_5_5779	1	1	1	1	1
OG1_5_5780	1	1	1	1	1
OG1_5_5781	1	1	1	1	1
OG1_5_5782	1	1	1	1	1
OG1_5_5783	1	1	1	1	1
OG1_5_5784	1	1	1	1	1
OG1_5_5785	1	1	1	1	1
OG1_5_5786	1	1	1	1	1
OG1_5_5788	1	1	1	1	1
OG1_5_5789	1	1	1	1	1
OG1_5_5790	1	1	1	1	1
OG1_5_5791	1	1	1	1	1
OG1_5_5792	1	1	1	1	1
OG1_5_5793	1	1	1	1	1
OG1_5_5794	1	1	1	1	1
OG1_5_5795	1	1	1	1	1
OG1_5_5796	1	1	1	1	1
OG1_5_5798	1	1	1	1	1
OG1_5_5799	1	1	1	1	1
OG1_5_5800	1	1	1	1	1
OG1_5_5801	1	1	1	1	1
OG1_5_5802	1	1	1	1	1
OG1_5_5803	1	1	1	1	1
OG1_5_5804	1	1	1	1	1
OG1_5_5807	1	1	1	1	1
OG1_5_5808	1	1	1	1	1
OG1_5_5809	1	1	1	1	1
OG1_5_5810	1	1	1	1	1
OG1_5_5811	1	1	1	1	1
OG1_5_5812	1	1	1	1	1
OG1_5_5813	1	1	1	1	1
OG1_5_5814	1	1	1	1	1
OG1_5_5815	1	1	1	1	1
OG1_5_5816	1	1	1	1	1
OG1_5_5817	1	1	1	1	1
OG1_5_5818	1	1	1	1	1
OG1_5_5819	1	1	1	1	1
OG1_5_5820	1	1	1	1	1
OG1_5_5821	1	1	1	1	1
OG1_5_5822	1	1	1	1	1
OG1_5_5823	1	1	1	1	1
OG1_5_5824	1	1	1	1	1
OG1_5_5825	1	1	1	1	1
OG1_5_5826	1	1	1	1	1
OG1_5_5827	1	1	1	1	1
OG1_5_5828	1	1	1	1	1
OG1_5_5829	1	1	1	1	1
OG1_5_5830	1	1	1	1	1
OG1_5_5831	1	1	1	1	1
OG1_5_5832	1	1	1	1	1
OG1_5_5833	1	1	1	1	1
OG1_5_5834	1	1	1	1	1
OG1_5_5835	1	1	1	1	1
OG1_5_5836	1	1	1	1	1
OG1_5_5837	1	1	1	1	1
OG1_5_5838	1	1	1	1	1
OG1_5_5839	1	1	1	1	1
OG1_5_5840	1	1	1	1	1
OG1_5_5842	1	1	1	1	1
OG1_5_5843	1	1	1	1	1
OG1_5_5844	1	1	1	1	1
OG1_5_5845	1	1	1	1	1
OG1_5_5846	1	1	1	1	1
OG1_5_5847	1	1	1	1	1
OG1_5_5848	1	1	1	1	1
OG1_5_5850	1	1	1	1	1
OG1_5_5851	1	1	1	1	1
OG1_5_5852	1	1	1	1	1
OG1_5_5853	1	1	1	1	1
OG1_5_5854	1	1	1	1	1
OG1_5_5855	1	1	1	1	1
OG1_5_5856	1	1	1	1	1
OG1_5_5857	1	1	1	1	1
OG1_5_5858	1	1	1	1	1
OG1_5_5859	1	1	1	1	1
OG1_5_5860	1	1	1	1	1
OG1_5_5861	1	1	1	1	1
OG1_5_5862	1	1	1	1	1
OG1_5_5864	1	1	1	1	1
OG1_5_5865	1	1	1	1	1
OG1_5_5866	1	1	1	1	1
OG1_5_5867	1	1	1	1	1
OG1_5_5869	1	1	1	1	1
OG1_5_5870	1	1	1	1	1
OG1_5_5871	1	1	1	1	1
OG1_5_5872	1	1	1	1	1
OG1_5_5873	1	1	1	1	1
OG1_5_5874	1	1	1	1	1
OG1_5_5875	1	1	1	1	1
OG1_5_5876	1	1	1	1	1
OG1_5_5878	1	1	1	1	1
OG1_5_5879	1	1	1	1	1
OG1_5_5880	1	1	1	1	1
OG1_5_5881	1	1	1	1	1
OG1_5_5882	1	1	1	1	1
OG1_5_5883	1	1	1	1	1
OG1_5_5884	1	1	1	1	1
OG1_5_5885	1	1	1	1	1
OG1_5_5886	1	1	1	1	1
OG1_5_5887	1	1	1	1	1
OG1_5_5888	1	1	1	1	1
OG1_5_5889	1	1	1	1	1
