OG1_5_4873: Emihu1|449185 Emi219|CAMPEP_0187754512 Emi379|CAMPEP_0187623120 Emi370|CAMPEP_0187672074 Emi374|CAMPEP_0187602470
OG1_5_4889: Emihu1|123740 Emi219|CAMPEP_0187805864 Emi370|CAMPEP_0187735294 Emi379|CAMPEP_0187658066 Emi374|CAMPEP_0187575636
OG1_5_4957: Emihu1|449121 Emi219|CAMPEP_0187803312 Emi379|CAMPEP_0187615476 Emi374|CAMPEP_0187578210 Emi370|CAMPEP_0187730744
OG1_5_5327: Emihu1|214413 Emi219|CAMPEP_0187748388 Emi379|CAMPEP_0187631414 Emi370|CAMPEP_0187671184 Emi374|CAMPEP_0187603214
OG1_5_5700: Emi219|CAMPEP_0187748274 Emi379|CAMPEP_0187618812 Emihu1|445881 Emi370|CAMPEP_0187668370 Emi374|CAMPEP_0187585556
OG1_5_5701: Emi219|CAMPEP_0187748280 Emi370|CAMPEP_0187719222 Emihu1|62552 Emi374|CAMPEP_0187577718 Emi379|CAMPEP_0187650680
OG1_5_5703: Emi219|CAMPEP_0187748524 Emi374|CAMPEP_0187611726 Emi370|CAMPEP_0187693274 Emi379|CAMPEP_0187653578 Emihu1|365420
OG1_5_5704: Emi219|CAMPEP_0187748530 Emihu1|449867 Emi379|CAMPEP_0187632632 Emi374|CAMPEP_0187579442 Emi370|CAMPEP_0187720484
OG1_5_5705: Emi219|CAMPEP_0187786766 Emi374|CAMPEP_0187612162 Emi379|CAMPEP_0187656276 Emi370|CAMPEP_0187686348 Emihu1|210011
OG1_5_5707: Emi219|CAMPEP_0187748898 Emi370|CAMPEP_0187666236 Emihu1|414699 Emi379|CAMPEP_0187645810 Emi374|CAMPEP_0187590752
OG1_5_5708: Emi219|CAMPEP_0187749156 Emi379|CAMPEP_0187614764 Emi374|CAMPEP_0187589684 Emi370|CAMPEP_0187728412 Emihu1|463669
OG1_5_5709: Emi219|CAMPEP_0187749158 Emi379|CAMPEP_0187636562 Emi370|CAMPEP_0187671976 Emi374|CAMPEP_0187590412 Emihu1|237406
OG1_5_5710: Emi219|CAMPEP_0187749160 Emi370|CAMPEP_0187676128 Emi374|CAMPEP_0187587922 Emi379|CAMPEP_0187633700 Emihu1|451254
OG1_5_5711: Emi219|CAMPEP_0187749170 Emi370|CAMPEP_0187682222 Emihu1|451404 Emi379|CAMPEP_0187627242 Emi374|CAMPEP_0187603648
OG1_5_5712: Emi219|CAMPEP_0187749474 Emi379|CAMPEP_0187645370 Emi370|CAMPEP_0187677962 Emi374|CAMPEP_0187588610 Emihu1|435194
OG1_5_5713: Emi219|CAMPEP_0187749786 Emi374|CAMPEP_0187597616 Emi379|CAMPEP_0187630338 Emi370|CAMPEP_0187693338 Emihu1|69881
OG1_5_5714: Emi219|CAMPEP_0187750054 Emi370|CAMPEP_0187678374 Emi379|CAMPEP_0187621508 Emi374|CAMPEP_0187587048 Emihu1|423772
OG1_5_5715: Emi219|CAMPEP_0187748288 Emi370|CAMPEP_0187687000 Emi379|CAMPEP_0187642024 Emi374|CAMPEP_0187577992 Emihu1|253626
OG1_5_5716: Emi219|CAMPEP_0187786536 Emi379|CAMPEP_0187622740 Emi374|CAMPEP_0187606882 Emi370|CAMPEP_0187718704 Emihu1|434018
OG1_5_5717: Emi219|CAMPEP_0187786782 Emi374|CAMPEP_0187581764 Emi370|CAMPEP_0187688942 Emi379|CAMPEP_0187635018 Emihu1|358694
OG1_5_5718: Emi219|CAMPEP_0187786784 Emihu1|65576 Emi374|CAMPEP_0187603774 Emi379|CAMPEP_0187638062 Emi370|CAMPEP_0187718794
OG1_5_5719: Emi219|CAMPEP_0187748906 Emihu1|440687 Emi374|CAMPEP_0187606786 Emi370|CAMPEP_0187688746 Emi379|CAMPEP_0187642310
OG1_5_5721: Emi219|CAMPEP_0187748920 Emi379|CAMPEP_0187633832 Emi374|CAMPEP_0187581516 Emi370|CAMPEP_0187668108 Emihu1|194926
OG1_5_5722: Emi219|CAMPEP_0187749182 Emihu1|456684 Emi379|CAMPEP_0187648772 Emi374|CAMPEP_0187588010 Emi370|CAMPEP_0187729602
OG1_5_5723: Emi219|CAMPEP_0187749798 Emi379|CAMPEP_0187622780 Emi370|CAMPEP_0187722678 Emi374|CAMPEP_0187612134 Emihu1|68776
OG1_5_5724: Emi219|CAMPEP_0187749928 Emi374|CAMPEP_0187606938 Emi379|CAMPEP_0187648942 Emi370|CAMPEP_0187704434 Emihu1|448761
OG1_5_5725: Emi219|CAMPEP_0187750056 Emihu1|62124 Emi374|CAMPEP_0187584256 Emi379|CAMPEP_0187632506 Emi370|CAMPEP_0187712548
OG1_5_5726: Emi219|CAMPEP_0187748302 Emi370|CAMPEP_0187705464 Emi374|CAMPEP_0187579154 Emihu1|372001 Emi379|CAMPEP_0187643220
OG1_5_5727: Emi219|CAMPEP_0187748306 Emi374|CAMPEP_0187589614 Emi370|CAMPEP_0187668366 Emi379|CAMPEP_0187629454 Emihu1|68664
OG1_5_5728: Emi219|CAMPEP_0187748318 Emi379|CAMPEP_0187623590 Emi374|CAMPEP_0187591930 Emihu1|434522 Emi370|CAMPEP_0187659364
OG1_5_5729: Emi219|CAMPEP_0187748540 Emi379|CAMPEP_0187657242 Emi370|CAMPEP_0187727228 Emihu1|212564 Emi374|CAMPEP_0187581034
OG1_5_5730: Emi219|CAMPEP_0187786540 Emi379|CAMPEP_0187639068 Emi374|CAMPEP_0187594012 Emi370|CAMPEP_0187670486 Emihu1|455541
OG1_5_5731: Emi219|CAMPEP_0187786786 Emi374|CAMPEP_0187585100 Emi379|CAMPEP_0187627840 Emi370|CAMPEP_0187666448 Emihu1|461074
OG1_5_5732: Emi219|CAMPEP_0187748928 Emi379|CAMPEP_0187642316 Emi370|CAMPEP_0187687388 Emi374|CAMPEP_0187588550 Emihu1|437029
OG1_5_5733: Emi219|CAMPEP_0187748936 Emihu1|366244 Emi370|CAMPEP_0187704900 Emi379|CAMPEP_0187613098 Emi374|CAMPEP_0187577878
OG1_5_5734: Emi219|CAMPEP_0187749190 Emi379|CAMPEP_0187654166 Emi370|CAMPEP_0187728492 Emi374|CAMPEP_0187589606 Emihu1|234551
OG1_5_5735: Emi219|CAMPEP_0187749210 Emi370|CAMPEP_0187704004 Emi374|CAMPEP_0187589792 Emi379|CAMPEP_0187621984 Emihu1|107306
OG1_5_5736: Emi219|CAMPEP_0187749498 Emi370|CAMPEP_0187707476 Emi379|CAMPEP_0187649000 Emi374|CAMPEP_0187579312 Emihu1|447730
OG1_5_5737: Emi219|CAMPEP_0187749656 Emi370|CAMPEP_0187660408 Emi379|CAMPEP_0187620078 Emi374|CAMPEP_0187576684 Emihu1|195022
OG1_5_5738: Emi219|CAMPEP_0187787426 Emi374|CAMPEP_0187591784 Emi379|CAMPEP_0187622276 Emi370|CAMPEP_0187731006 Emihu1|354107
OG1_5_5739: Emi219|CAMPEP_0187749658 Emi374|CAMPEP_0187592572 Emihu1|457176 Emi379|CAMPEP_0187642616 Emi370|CAMPEP_0187688478
OG1_5_5740: Emi219|CAMPEP_0187749802 Emihu1|68570 Emi374|CAMPEP_0187589524 Emi379|CAMPEP_0187638978 Emi370|CAMPEP_0187704168
OG1_5_5741: Emi219|CAMPEP_0187749812 Emi370|CAMPEP_0187711560 Emihu1|463240 Emi374|CAMPEP_0187588246 Emi379|CAMPEP_0187612762
OG1_5_5742: Emi219|CAMPEP_0187750078 Emi374|CAMPEP_0187593976 Emi379|CAMPEP_0187617092 Emi370|CAMPEP_0187732970 Emihu1|453920
OG1_5_5743: Emi219|CAMPEP_0187737938 Emi374|CAMPEP_0187583998 Emi370|CAMPEP_0187668790 Emi379|CAMPEP_0187653606 Emihu1|358643
OG1_5_5744: Emi219|CAMPEP_0187750204 Emi379|CAMPEP_0187640836 Emihu1|435521 Emi374|CAMPEP_0187578754 Emi370|CAMPEP_0187688670
OG1_5_5746: Emi219|CAMPEP_0187748316 Emi374|CAMPEP_0187585562 Emi370|CAMPEP_0187694022 Emi379|CAMPEP_0187620882 Emihu1|432306
OG1_5_5747: Emi219|CAMPEP_0187748332 Emihu1|79025 Emi370|CAMPEP_0187703214 Emi379|CAMPEP_0187625590 Emi374|CAMPEP_0187610670
OG1_5_5748: Emi219|CAMPEP_0187748554 Emi374|CAMPEP_0187604292 Emi379|CAMPEP_0187643400 Emi370|CAMPEP_0187673120 Emihu1|231208
OG1_5_5749: Emi219|CAMPEP_0187786552 Emi379|CAMPEP_0187653796 Emi370|CAMPEP_0187718610 Emi374|CAMPEP_0187585464 Emihu1|463324
OG1_5_5750: Emi219|CAMPEP_0187786550 Emi370|CAMPEP_0187728602 Emi379|CAMPEP_0187645770 Emi374|CAMPEP_0187602810 Emihu1|355993
OG1_5_5751: Emi219|CAMPEP_0187748558 Emi370|CAMPEP_0187711406 Emi374|CAMPEP_0187594128 Emi379|CAMPEP_0187637004 Emihu1|351389
OG1_5_5752: Emi219|CAMPEP_0187786806 Emi374|CAMPEP_0187588640 Emi370|CAMPEP_0187663456 Emi379|CAMPEP_0187653904 Emihu1|369425
OG1_5_5753: Emi219|CAMPEP_0187748964 Emihu1|74571 Emi379|CAMPEP_0187626872 Emi374|CAMPEP_0187610678 Emi370|CAMPEP_0187732580
OG1_5_5754: Emi219|CAMPEP_0187748946 Emi374|CAMPEP_0187581744 Emi379|CAMPEP_0187617288 Emi370|CAMPEP_0187689090 Emihu1|431878
OG1_5_5755: Emi219|CAMPEP_0187748960 Emi379|CAMPEP_0187625748 Emi374|CAMPEP_0187583902 Emi370|CAMPEP_0187692252 Emihu1|461898
OG1_5_5756: Emi219|CAMPEP_0187749232 Emi370|CAMPEP_0187711542 Emi379|CAMPEP_0187641584 Emi374|CAMPEP_0187574590 Emihu1|458191
OG1_5_5757: Emi219|CAMPEP_0187787140 Emihu1|356694 Emi370|CAMPEP_0187681018 Emi374|CAMPEP_0187606730 Emi379|CAMPEP_0187656932
OG1_5_5758: Emi219|CAMPEP_0187749510 Emi379|CAMPEP_0187622028 Emi374|CAMPEP_0187583356 Emi370|CAMPEP_0187705742 Emihu1|463584
OG1_5_5759: Emi219|CAMPEP_0187749664 Emihu1|315400 Emi374|CAMPEP_0187577634 Emi379|CAMPEP_0187632518 Emi370|CAMPEP_0187728060
OG1_5_5760: Emi219|CAMPEP_0187749816 Emi370|CAMPEP_0187682902 Emi374|CAMPEP_0187579554 Emi379|CAMPEP_0187655302 Emihu1|446857
OG1_5_5762: Emi219|CAMPEP_0187749934 Emi379|CAMPEP_0187638008 Emi374|CAMPEP_0187587308 Emihu1|448744 Emi370|CAMPEP_0187686858
