Nutrient ID	Orthologus Group	Transcripts	Up in +N	Up in -P	Up in DSW
Car0	OG1_5_38956	Emihu1|44530	0	0	0
Car1	OG1_5_41769	Emihu1|414497	0	0	0
Car2	OG1_5_18668	Emi379|CAMPEP_0187624504; Emi370|CAMPEP_0187689442; Emihu1|213013	1	1	1
Car3	OG1_5_16305	Emi379|CAMPEP_0187615148; Emi219|CAMPEP_0187794080; Emihu1|229382	0	1	0
Car4	OG1_5_8163	Emi374|CAMPEP_0187612074; Emi379|CAMPEP_0187626576; Emi370|CAMPEP_0187673174; Emi219|CAMPEP_0187780052; Emihu1|438851	0	0	0
Car5	OG1_5_6824	Emi374|CAMPEP_0187588242; Emi379|CAMPEP_0187630378; Emi370|CAMPEP_0187734652; Emi219|CAMPEP_0187803376; Emihu1|420746	1	1	1
Car6	OG1_5_41558	Emihu1|47625	0	0	0
Car7	OG1_5_38537	Emihu1|215366	0	0	0
Car8	OG1_5_35378	Emihu1|254913	0	0	0
Car9	OG1_5_9775	Emi374|CAMPEP_0187581070; Emi370|CAMPEP_0187728672; Emi370|CAMPEP_0187672172; Emihu1|454452	1	1	1
Car10	OG1_5_5761	Emi374|CAMPEP_0187608136; Emi370|CAMPEP_0187677220; Emi219|CAMPEP_0187787752; Emihu1|229121; Emihu1|417528	0	0	0
Car11	OG1_5_8451	Emi374|CAMPEP_0187589182; Emi379|CAMPEP_0187658742; Emi370|CAMPEP_0187687698; Emi219|CAMPEP_0187808088; Emihu1|450594	1	1	1
Car12	OG1_5_7889	Emi374|CAMPEP_0187585726; Emi379|CAMPEP_0187637142; Emi370|CAMPEP_0187686688; Emi219|CAMPEP_0187736666; Emihu1|63332	0	0	0
Car13	OG1_5_12228	Emi379|CAMPEP_0187630090; Emi370|CAMPEP_0187688868; Emi219|CAMPEP_0187745064; Emihu1|236437	0	0	0
Car14	OG1_5_5449	Emi374|CAMPEP_0187578110; Emi379|CAMPEP_0187657540; Emi370|CAMPEP_0187689410; Emi370|CAMPEP_0187692402; Emihu1|437834	1	1	1
Car15	OG1_5_8447	Emi374|CAMPEP_0187588956; Emi379|CAMPEP_0187648922; Emi370|CAMPEP_0187693548; Emi219|CAMPEP_0187807468; Emihu1|260532	0	0	0
Car16	OG1_5_3566	Emi374|CAMPEP_0187595468; Emi374|CAMPEP_0187586456; Emi379|CAMPEP_0187628208; Emi370|CAMPEP_0187716236; Emihu1|444997; Emihu1|437573	0	0	0
Car17	OG1_5_12129	Emi374|CAMPEP_0187606570; Emi370|CAMPEP_0187704192; Emi219|CAMPEP_0187745020; Emihu1|450514	0	0	0
Car18	OG1_5_11492	Emi374|CAMPEP_0187606948; Emi370|CAMPEP_0187704302; Emi219|CAMPEP_0187778686; Emihu1|434751	0	0	0
Car19	OG1_5_1388	Emi374|CAMPEP_0187588506; Emi379|CAMPEP_0187616482; Emi370|CAMPEP_0187728640; Emi370|CAMPEP_0187663934; Emi370|CAMPEP_0187718742; Emi219|CAMPEP_0187776118; Emi219|CAMPEP_0187786652; Emi219|CAMPEP_0187750314; Emihu1|456927; Emihu1|198024	0	0	0
Car20	OG1_5_2920	Emi374|CAMPEP_0187606614; Emi379|CAMPEP_0187646478; Emi370|CAMPEP_0187679672; Emi370|CAMPEP_0187723864; Emi219|CAMPEP_0187763384; Emihu1|70323; Emihu1|433474	0	0	0
Car21	OG1_5_8701	Emi374|CAMPEP_0187590846; Emi379|CAMPEP_0187621340; Emi370|CAMPEP_0187684386; Emi219|CAMPEP_0187762338; Emihu1|415062	0	0	0
Car22	OG1_5_13421	Emi374|CAMPEP_0187607466; Emi379|CAMPEP_0187642768; Emi370|CAMPEP_0187711212; Emihu1|100158	0	0	0
Car23	OG1_5_2247	Emi374|CAMPEP_0187583382; Emi379|CAMPEP_0187649436; Emi370|CAMPEP_0187678686; Emi370|CAMPEP_0187709342; Emi219|CAMPEP_0187803340; Emi219|CAMPEP_0187780362; Emihu1|428425	0	0	0
Car24	OG1_5_7314	Emi374|CAMPEP_0187601006; Emi379|CAMPEP_0187649112; Emi370|CAMPEP_0187718508; Emi219|CAMPEP_0187780192; Emihu1|451022	0	0	0
Car25	OG1_5_8705	Emi374|CAMPEP_0187585080; Emi379|CAMPEP_0187623002; Emi370|CAMPEP_0187674672; Emi219|CAMPEP_0187762506; Emihu1|428965	0	0	0
Car26	OG1_5_3631	Emi374|CAMPEP_0187583054; Emi379|CAMPEP_0187643946; Emi370|CAMPEP_0187705492; Emi219|CAMPEP_0187779368; Emihu1|66621; Emihu1|66604	0	0	0
Car27	OG1_5_3047	Emi374|CAMPEP_0187602002; Emi379|CAMPEP_0187628328; Emi370|CAMPEP_0187691800; Emi219|CAMPEP_0187779490; Emi219|CAMPEP_0187793468; Emihu1|438455	0	0	0
Car28	OG1_5_3032	Emi374|CAMPEP_0187610816; Emi379|CAMPEP_0187621250; Emi370|CAMPEP_0187722686; Emi219|CAMPEP_0187797474; Emi219|CAMPEP_0187777110; Emihu1|422534	0	0	0
Car29	OG1_5_1441	Emi374|CAMPEP_0187590244; Emi374|CAMPEP_0187590750; Emi379|CAMPEP_0187648754; Emi370|CAMPEP_0187730852; Emi370|CAMPEP_0187677820; Emi370|CAMPEP_0187685630; Emi219|CAMPEP_0187761002; Emi219|CAMPEP_0187762260; Emi219|CAMPEP_0187741026; Emihu1|359239	0	0	0
Car30	OG1_5_8090	Emi374|CAMPEP_0187581016; Emi379|CAMPEP_0187642230; Emi370|CAMPEP_0187731956; Emi219|CAMPEP_0187780036; Emihu1|448597	0	0	0
Car31	OG1_5_8088	Emi374|CAMPEP_0187599034; Emi379|CAMPEP_0187645894; Emi370|CAMPEP_0187728498; Emi219|CAMPEP_0187779670; Emihu1|456563	0	0	0
Car32	OG1_5_1425	Emi374|CAMPEP_0187579764; Emi379|CAMPEP_0187625514; Emi379|CAMPEP_0187630334; Emi370|CAMPEP_0187693910; Emi370|CAMPEP_0187678946; Emi219|CAMPEP_0187780000; Emi219|CAMPEP_0187746680; Emihu1|442739; Emihu1|365175; Emihu1|63832	0	0	0
Car33	OG1_5_19853	Emihu1|72565; Emihu1|234105	0	0	0
Car34	OG1_5_1996	Emi374|CAMPEP_0187588582; Emi379|CAMPEP_0187626800; Emi370|CAMPEP_0187730768; Emi370|CAMPEP_0187691562; Emi370|CAMPEP_0187724326; Emi219|CAMPEP_0187807744; Emihu1|446110; Emihu1|433602	0	0	0
Car35	OG1_5_40617	Emihu1|106752	0	0	0
Car36	OG1_5_8240	Emi374|CAMPEP_0187611342; Emi379|CAMPEP_0187625398; Emi370|CAMPEP_0187667368; Emi219|CAMPEP_0187744546; Emihu1|467883	0	0	0
Car37	OG1_5_2380	Emi379|CAMPEP_0187612948; Emi379|CAMPEP_0187635378; Emi370|CAMPEP_0187735590; Emi370|CAMPEP_0187696128; Emi219|CAMPEP_0187802222; Emihu1|103141; Emihu1|455000	0	0	0
Car38	OG1_5_3740	Emi374|CAMPEP_0187581518; Emi379|CAMPEP_0187645512; Emi370|CAMPEP_0187718992; Emi219|CAMPEP_0187768234; Emihu1|458122; Emihu1|428139	0	0	0
Car39	OG1_5_1445	Emi374|CAMPEP_0187592522; Emi374|CAMPEP_0187588218; Emi379|CAMPEP_0187623962; Emi379|CAMPEP_0187624086; Emi370|CAMPEP_0187676608; Emi370|CAMPEP_0187705100; Emi219|CAMPEP_0187763354; Emi219|CAMPEP_0187769408; Emihu1|455280; Emihu1|449545	0	0	0
Car40	OG1_5_8653	Emi374|CAMPEP_0187586540; Emi379|CAMPEP_0187612952; Emi370|CAMPEP_0187705342; Emi219|CAMPEP_0187762058; Emihu1|125355	0	0	0
Car41	OG1_5_3716	Emi374|CAMPEP_0187587582; Emi379|CAMPEP_0187646738; Emi370|CAMPEP_0187718906; Emi219|CAMPEP_0187767316; Emihu1|444895; Emihu1|439215	0	0	0
Car42	OG1_5_8702	Emi374|CAMPEP_0187610902; Emi379|CAMPEP_0187617546; Emi370|CAMPEP_0187705452; Emi219|CAMPEP_0187762414; Emihu1|63987	0	0	0
Car43	OG1_5_7532	Emi374|CAMPEP_0187594278; Emi379|CAMPEP_0187653612; Emi370|CAMPEP_0187678290; Emi219|CAMPEP_0187743756; Emihu1|432409	0	0	0
Car44	OG1_5_1369	Emi374|CAMPEP_0187594526; Emi374|CAMPEP_0187610112; Emi379|CAMPEP_0187658284; Emi379|CAMPEP_0187648748; Emi370|CAMPEP_0187726848; Emi370|CAMPEP_0187662744; Emi370|CAMPEP_0187676980; Emi370|CAMPEP_0187703620; Emi219|CAMPEP_0187802636; Emihu1|417208; Emihu1|113063	0	0	0
Car45	OG1_5_1894	Emi374|CAMPEP_0187578878; Emi379|CAMPEP_0187637644; Emi379|CAMPEP_0187647034; Emi370|CAMPEP_0187722626; Emi219|CAMPEP_0187777882; Emi219|CAMPEP_0187779346; Emihu1|440664; Emihu1|440829	0	0	0
Car46	OG1_5_2253	Emi379|CAMPEP_0187633592; Emi370|CAMPEP_0187693238; Emi370|CAMPEP_0187701394; Emi219|CAMPEP_0187778724; Emi219|CAMPEP_0187774150; Emihu1|420320; Emihu1|195290	0	0	0
Car47	OG1_5_11779	Emi374|CAMPEP_0187606540; Emi370|CAMPEP_0187719006; Emi219|CAMPEP_0187783868; Emihu1|421173	0	0	0
Car48	OG1_5_5704	Emi374|CAMPEP_0187579442; Emi379|CAMPEP_0187632632; Emi370|CAMPEP_0187720484; Emi219|CAMPEP_0187748530; Emihu1|449867	0	0	0
Car49	OG1_5_1853	Emi374|CAMPEP_0187588102; Emi379|CAMPEP_0187658196; Emi370|CAMPEP_0187665382; Emi370|CAMPEP_0187690604; Emi219|CAMPEP_0187778938; Emi219|CAMPEP_0187756106; Emi219|CAMPEP_0187744044; Emihu1|465828	0	0	0
Car50	OG1_5_3610	Emi374|CAMPEP_0187591906; Emi379|CAMPEP_0187624522; Emi370|CAMPEP_0187683006; Emi219|CAMPEP_0187756238; Emihu1|460052; Emihu1|454319	0	0	0
