OG1_5_2476	231494 229689 229690	Esterase/lipase/thioesterase aminopeptidase activity	
OG1_5_7702	471563	Unk	
OG1_5_6049	447448	Splicing factor 3B subunit 	
OG1_5_7446	421941	"Converts zeta-carotene to lycopene via neurosporene by symmetrical introduction of double bonds at C7 and C7'. Along with protein 430952, this protein clusters with other known ZDS proteins, most closely with diatoms, and then with green algae and higher plants. Should localize to chloroplast."	Adrenodoxin reductase
OG1_5_6075	465488	Unk	
OG1_5_2290	239668 235751	UDP-galactopyranose mutase	
OG1_5_2540	446255 426711	 CRT1/2 Calreticulin (high affinity calcium binding protein)	
OG1_5_2333	121249 42846	"fructose-1,6-bisphosphate aldolase"	
OG1_5_7953	435128	"H+-transporting ATPase; Vacuolar H+-ATPase V1 sector, subunit B"	
OG1_5_1428	361737 432385	"Putative chloroplast ferredoxin-dependent NADH oxidoreductase. Good support by lipid body proteomics, and similarity to annotated diatom gene. PID 432385 is about 80% similar but has weaker proteomics support, although scaffold has higher read depth. PID 42969 is about 50% similar but does not have proteomics support"	
OG1_5_3661	77411 66551	Receptor of activated protein kinase C	
OG1_5_4321	442804	"Antifreeze protein, type I"	
OG1_5_3604	422478 418229	"RNA recognition motif, RNP-1"	
OG1_5_5749	463324	Chaperonin 	
OG1_5_2702	223278	Ribosomal protein S8 	
OG1_5_2590	427526	tryptophane synthase	
OG1_5_8285	467636	SAM (and some other nucleotide) binding motif	
OG1_5_1964	441258 440113 440119	S-adenosyl-L-homocysteine hydrolase 	
OG1_5_5767	66467	"Glutamine amidotransferase, class-II"	
OG1_5_7157	418435	"RNA helicase, ATP-dependent, DEAD-box, conserved site"	
OG1_5_2319	425512 455478	Chaperonin TCP-1	
OG1_5_8658	450596	Mov34/MPN/PAD-1	
OG1_5_8002	79310	"Arf1; ADP-ribosylation factor, Ras superfamily GTPase regulating vesicle budding and trafficking; one of several paralogs present in E. huxleyi"	
OG1_5_2010	434514	Unk	
OG1_5_8451	450594	"isocitrate dehydrogenase, NADP-dependent"	
OG1_5_4595	106404 113632	Unk	
OG1_5_3648	445372 439078	Metallophosphoesterase	
OG1_5_2135	53686 196834	"RNA helicase, ATP-dependent, DEAD-box, conserved site"	
OG1_5_8369	197644	Bacterial Fmu (Sun)/eukaryotic nucleolar NOL1/Nop2p	
OG1_5_1675	373343 443126 442625 361216	calcium ion binding Interacting selectively and non-covalently with calcium ions (Ca2+	
OG1_5_1045	318009 78701 318063 445562 254823 370274 440538 416424 415405 200410 311254 104197	Tubulin	
OG1_5_6658	356503	Ribosomal protein S2	
OG1_5_4162	453760	ATP binding	
OG1_5_8525	456589	Adenylate kinase	
OG1_5_1147	466116 416950 427625	ATP-dependent metalloprotease FtsH	
OG1_5_1414	451926 464103	helicase; ATP binding	
OG1_5_7079	434550	Unk	
OG1_5_4125	449776	HSP90	
OG1_5_8634	73171	Mov34	
OG1_5_1559	66183 114964 351212 196782	Histone	
OG1_5_3549	437342 362359	Hsp90	
OG1_5_6141	428286	Glutathione peroxidase	
OG1_5_3947	449047	cysteine-type endopeptidase activity	
OG1_5_6824	420746	phosphopyruvate hydratase complex	
OG1_5_1027	447172 372394 226687 441334 362534 110294 441799 436853 436869 434484 441942 211791 436648 64263 432366 432373	Actin	
OG1_5_6661	225662	"NADH-ubiquinone oxidoreductase, 23 kDa subunit; ferredoxin"	
OG1_5_1008	470246 442092 421892 441734 214671 423268 66708 311681 420962	HSP70	
OG1_5_5714	423772	Urease;Part of the urea-pathway; N metabolism	
OG1_5_4668	418014	Metallophosphoesterase	
OG1_5_3986	431349	Initiation factor 2B	
OG1_5_7947	434239	"von Willebrand factor, type A"	
OG1_5_1083	431142 439359 421356 461250	Cell division cycle protein 48 homolog	
OG1_5_1439	470988 469622	Ribonucleotide reductase	
OG1_5_3461	459646 433378	Chaperonin Cpn60	
OG1_5_8395	44977	Chaperonin Cpn60	
OG1_5_8051	437052	"glutamate 1-semialdehyde 2,1-aminomutase ("	
OG1_5_1077	75032 51239 415047	H+-translocating pyrophosphatase	
OG1_5_2774	441860	Unk	
OG1_5_1089	422007 463837	Carbamoyl-phosphate synthase	
OG1_5_1974	463726 207566 423073	 Putative methytransferase	
OG1_5_7359	425773	"cyclophilin isoform A, peptidyl prolyl cis-trans isomerase"	
OG1_5_4184	256467	Unk	
OG1_5_3343	424681 451447	Chaperonin Cpn60	
OG1_5_8319	465547	putative Endopeptidase Clp 	
OG1_5_3797	470721 427499	pyridoxine biosynthesis protein	
OG1_5_2483	371985 66170 358281	putative Histone H2A	
OG1_5_3369	113940 206324	Unk	
OG1_5_1778	468664 415021	Unk	
OG1_5_2000	462645 198673	 S-adenosylmethionine synthetas	
OG1_5_3300	317426 309350	Magnesium chelatase H subunit 	
OG1_5_1836	433653	DEAD/DEAH box helicase	
OG1_5_7419	438587	Ribosomal protein S13	
OG1_5_1073	212824 449248	Ribonucleotide reductase large subunit	
OG1_5_1177	464740 434266	Ubiquitin	
OG1_5_6889	454161	"Chaperonin complex component, TCP-1 eta subunit"	
OG1_5_7735	457349	SecY protein	
OG1_5_8604	455414	Unk	
OG1_5_3325	436450 444842	Light harvesting protein	
OG1_5_7676	437959	Transketolase 	
OG1_5_8373	414756	Ribosomal protein S10	
OG1_5_1131	464996 468958 416460 451245	Beta tubulin	
OG1_5_7893	415280	"Ribosomal protein S3, C-terminal"	
OG1_5_1319	437166 438642	ATP/GTP-binding site motif A (P-loop)	
OG1_5_1400	105413 439060	Glyceraldehyde-3-phosphate dehydrogenase (NADP+).	
