Nutrient ID	Orthologus Group	Transcripts	Up in +N	Up in -P	Up in DSW
Pho0	OG1_5_39629	Emihu1|312310	1	1	1
Pho1	OG1_5_3325	Emi374|CAMPEP_0187590952; Emi379|CAMPEP_0187656592; Emi370|CAMPEP_0187689150; Emi219|CAMPEP_0187780136; Emihu1|436450; Emihu1|444842	1	1	1
Pho2	OG1_5_5650	Emi374|CAMPEP_0187598458; Emi374|CAMPEP_0187608036; Emi370|CAMPEP_0187660340; Emi219|CAMPEP_0187808634; Emihu1|45662	0	0	0
Pho3	OG1_5_17184	Emi374|CAMPEP_0187609542; Emi219|CAMPEP_0187744250; Emihu1|358662	1	1	1
Pho4	OG1_5_19188	Emi374|CAMPEP_0187590164; Emi379|CAMPEP_0187623572; Emihu1|437015	0	0	0
Pho5	OG1_5_2831	Emi374|CAMPEP_0187594080; Emi374|CAMPEP_0187609016; Emi379|CAMPEP_0187617476; Emi370|CAMPEP_0187679578; Emi370|CAMPEP_0187698316; Emi219|CAMPEP_0187779034; Emihu1|451739	0	0	0
Pho6	OG1_5_3393	Emi374|CAMPEP_0187582110; Emi370|CAMPEP_0187674866; Emi219|CAMPEP_0187745622; Emihu1|419207; Emihu1|417267; Emihu1|428685	0	1	0
Pho7	OG1_5_20204	Emihu1|355940; Emihu1|353073	0	0	0
Pho8	OG1_5_3856	Emi374|CAMPEP_0187588622; Emi379|CAMPEP_0187639484; Emi370|CAMPEP_0187704612; Emi219|CAMPEP_0187779864; Emihu1|446310; Emihu1|434417	0	0	0
Pho9	OG1_5_1748	Emi374|CAMPEP_0187606338; Emi374|CAMPEP_0187587714; Emi379|CAMPEP_0187615424; Emi370|CAMPEP_0187728052; Emi370|CAMPEP_0187661036; Emi219|CAMPEP_0187808190; Emi219|CAMPEP_0187787056; Emihu1|65742; Emihu1|67603	0	0	0
Pho10	OG1_5_11242	Emi374|CAMPEP_0187605546; Emi379|CAMPEP_0187654402; Emi219|CAMPEP_0187755624; Emihu1|422697	0	0	0
Pho11	OG1_5_6616	Emi374|CAMPEP_0187577806; Emi379|CAMPEP_0187624532; Emi370|CAMPEP_0187705644; Emi219|CAMPEP_0187801122; Emihu1|433847	0	0	0
Pho12	OG1_5_7742	Emi374|CAMPEP_0187580398; Emi379|CAMPEP_0187621798; Emi370|CAMPEP_0187732782; Emi219|CAMPEP_0187774826; Emihu1|435222	0	0	0
Pho13	OG1_5_4202	Emi374|CAMPEP_0187576640; Emi379|CAMPEP_0187617108; Emi370|CAMPEP_0187666258; Emi370|CAMPEP_0187725390; Emi219|CAMPEP_0187748312; Emihu1|211477	0	0	0
Pho14	OG1_5_4412	Emi374|CAMPEP_0187610102; Emi379|CAMPEP_0187613146; Emi370|CAMPEP_0187660550; Emi370|CAMPEP_0187675010; Emi219|CAMPEP_0187803286; Emihu1|420185	0	0	0
Pho15	OG1_5_6820	Emi374|CAMPEP_0187610996; Emi379|CAMPEP_0187620186; Emi370|CAMPEP_0187731450; Emi219|CAMPEP_0187803258; Emihu1|70030	0	0	0
Pho16	OG1_5_8717	Emi374|CAMPEP_0187593760; Emi379|CAMPEP_0187654764; Emi370|CAMPEP_0187679140; Emi219|CAMPEP_0187763450; Emihu1|415729	0	0	0
Pho17	OG1_5_8676	Emi374|CAMPEP_0187588612; Emi379|CAMPEP_0187639260; Emi370|CAMPEP_0187722554; Emi219|CAMPEP_0187762924; Emihu1|356951	0	0	0
Pho18	OG1_5_6812	Emi374|CAMPEP_0187579590; Emi379|CAMPEP_0187638906; Emi370|CAMPEP_0187703548; Emi219|CAMPEP_0187801494; Emihu1|69651	0	0	0
Pho19	OG1_5_7122	Emi374|CAMPEP_0187611170; Emi379|CAMPEP_0187615218; Emi370|CAMPEP_0187688602; Emi219|CAMPEP_0187744082; Emihu1|457448	0	0	0
Pho20	OG1_5_2130	Emi374|CAMPEP_0187594220; Emi374|CAMPEP_0187584114; Emi379|CAMPEP_0187624454; Emi370|CAMPEP_0187704140; Emi219|CAMPEP_0187769122; Emihu1|47636; Emihu1|413829	0	0	0
Pho21	OG1_5_36426	Emihu1|460117	0	0	0
Pho22	OG1_5_2183	Emi374|CAMPEP_0187592362; Emi379|CAMPEP_0187619672; Emi370|CAMPEP_0187731494; Emi370|CAMPEP_0187661698; Emi219|CAMPEP_0187744320; Emi219|CAMPEP_0187736496; Emihu1|417035	1	0	0
Pho23	OG1_5_3922	Emi374|CAMPEP_0187578636; Emi379|CAMPEP_0187616946; Emi370|CAMPEP_0187661856; Emi219|CAMPEP_0187763358; Emihu1|459601; Emihu1|432202	1	0	1
Pho24	OG1_5_8700	Emi374|CAMPEP_0187589148; Emi379|CAMPEP_0187654272; Emi370|CAMPEP_0187700586; Emi219|CAMPEP_0187762336; Emihu1|362550	1	0	1
Pho25	OG1_5_6687	Emi374|CAMPEP_0187609124; Emi379|CAMPEP_0187617196; Emi370|CAMPEP_0187711278; Emi219|CAMPEP_0187801460; Emihu1|433058	1	0	1
Pho26	OG1_5_1552	Emi374|CAMPEP_0187607476; Emi374|CAMPEP_0187610412; Emi379|CAMPEP_0187657380; Emi370|CAMPEP_0187733728; Emi370|CAMPEP_0187661908; Emi219|CAMPEP_0187803814; Emi219|CAMPEP_0187738996; Emihu1|349470; Emihu1|195043; Emihu1|432006	1	1	1
Pho27	OG1_5_7963	Emi374|CAMPEP_0187608522; Emi379|CAMPEP_0187646914; Emi370|CAMPEP_0187711318; Emi219|CAMPEP_0187784348; Emihu1|363095	1	0	1
Pho28	OG1_5_5757	Emi374|CAMPEP_0187606730; Emi379|CAMPEP_0187656932; Emi370|CAMPEP_0187681018; Emi219|CAMPEP_0187787140; Emihu1|356694	1	0	1
Pho29	OG1_5_19790	Emihu1|443878; Emihu1|366130	1	1	1
Pho30	OG1_5_7313	Emi374|CAMPEP_0187590930; Emi379|CAMPEP_0187635838; Emi370|CAMPEP_0187673794; Emi219|CAMPEP_0187779836; Emihu1|438462	1	0	1
Pho31	OG1_5_1714	Emi374|CAMPEP_0187590776; Emi374|CAMPEP_0187590922; Emi379|CAMPEP_0187614458; Emi379|CAMPEP_0187642742; Emi370|CAMPEP_0187733064; Emi370|CAMPEP_0187698924; Emi219|CAMPEP_0187769582; Emi219|CAMPEP_0187739300; Emihu1|64682	1	1	1
Pho32	OG1_5_5811	Emi374|CAMPEP_0187590260; Emi379|CAMPEP_0187625826; Emi370|CAMPEP_0187682974; Emi219|CAMPEP_0187749296; Emihu1|218313	1	0	0
Pho33	OG1_5_8309	Emi374|CAMPEP_0187606650; Emi379|CAMPEP_0187618024; Emi370|CAMPEP_0187727772; Emi219|CAMPEP_0187808542; Emihu1|435472	1	0	1
Pho34	OG1_5_7774	Emi374|CAMPEP_0187588454; Emi379|CAMPEP_0187617152; Emi370|CAMPEP_0187703224; Emi219|CAMPEP_0187743620; Emihu1|438393	1	1	1
Pho35	OG1_5_3333	Emi374|CAMPEP_0187578176; Emi379|CAMPEP_0187624780; Emi370|CAMPEP_0187661380; Emi219|CAMPEP_0187752468; Emihu1|443305; Emihu1|353537	1	1	1
Pho36	OG1_5_7480	Emi374|CAMPEP_0187582146; Emi379|CAMPEP_0187630280; Emi370|CAMPEP_0187733680; Emi219|CAMPEP_0187771664; Emihu1|439022	1	1	1
Pho37	OG1_5_34965	Emihu1|471734	0	0	0
Pho38	OG1_5_12904	Emi374|CAMPEP_0187582350; Emi379|CAMPEP_0187629858; Emi219|CAMPEP_0187761162; Emihu1|358647	1	1	1
Pho39	OG1_5_8508	Emi374|CAMPEP_0187587674; Emi379|CAMPEP_0187614018; Emi370|CAMPEP_0187705828; Emi219|CAMPEP_0187766166; Emihu1|422150	1	1	1
Pho40	OG1_5_5861	Emi374|CAMPEP_0187592616; Emi379|CAMPEP_0187637102; Emi370|CAMPEP_0187694920; Emi219|CAMPEP_0187749864; Emihu1|441453	1	1	1
Pho41	OG1_5_13388	Emi374|CAMPEP_0187606668; Emi379|CAMPEP_0187624226; Emi370|CAMPEP_0187697116; Emihu1|217340	0	0	0
