Nutrient ID	Orthologus Group	Transcripts	Up in +N	Up in -P	Up in DSW
N0	OG1_5_21653	Emi379|CAMPEP_0187631064; Emihu1|102453	1	0	1
N1	OG1_5_19756	Emihu1|242812; Emihu1|220023	1	1	1
N2	OG1_5_3553	Emi374|CAMPEP_0187600766; Emi370|CAMPEP_0187661076; Emi370|CAMPEP_0187667014; Emihu1|219042; Emihu1|219043; Emihu1|219044	1	0	1
N3	OG1_5_1624	Emi374|CAMPEP_0187579668; Emi379|CAMPEP_0187646452; Emi370|CAMPEP_0187734538; Emi219|CAMPEP_0187763110; Emi219|CAMPEP_0187800878; Emihu1|469992; Emihu1|245832; Emihu1|453687; Emihu1|215750	1	0	1
N4	OG1_5_9478	Emi374|CAMPEP_0187586824; Emi370|CAMPEP_0187667970; Emihu1|452779; Emihu1|451136	1	0	1
N5	OG1_5_4603	Emi374|CAMPEP_0187581450; Emi379|CAMPEP_0187621022; Emi219|CAMPEP_0187776116; Emihu1|460408; Emihu1|361445; Emihu1|195544	1	1	1
N6	OG1_5_6572	Emi374|CAMPEP_0187606704; Emi379|CAMPEP_0187621972; Emi370|CAMPEP_0187666900; Emi219|CAMPEP_0187750668; Emihu1|73160	0	0	0
N7	OG1_5_1952	Emi374|CAMPEP_0187611660; Emi379|CAMPEP_0187642306; Emi370|CAMPEP_0187679516; Emi219|CAMPEP_0187740072; Emihu1|440751; Emihu1|68140; Emihu1|440179; Emihu1|460978	1	0	1
N8	OG1_5_13358	Emi374|CAMPEP_0187611968; Emi379|CAMPEP_0187626060; Emi370|CAMPEP_0187662694; Emihu1|351211	1	1	1
N9	OG1_5_13949	Emi374|CAMPEP_0187585760; Emihu1|444643; Emihu1|440936	0	0	0
N10	OG1_5_5714	Emi374|CAMPEP_0187587048; Emi379|CAMPEP_0187621508; Emi370|CAMPEP_0187678374; Emi219|CAMPEP_0187750054; Emihu1|423772	1	1	1
N11	OG1_5_18256	Emi370|CAMPEP_0187667966; Emi219|CAMPEP_0187765940; Emihu1|231096	0	0	0
N12	OG1_5_5040	Emi379|CAMPEP_0187644898; Emi370|CAMPEP_0187696120; Emi219|CAMPEP_0187752584; Emihu1|52323; Emihu1|72956	0	0	0
N13	OG1_5_2655	Emi374|CAMPEP_0187590198; Emi379|CAMPEP_0187655336; Emi379|CAMPEP_0187655236; Emi370|CAMPEP_0187728390; Emi370|CAMPEP_0187734300; Emi219|CAMPEP_0187808162; Emihu1|428968	0	0	0
N14	OG1_5_1326	Emi374|CAMPEP_0187589938; Emi374|CAMPEP_0187606110; Emi374|CAMPEP_0187579580; Emi379|CAMPEP_0187646260; Emi379|CAMPEP_0187648788; Emi370|CAMPEP_0187689186; Emi370|CAMPEP_0187698464; Emi219|CAMPEP_0187786666; Emi219|CAMPEP_0187739272; Emihu1|225692; Emihu1|467437	1	1	0
N15	OG1_5_36653	Emihu1|470023	0	0	0
N16	OG1_5_2287	Emi374|CAMPEP_0187586322; Emi379|CAMPEP_0187624740; Emi379|CAMPEP_0187656886; Emi370|CAMPEP_0187689050; Emi219|CAMPEP_0187762872; Emi219|CAMPEP_0187808378; Emihu1|69253	0	0	0
N17	OG1_5_5519	Emi379|CAMPEP_0187621864; Emi370|CAMPEP_0187722904; Emi370|CAMPEP_0187701698; Emi219|CAMPEP_0187750040; Emihu1|437187	0	0	0
N18	OG1_5_11682	Emi374|CAMPEP_0187610426; Emi379|CAMPEP_0187629508; Emi219|CAMPEP_0187742636; Emihu1|201096	0	0	0
N19	OG1_5_6398	Emi374|CAMPEP_0187592148; Emi379|CAMPEP_0187621632; Emi370|CAMPEP_0187681132; Emi219|CAMPEP_0187757694; Emihu1|217668	0	0	0
N20	OG1_5_4089	Emi374|CAMPEP_0187592906; Emi379|CAMPEP_0187626556; Emi370|CAMPEP_0187679210; Emi370|CAMPEP_0187676248; Emi219|CAMPEP_0187748646; Emihu1|453721	0	0	0
N21	OG1_5_13403	Emi374|CAMPEP_0187579542; Emi379|CAMPEP_0187657778; Emi370|CAMPEP_0187698244; Emihu1|433762	0	0	0
N22	OG1_5_1659	Emi379|CAMPEP_0187624650; Emi379|CAMPEP_0187642912; Emi370|CAMPEP_0187705728; Emi219|CAMPEP_0187806566; Emihu1|74037; Emihu1|444314; Emihu1|441727; Emihu1|200882; Emihu1|61319	0	1	0
N23	OG1_5_1884	Emi219|CAMPEP_0187752054; Emihu1|471321; Emihu1|49101; Emihu1|71119; Emihu1|456888; Emihu1|234399; Emihu1|193894; Emihu1|415646	0	0	0
N24	OG1_5_40788	Emihu1|64817	0	0	0
N25	OG1_5_8600	Emi374|CAMPEP_0187588052; Emi379|CAMPEP_0187638144; Emi370|CAMPEP_0187665342; Emi219|CAMPEP_0187761444; Emihu1|439254	0	0	0
N26	OG1_5_2556	Emi379|CAMPEP_0187648474; Emi370|CAMPEP_0187697962; Emi370|CAMPEP_0187689392; Emi370|CAMPEP_0187711782; Emi219|CAMPEP_0187743774; Emihu1|469498; Emihu1|449382	0	0	0
N27	OG1_5_5439	Emi374|CAMPEP_0187583248; Emi379|CAMPEP_0187621446; Emi370|CAMPEP_0187660622; Emihu1|464017; Emihu1|432660	1	1	1
N28	OG1_5_7860	Emi374|CAMPEP_0187591398; Emi379|CAMPEP_0187615180; Emi370|CAMPEP_0187686840; Emi219|CAMPEP_0187743664; Emihu1|436026	1	0	1
N29	OG1_5_6301	Emi374|CAMPEP_0187604472; Emi379|CAMPEP_0187628134; Emi370|CAMPEP_0187702136; Emi219|CAMPEP_0187801324; Emihu1|461482	0	0	0
N30	OG1_5_2557	Emi374|CAMPEP_0187578242; Emi379|CAMPEP_0187649242; Emi379|CAMPEP_0187638334; Emi370|CAMPEP_0187683750; Emi219|CAMPEP_0187763438; Emihu1|70117; Emihu1|433750	1	1	1
N31	OG1_5_7463	Emi374|CAMPEP_0187591416; Emi379|CAMPEP_0187615552; Emi370|CAMPEP_0187679244; Emi219|CAMPEP_0187748030; Emihu1|212450	0	0	0
N32	OG1_5_12593	Emi374|CAMPEP_0187588360; Emi370|CAMPEP_0187668054; Emi219|CAMPEP_0187747110; Emihu1|232873	0	0	0
N33	OG1_5_37688	Emihu1|225018	0	0	0
N34	OG1_5_21588	Emihu1|210750	0	0	0
N35	OG1_5_8516	Emi374|CAMPEP_0187584190; Emi379|CAMPEP_0187656468; Emi370|CAMPEP_0187719494; Emi219|CAMPEP_0187806644; Emihu1|212114	0	0	0
N36	OG1_5_5632	Emi374|CAMPEP_0187612230; Emi370|CAMPEP_0187683408; Emi370|CAMPEP_0187725580; Emi219|CAMPEP_0187766518; Emihu1|69206	0	0	0
N37	OG1_5_27631	Emi379|CAMPEP_0187655464; Emihu1|69043	0	0	0
N38	OG1_5_7856	Emi374|CAMPEP_0187607498; Emi379|CAMPEP_0187621784; Emi370|CAMPEP_0187718658; Emi219|CAMPEP_0187743450; Emihu1|69646	0	0	0
N39	OG1_5_3019	Emi374|CAMPEP_0187587786; Emi379|CAMPEP_0187642606; Emi370|CAMPEP_0187660896; Emi219|CAMPEP_0187743856; Emi219|CAMPEP_0187749342; Emihu1|64600	1	0	0
N40	OG1_5_7714	Emi374|CAMPEP_0187610088; Emi379|CAMPEP_0187624510; Emi370|CAMPEP_0187666880; Emi219|CAMPEP_0187784072; Emihu1|106701	1	0	1
P0	OG1_5_9499	Emi374|CAMPEP_0187607650; Emi370|CAMPEP_0187723126; Emihu1|370963; Emihu1|364869	0	0	0
P1	OG1_5_2434	Emi374|CAMPEP_0187586994; Emi370|CAMPEP_0187667618; Emi219|CAMPEP_0187805514; Emihu1|456911; Emihu1|67455; Emihu1|67879; Emihu1|450989	0	0	0
P2	OG1_5_7348	Emi374|CAMPEP_0187608816; Emi379|CAMPEP_0187657498; Emi370|CAMPEP_0187669144; Emi219|CAMPEP_0187747478; Emihu1|447541	0	0	0
P3	OG1_5_3674	Emi374|CAMPEP_0187594974; Emi379|CAMPEP_0187621016; Emi370|CAMPEP_0187720180; Emi219|CAMPEP_0187736374; Emihu1|116959; Emihu1|103835	0	0	0
P4	OG1_5_11629	Emi374|CAMPEP_0187576542; Emi370|CAMPEP_0187671318; Emi219|CAMPEP_0187747328; Emihu1|61414	0	0	0
P5	OG1_5_5394	Emi374|CAMPEP_0187586736; Emi379|CAMPEP_0187622756; Emi219|CAMPEP_0187801480; Emihu1|470911; Emihu1|200606	0	0	0
P6	OG1_5_3301	Emihu1|119690; Emihu1|228520; Emihu1|111972; Emihu1|111381; Emihu1|214750; Emihu1|202775	0	0	0
P7	OG1_5_14704	Emi370|CAMPEP_0187695170; Emi219|CAMPEP_0187749098; Emihu1|433665	1	1	1
P8	OG1_5_26201	Emi370|CAMPEP_0187676750; Emihu1|52051	0	0	0
P9	OG1_5_6927	Emi379|CAMPEP_0187625566; Emi370|CAMPEP_0187671440; Emi219|CAMPEP_0187739966; Emi219|CAMPEP_0187757248; Emihu1|419488	0	0	0
